!! Predictions spanning range 683 - 10624 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 24.03 683-3370 orient(-) score(776001.00) noncoding_equivalent(32287.00) raw_noncoding(32287.00) offset(0.00) 
3370	683	single-	4	6	{GeneMark_model.10653_t;GeneMark},{GlimmerHMM_glimmerT_10802-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 9.35 7802-9558 orient(+) score(478957.00) noncoding_equivalent(51212.21) raw_noncoding(87527.00) offset(36314.79) 
7802	7953	initial+	1	2	{GlimmerHMM_glimmerT_10803-T1;GlimmerHMM},{snap_scaffold_461-snap.2-T1;snap},{Augustus_model.g8991.t1;Augustus},{GeneMark_model.10654_t;GeneMark}
7954	8035	INTRON			{Augustus_model.g8991.t1;Augustus},{GeneMark_model.10654_t;GeneMark}
8036	8054	internal+	3	3	{Augustus_model.g8991.t1;Augustus},{GeneMark_model.10654_t;GeneMark}
8055	8126	INTRON			{Augustus_model.g8991.t1;Augustus},{GeneMark_model.10654_t;GeneMark}
8127	8206	internal+	1	2	{Augustus_model.g8991.t1;Augustus},{GeneMark_model.10654_t;GeneMark}
8207	8279	INTRON			{snap_scaffold_461-snap.2-T1;snap},{Augustus_model.g8991.t1;Augustus},{GeneMark_model.10654_t;GeneMark}
8280	9558	terminal+	3	3	{GlimmerHMM_glimmerT_10803-T1;GlimmerHMM},{snap_scaffold_461-snap.2-T1;snap},{Augustus_model.g8991.t1;Augustus},{GeneMark_model.10654_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 4.43 9936-10624 orient(-) score(192134.00) noncoding_equivalent(43368.87) raw_noncoding(56436.96) offset(13068.09) 
9963	9936	terminal-	6	6	{GeneMark_model.10655_t;GeneMark},{Augustus_model.g8992.t1;Augustus},{GlimmerHMM_glimmerT_10804-T1;GlimmerHMM}
10032	9964	INTRON			{GeneMark_model.10655_t;GeneMark},{Augustus_model.g8992.t1;Augustus},{GlimmerHMM_glimmerT_10804-T1;GlimmerHMM}
10346	10033	internal-	4	5	{GeneMark_model.10655_t;GeneMark},{Augustus_model.g8992.t1;Augustus},{snap_scaffold_461-snap.3-T1;snap},{GlimmerHMM_glimmerT_10804-T1;GlimmerHMM}
10404	10347	INTRON			{GeneMark_model.10655_t;GeneMark},{Augustus_model.g8992.t1;Augustus},{snap_scaffold_461-snap.3-T1;snap},{GlimmerHMM_glimmerT_10804-T1;GlimmerHMM}
10469	10405	internal-	5	6	{snap_scaffold_461-snap.3-T1;snap},{GlimmerHMM_glimmerT_10804-T1;GlimmerHMM}
10518	10470	INTRON			{snap_scaffold_461-snap.3-T1;snap},{GlimmerHMM_glimmerT_10804-T1;GlimmerHMM}
10624	10519	internal-	4	4	{GeneMark_model.10655_t;GeneMark},{Augustus_model.g8992.t1;Augustus},{snap_scaffold_461-snap.3-T1;snap},{GlimmerHMM_glimmerT_10804-T1;GlimmerHMM}

