#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAH8718562.1         -            791 7814at5125           -            664         0 1328.6   4.2   1   2         0         0 1013.7   1.3     1   462     8   485     8   502 0.97 3-isopropylmalate dehydratase [Beauveria bassiana]
KAH8718562.1         -            791 7814at5125           -            664         0 1328.6   4.2   2   2   3.2e-97   8.9e-94  314.2   0.1   476   664   564   791   509   791 0.90 3-isopropylmalate dehydratase [Beauveria bassiana]
KAH8710549.1         -            771 7814at5125           -            664     3e-44  150.6   2.2   1   3     8e-16   2.3e-12   45.2   0.0   109   250   175   317    76   388 0.86 Homoaconitase, mitochondrial [Beauveria bassiana]
KAH8710549.1         -            771 7814at5125           -            664     3e-44  150.6   2.2   2   3   1.5e-21   4.2e-18   64.2   0.4   327   452   388   523   376   557 0.81 Homoaconitase, mitochondrial [Beauveria bassiana]
KAH8710549.1         -            771 7814at5125           -            664     3e-44  150.6   2.2   3   3     2e-13   5.6e-10   37.3   0.0   478   568   598   696   588   712 0.75 Homoaconitase, mitochondrial [Beauveria bassiana]
KAH8718020.1         -            787 7814at5125           -            664   2.3e-42  144.3   0.0   1   3   1.4e-25     4e-22   77.5   0.1   108   294   175   366   129   376 0.88 Aconitate hydratase, mitochondrial [Beauveria bassiana]
KAH8718020.1         -            787 7814at5125           -            664   2.3e-42  144.3   0.0   2   3     5e-13   1.4e-09   36.0   0.0   335   452   388   513   380   540 0.83 Aconitate hydratase, mitochondrial [Beauveria bassiana]
KAH8718020.1         -            787 7814at5125           -            664   2.3e-42  144.3   0.0   3   3   2.6e-10   7.4e-07   27.0   0.0   515   570   663   718   652   739 0.88 Aconitate hydratase, mitochondrial [Beauveria bassiana]
KAH8711680.1         -            816 7814at5125           -            664   1.4e-32  112.0   0.1   1   3   3.6e-19     1e-15   56.3   0.1    90   252   173   331   104   396 0.82 putative aconitate hydratase, mitochondrial [Beauveria bassiana]
KAH8711680.1         -            816 7814at5125           -            664   1.4e-32  112.0   0.1   2   3     3e-10   8.4e-07   26.8   0.0   335   450   413   537   407   548 0.82 putative aconitate hydratase, mitochondrial [Beauveria bassiana]
KAH8711680.1         -            816 7814at5125           -            664   1.4e-32  112.0   0.1   3   3   1.3e-09   3.5e-06   24.8   0.0   514   568   688   742   682   756 0.91 putative aconitate hydratase, mitochondrial [Beauveria bassiana]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/7814at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_JEF-350_protein.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Bbassiana_JEF-350/run_hypocreales_odb10/hmmer_output/initial_run_results/7814at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/7814at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_JEF-350_protein.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 14:25:42 2024
# [ok]
