#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAH8710320.1         -            662 9638at5125           -            448  2.6e-245  813.4   2.1   1   2  1.2e-217  2.7e-214  711.2   1.2     2   370    73   455    72   466 0.97 putative methionine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8710320.1         -            662 9638at5125           -            448  2.6e-245  813.4   2.1   2   2   1.6e-32   3.5e-29  101.1   0.0   359   436   486   568   473   573 0.91 putative methionine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8720082.1         -            660 9638at5125           -            448   2.1e-21   75.4   4.2   1   3   7.3e-10   1.6e-06   26.3   0.0     3    96    41   134    39   167 0.82 putative methionine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAH8720082.1         -            660 9638at5125           -            448   2.1e-21   75.4   4.2   2   3   1.4e-13   3.2e-10   38.6   3.2   145   344   224   444   208   477 0.75 putative methionine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAH8720082.1         -            660 9638at5125           -            448   2.1e-21   75.4   4.2   3   3    0.0004      0.89    7.5   0.0   358   428   488   560   481   563 0.86 putative methionine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAH8715104.1         -            967 9638at5125           -            448   5.9e-13   47.6   0.2   1   2   4.5e-12     1e-08   33.7   0.0     3   181   115   287   113   296 0.86 Leucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8715104.1         -            967 9638at5125           -            448   5.9e-13   47.6   0.2   2   2     2e-05     0.044   11.8   0.1   277   352   692   767   676   857 0.83 Leucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8711415.1         -           1116 9638at5125           -            448     4e-06   25.1   0.0   1   1   3.2e-09   7.1e-06   24.3   0.0   233   319   701   789   695   922 0.83 Leucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAH8720889.1         -           1070 9638at5125           -            448     0.015   13.3   0.0   1   2      0.59   1.3e+03   -3.0   0.0     3    38    58    93    57   104 0.84 Isoleucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAH8720889.1         -           1070 9638at5125           -            448     0.015   13.3   0.0   2   2   1.9e-05     0.042   11.8   0.0   278   311   596   629   580   649 0.89 Isoleucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/9638at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_JEF-350_protein.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Bbassiana_JEF-350/run_hypocreales_odb10/hmmer_output/initial_run_results/9638at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/9638at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_JEF-350_protein.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 14:25:39 2024
# [ok]
