# BUSCO version is: 5.5.0 
# The lineage dataset is: hypocreales_odb10 (Creation date: 2020-08-05, number of genomes: 50, number of BUSCOs: 4494)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
26at5125	Complete	ATY63977.1	7913.7	3794	https://www.orthodb.org/v10?query=26at5125	Dynein heavy chain
30at5125	Complete	ATY64261.1	6762.8	4091	https://www.orthodb.org/v10?query=30at5125	Midasin
49at5125	Complete	ATY59996.1	6408.0	3251	https://www.orthodb.org/v10?query=49at5125	histone acetylase complex subunit
52at5125	Complete	ATY58877.1	4960.4	3105	https://www.orthodb.org/v10?query=52at5125	E3 ubiquitin ligase, domain of unknown function DUF908
78at5125	Complete	ATY65465.1	5250.2	2733	https://www.orthodb.org/v10?query=78at5125	Vacuolar protein sorting-associated protein
87at5125	Complete	ATY64569.1	4193.6	2556	https://www.orthodb.org/v10?query=87at5125	fermentation associated protein
102at5125	Complete	ATY60051.1	4066.5	2264	https://www.orthodb.org/v10?query=102at5125	FMP27, SW domain
133at5125	Complete	ATY65142.1	4411.7	2023	https://www.orthodb.org/v10?query=133at5125	Pre-mRNA processing splicing factor 8
141at5125	Complete	ATY64600.1	4171.2	2094	https://www.orthodb.org/v10?query=141at5125	FKBP12-rapamycin binding domain
142at5125	Complete	ATY63554.1	3983.3	2127	https://www.orthodb.org/v10?query=142at5125	WD40-repeat-containing domain
154at5125	Complete	ATY67317.1	3930.4	2446	https://www.orthodb.org/v10?query=154at5125	Serine/threonine-protein kinase Tel1
155at5125	Complete	ATY65772.1	3854.6	2209	https://www.orthodb.org/v10?query=155at5125	Ribosomal protein L19
168at5125	Complete	ATY67198.1	3321.9	1973	https://www.orthodb.org/v10?query=168at5125	Ras GTPase activator
171at5125	Complete	ATY60046.1	4008.3	2026	https://www.orthodb.org/v10?query=171at5125	transcriptional activator leucine zipper
178at5125	Complete	ATY65009.1	3919.2	1970	https://www.orthodb.org/v10?query=178at5125	Acetyl-CoA carboxylase
194at5125	Complete	ATY63665.1	3766.5	2242	https://www.orthodb.org/v10?query=194at5125	Armadillo-type fold protein
200at5125	Missing
203at5125	Complete	ATY60225.1	3883.8	1890	https://www.orthodb.org/v10?query=203at5125	fatty acid synthase beta subunit dehydratase
215at5125	Complete	ATY63101.1	3792.3	1904	https://www.orthodb.org/v10?query=215at5125	DNA polymerase epsilon catalytic subunit
246at5125	Complete	ATY65759.1	3228.9	1845	https://www.orthodb.org/v10?query=246at5125	Signal transduction histidine kinase, dimerisation/phosphoacceptor domain
250at5125	Complete	ATY61008.1	3512.4	1998	https://www.orthodb.org/v10?query=250at5125	myosin type II heavy chain
259at5125	Complete	ATY63483.1	3957.5	1961	https://www.orthodb.org/v10?query=259at5125	pre-mRNA splicing helicase
270at5125	Complete	ATY63212.1	3416.8	1831	https://www.orthodb.org/v10?query=270at5125	E3 ubiquitin-protein ligase ubr1
281at5125	Complete	ATY62133.1	2982.6	1854	https://www.orthodb.org/v10?query=281at5125	phosphatidylinositol-4-phosphate 5-kinase fab1
309at5125	Missing
314at5125	Complete	ATY63869.1	3419.0	1643	https://www.orthodb.org/v10?query=314at5125	Activating signal cointegrator 1 complex subunit 3
322at5125	Complete	ATY65112.1	3910.1	1918	https://www.orthodb.org/v10?query=322at5125	Carbamoyl-phosphate synthase small subunit, N-terminal domain
323at5125	Complete	ATY61958.1	2657.2	1374	https://www.orthodb.org/v10?query=323at5125	Adenylate cyclase
341at5125	Complete	ATY66633.1	3241.4	1854	https://www.orthodb.org/v10?query=341at5125	CCR4-Not complex component, Not1
343at5125	Missing
351at5125	Complete	ATY60668.1	3278.9	1770	https://www.orthodb.org/v10?query=351at5125	related to rat omega-conotoxin-sensitive calcium channel alpha-1 subunit rbB-I
353at5125	Complete	ATY65707.1	3000.0	1632	https://www.orthodb.org/v10?query=353at5125	DHR-1 domain
380at5125	Complete	ATY61459.1	3086.3	1692	https://www.orthodb.org/v10?query=380at5125	phosphatidylinositol 3-kinase 3
390at5125	Complete	ATY60317.1	2329.2	1653	https://www.orthodb.org/v10?query=390at5125	Polyketide synthase
407at5125	Complete	ATY60989.1	3426.9	1650	https://www.orthodb.org/v10?query=407at5125	Fatty acid synthase subunit alpha
420at5125	Complete	ATY63219.1	3217.5	1722	https://www.orthodb.org/v10?query=420at5125	Calcium channel subunit Cch1
429at5125	Complete	ATY63006.1	2670.9	1576	https://www.orthodb.org/v10?query=429at5125	anaphase-promoting complex subunit 1
434at5125	Complete	ATY60044.1	3177.7	1571	https://www.orthodb.org/v10?query=434at5125	class V chitin synthase
446at5125	Missing
459at5125	Complete	ATY60885.1	3009.4	1399	https://www.orthodb.org/v10?query=459at5125	acyl CoA ligase-like protein
463at5125	Complete	ATY63257.1	3277.9	1549	https://www.orthodb.org/v10?query=463at5125	Clathrin heavy chain
481at5125	Complete	ATY60954.1	2792.5	1615	https://www.orthodb.org/v10?query=481at5125	Helicase SEN1
485at5125	Complete	ATY63267.1	2142.3	1850	https://www.orthodb.org/v10?query=485at5125	Ubiquitin C-terminal hydrolase
497at5125	Complete	ATY58542.1	2991.1	1521	https://www.orthodb.org/v10?query=497at5125	Sec7, C-terminal
499at5125	Complete	ATY60426.1	2497.7	1533	https://www.orthodb.org/v10?query=499at5125	Proteasome component ECM29
521at5125	Complete	ATY62298.1	2654.3	1487	https://www.orthodb.org/v10?query=521at5125	Putative response regulator receiver RIM15p
522at5125	Complete	ATY60878.1	2680.2	1441	https://www.orthodb.org/v10?query=522at5125	class VII chitin synthase
527at5125	Complete	ATY64151.1	2714.4	1383	https://www.orthodb.org/v10?query=527at5125	kinesin
539at5125	Complete	ATY64265.1	2672.2	1565	https://www.orthodb.org/v10?query=539at5125	U3 small nucleolar RNA-associated protein
542at5125	Missing
569at5125	Complete	ATY59558.1	3011.6	1532	https://www.orthodb.org/v10?query=569at5125	DNA-directed RNA polymerase subunit
581at5125	Complete	ATY62689.1	2470.0	1404	https://www.orthodb.org/v10?query=581at5125	Sister chromatid cohesion protein
616at5125	Complete	ATY63415.1	2638.7	1582	https://www.orthodb.org/v10?query=616at5125	Nucleoporin
637at5125	Complete	ATY60212.1	1965.7	1252	https://www.orthodb.org/v10?query=637at5125	Winged helix-like DNA-binding domain superfamily
