!! Predictions spanning range 2099 - 101418 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 294.41 2099-7564 orient(+) score(1639700.00) noncoding_equivalent(5569.51) raw_noncoding(5569.51) offset(0.00) 
2099	7564	single+	1	3	{GlimmerHMM_glimmerT_3793-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 7.84 7990-8831 orient(-) score(252600.00) noncoding_equivalent(32237.00) raw_noncoding(32942.00) offset(705.00) 
8523	7990	terminal-	4	6	{GeneMark_model.3288_t;GeneMark},{GlimmerHMM_glimmerT_3794-T1;GlimmerHMM},{snap_scaffold_4-snap.625-T1;snap}
8630	8524	INTRON			{GeneMark_model.3288_t;GeneMark},{GlimmerHMM_glimmerT_3794-T1;GlimmerHMM},{snap_scaffold_4-snap.625-T1;snap}
8831	8631	initial-	4	6	{GeneMark_model.3288_t;GeneMark},{GlimmerHMM_glimmerT_3794-T1;GlimmerHMM},{snap_scaffold_4-snap.625-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 6.90 9380-11456 orient(+) score(623100.00) noncoding_equivalent(90282.00) raw_noncoding(92377.00) offset(2095.00) 
9380	9558	initial+	1	2	{GeneMark_model.3289_t;GeneMark},{snap_scaffold_4-snap.626-T1;snap},{GlimmerHMM_glimmerT_3795-T1;GlimmerHMM}
9559	9721	INTRON			{GeneMark_model.3289_t;GeneMark},{snap_scaffold_4-snap.626-T1;snap},{GlimmerHMM_glimmerT_3795-T1;GlimmerHMM}
9722	10428	internal+	3	1	{GeneMark_model.3289_t;GeneMark},{snap_scaffold_4-snap.626-T1;snap},{GlimmerHMM_glimmerT_3795-T1;GlimmerHMM}
10429	10492	INTRON			{GeneMark_model.3289_t;GeneMark},{snap_scaffold_4-snap.626-T1;snap},{GlimmerHMM_glimmerT_3795-T1;GlimmerHMM}
10493	10629	internal+	2	3	{GeneMark_model.3289_t;GeneMark},{snap_scaffold_4-snap.626-T1;snap},{GlimmerHMM_glimmerT_3795-T1;GlimmerHMM}
10630	10703	INTRON			{GeneMark_model.3289_t;GeneMark},{snap_scaffold_4-snap.626-T1;snap},{GlimmerHMM_glimmerT_3795-T1;GlimmerHMM}
10704	11456	terminal+	1	3	{GeneMark_model.3289_t;GeneMark},{snap_scaffold_4-snap.626-T1;snap},{GlimmerHMM_glimmerT_3795-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 3.17 11684-13060 orient(-) score(402300.00) noncoding_equivalent(126993.00) raw_noncoding(129177.00) offset(2184.00) 
12151	11684	terminal-	4	6	{GeneMark_model.3290_t;GeneMark},{snap_scaffold_4-snap.627-T1;snap},{GlimmerHMM_glimmerT_3796-T1;GlimmerHMM}
12288	12152	INTRON			{GeneMark_model.3290_t;GeneMark},{snap_scaffold_4-snap.627-T1;snap},{GlimmerHMM_glimmerT_3796-T1;GlimmerHMM}
12396	12289	internal-	4	6	{GeneMark_model.3290_t;GeneMark},{snap_scaffold_4-snap.627-T1;snap},{GlimmerHMM_glimmerT_3796-T1;GlimmerHMM}
12557	12397	INTRON			{GeneMark_model.3290_t;GeneMark},{snap_scaffold_4-snap.627-T1;snap},{GlimmerHMM_glimmerT_3796-T1;GlimmerHMM}
12767	12558	internal-	4	6	{GeneMark_model.3290_t;GeneMark},{snap_scaffold_4-snap.627-T1;snap},{GlimmerHMM_glimmerT_3796-T1;GlimmerHMM}
12859	12768	INTRON			{GeneMark_model.3290_t;GeneMark},{snap_scaffold_4-snap.627-T1;snap},{GlimmerHMM_glimmerT_3796-T1;GlimmerHMM}
13060	12860	initial-	4	6	{GeneMark_model.3290_t;GeneMark},{GlimmerHMM_glimmerT_3796-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 7.50 13592-14908 orient(-) score(386200.00) noncoding_equivalent(51520.00) raw_noncoding(52717.00) offset(1197.00) 
14062	13592	terminal-	4	6	{snap_scaffold_4-snap.628-T1;snap},{GlimmerHMM_glimmerT_3797-T1;GlimmerHMM},{GeneMark_model.3291_t;GeneMark}
14174	14063	INTRON			{snap_scaffold_4-snap.628-T1;snap},{GlimmerHMM_glimmerT_3797-T1;GlimmerHMM},{GeneMark_model.3291_t;GeneMark}
14741	14175	internal-	4	6	{snap_scaffold_4-snap.628-T1;snap},{GlimmerHMM_glimmerT_3797-T1;GlimmerHMM},{GeneMark_model.3291_t;GeneMark}
14830	14742	INTRON			{snap_scaffold_4-snap.628-T1;snap},{GeneMark_model.3291_t;GeneMark}
14908	14831	initial-	4	6	{snap_scaffold_4-snap.628-T1;snap},{GeneMark_model.3291_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 11.64 15944-16848 orient(-) score(271500.00) noncoding_equivalent(23330.00) raw_noncoding(24005.00) offset(675.00) 
16395	15944	terminal-	5	6	{snap_scaffold_4-snap.629-T1;snap},{GlimmerHMM_glimmerT_3798-T1;GlimmerHMM},{GeneMark_model.3292_t;GeneMark}
16472	16396	INTRON			{snap_scaffold_4-snap.629-T1;snap},{GlimmerHMM_glimmerT_3798-T1;GlimmerHMM},{GeneMark_model.3292_t;GeneMark}
16848	16473	initial-	4	4	{snap_scaffold_4-snap.629-T1;snap},{GlimmerHMM_glimmerT_3798-T1;GlimmerHMM},{GeneMark_model.3292_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 3.70 19041-20958 orient(+) score(501500.00) noncoding_equivalent(135663.68) raw_noncoding(179625.69) offset(43962.02) 
19041	19316	initial+	1	3	{GlimmerHMM_glimmerT_3799-T1;GlimmerHMM},{snap_scaffold_4-snap.630-T1;snap},{GeneMark_model.3293_t;GeneMark}
19317	19782	INTRON			{GlimmerHMM_glimmerT_3799-T1;GlimmerHMM},{snap_scaffold_4-snap.630-T1;snap}
19783	20685	internal+	1	3	{GlimmerHMM_glimmerT_3799-T1;GlimmerHMM},{snap_scaffold_4-snap.630-T1;snap},{GeneMark_model.3293_t;GeneMark}
20686	20829	INTRON			{snap_scaffold_4-snap.630-T1;snap},{GeneMark_model.3293_t;GeneMark}
20830	20958	terminal+	1	3	{snap_scaffold_4-snap.630-T1;snap},{GeneMark_model.3293_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 2.03 21347-21731 orient(+) score(81300.00) noncoding_equivalent(40129.00) raw_noncoding(46185.00) offset(6056.00) 
21347	21588	initial+	1	2	{GeneMark_model.3294_t;GeneMark},{snap_scaffold_4-snap.631-T1;snap}
21589	21646	INTRON			{GeneMark_model.3294_t;GeneMark},{snap_scaffold_4-snap.631-T1;snap}
21647	21731	terminal+	3	3	{GeneMark_model.3294_t;GeneMark},{snap_scaffold_4-snap.631-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 10.29 23602-26119 orient(+) score(755400.00) noncoding_equivalent(73381.00) raw_noncoding(74818.00) offset(1437.00) 
23602	24719	initial+	1	2	{GlimmerHMM_glimmerT_3800-T1;GlimmerHMM},{GeneMark_model.3295_t;GeneMark},{snap_scaffold_4-snap.632-T1;snap}
24720	24793	INTRON			{GlimmerHMM_glimmerT_3800-T1;GlimmerHMM},{GeneMark_model.3295_t;GeneMark},{snap_scaffold_4-snap.632-T1;snap}
24794	25232	internal+	3	3	{GlimmerHMM_glimmerT_3800-T1;GlimmerHMM},{GeneMark_model.3295_t;GeneMark},{snap_scaffold_4-snap.632-T1;snap}
25233	25399	INTRON			{GlimmerHMM_glimmerT_3800-T1;GlimmerHMM},{GeneMark_model.3295_t;GeneMark},{snap_scaffold_4-snap.632-T1;snap}
25400	26119	terminal+	1	3	{GlimmerHMM_glimmerT_3800-T1;GlimmerHMM},{GeneMark_model.3295_t;GeneMark},{snap_scaffold_4-snap.632-T1;snap}

