# BUSCO version is: 5.5.0 
# The lineage dataset is: hypocreales_odb10 (Creation date: 2020-08-05, number of genomes: 50, number of BUSCOs: 4494)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
26at5125	Complete	KAF1737720.1	7704.6	3717	https://www.orthodb.org/v10?query=26at5125	Dynein heavy chain
30at5125	Complete	KAF1731994.1	6815.1	4037	https://www.orthodb.org/v10?query=30at5125	Midasin
49at5125	Complete	KAF1735150.1	6438.4	3246	https://www.orthodb.org/v10?query=49at5125	histone acetylase complex subunit
52at5125	Fragmented	KAF1733080.1	2672.6	1725	https://www.orthodb.org/v10?query=52at5125	E3 ubiquitin ligase, domain of unknown function DUF908
78at5125	Complete	KAF1735801.1	5228.9	2730	https://www.orthodb.org/v10?query=78at5125	Vacuolar protein sorting-associated protein
87at5125	Missing
102at5125	Complete	KAF1732084.1	3972.0	2259	https://www.orthodb.org/v10?query=102at5125	FMP27, SW domain
133at5125	Missing
141at5125	Complete	KAF1730535.1	4224.4	2098	https://www.orthodb.org/v10?query=141at5125	FKBP12-rapamycin binding domain
142at5125	Complete	KAF1739200.1	3935.8	2141	https://www.orthodb.org/v10?query=142at5125	WD40-repeat-containing domain
154at5125	Complete	KAF1738710.1	3384.1	1968	https://www.orthodb.org/v10?query=154at5125	Serine/threonine-protein kinase Tel1
155at5125	Complete	KAF1734475.1	3853.6	2219	https://www.orthodb.org/v10?query=155at5125	Ribosomal protein L19
168at5125	Complete	KAF1738617.1	3279.1	1919	https://www.orthodb.org/v10?query=168at5125	Ras GTPase activator
171at5125	Complete	KAF1732079.1	3998.3	2034	https://www.orthodb.org/v10?query=171at5125	transcriptional activator leucine zipper
178at5125	Complete	KAF1733579.1	3911.3	1965	https://www.orthodb.org/v10?query=178at5125	Acetyl-CoA carboxylase
194at5125	Complete	KAF1738994.1	3807.5	2266	https://www.orthodb.org/v10?query=194at5125	Armadillo-type fold protein
200at5125	Complete	KAF1729524.1	4128.0	1888	https://www.orthodb.org/v10?query=200at5125	Glutamate synthase
203at5125	Complete	KAF1737944.1	3878.7	1890	https://www.orthodb.org/v10?query=203at5125	fatty acid synthase beta subunit dehydratase
215at5125	Complete	KAF1737363.1	3867.8	1904	https://www.orthodb.org/v10?query=215at5125	DNA polymerase epsilon catalytic subunit
246at5125	Missing
250at5125	Complete	KAF1735522.1	3547.9	2000	https://www.orthodb.org/v10?query=250at5125	myosin type II heavy chain
259at5125	Complete	KAF1739030.1	3980.8	1976	https://www.orthodb.org/v10?query=259at5125	pre-mRNA splicing helicase
270at5125	Complete	KAF1739274.1	3401.2	1798	https://www.orthodb.org/v10?query=270at5125	E3 ubiquitin-protein ligase ubr1
281at5125	Complete	KAF1737750.1	2861.8	1816	https://www.orthodb.org/v10?query=281at5125	phosphatidylinositol-4-phosphate 5-kinase fab1
309at5125	Complete	KAF1735510.1	3443.5	1927	https://www.orthodb.org/v10?query=309at5125	Phosphatidylinositol 3-/4-kinase, catalytic domain
314at5125	Complete	KAF1736825.1	3423.9	1680	https://www.orthodb.org/v10?query=314at5125	Activating signal cointegrator 1 complex subunit 3
322at5125	Complete	KAF1737587.1	3919.6	1904	https://www.orthodb.org/v10?query=322at5125	Carbamoyl-phosphate synthase small subunit, N-terminal domain
323at5125	Complete	KAF1738839.1	2633.6	1357	https://www.orthodb.org/v10?query=323at5125	Adenylate cyclase
341at5125	Complete	KAF1729607.1	3299.6	1854	https://www.orthodb.org/v10?query=341at5125	CCR4-Not complex component, Not1
343at5125	Complete	KAF1731786.1	3368.5	1726	https://www.orthodb.org/v10?query=343at5125	proteasome activator subunit 4
351at5125	Complete	KAF1732169.1	3291.9	1779	https://www.orthodb.org/v10?query=351at5125	related to rat omega-conotoxin-sensitive calcium channel alpha-1 subunit rbB-I
353at5125	Complete	KAF1735862.1	3006.3	1639	https://www.orthodb.org/v10?query=353at5125	DHR-1 domain
380at5125	Complete	KAF1738904.1	3099.7	1684	https://www.orthodb.org/v10?query=380at5125	phosphatidylinositol 3-kinase 3
390at5125	Complete	KAF1735590.1	2395.2	1670	https://www.orthodb.org/v10?query=390at5125	Polyketide synthase
407at5125	Complete	KAF1737943.1	3443.0	1658	https://www.orthodb.org/v10?query=407at5125	Fatty acid synthase subunit alpha
420at5125	Complete	KAF1730253.1	3168.1	1716	https://www.orthodb.org/v10?query=420at5125	Calcium channel subunit Cch1
