!! Predictions spanning range 1280 - 4095 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 6.30 1280-3227 orient(+) score(570036.00) noncoding_equivalent(90421.28) raw_noncoding(104768.42) offset(14347.15) 
1280	1535	initial+	1	1	{snap_scaffold_623-snap.1-T1;snap},{GlimmerHMM_glimmerT_11138-T1;GlimmerHMM},{GeneMark_model.10957_t;GeneMark}
1536	1590	INTRON			{Augustus_model.g9221.t1;Augustus},{snap_scaffold_623-snap.1-T1;snap},{GlimmerHMM_glimmerT_11138-T1;GlimmerHMM},{GeneMark_model.10957_t;GeneMark}
1591	1875	internal+	2	1	{Augustus_model.g9221.t1;Augustus},{snap_scaffold_623-snap.1-T1;snap},{GlimmerHMM_glimmerT_11138-T1;GlimmerHMM},{GeneMark_model.10957_t;GeneMark}
1876	1925	INTRON			{Augustus_model.g9221.t1;Augustus},{snap_scaffold_623-snap.1-T1;snap},{GlimmerHMM_glimmerT_11138-T1;GlimmerHMM},{GeneMark_model.10957_t;GeneMark}
1926	2112	internal+	2	2	{Augustus_model.g9221.t1;Augustus},{snap_scaffold_623-snap.1-T1;snap},{GlimmerHMM_glimmerT_11138-T1;GlimmerHMM},{GeneMark_model.10957_t;GeneMark}
2113	2173	INTRON			{Augustus_model.g9221.t1;Augustus},{snap_scaffold_623-snap.1-T1;snap},{GlimmerHMM_glimmerT_11138-T1;GlimmerHMM},{GeneMark_model.10957_t;GeneMark}
2174	2587	internal+	3	2	{Augustus_model.g9221.t1;Augustus},{snap_scaffold_623-snap.1-T1;snap},{GlimmerHMM_glimmerT_11138-T1;GlimmerHMM},{GeneMark_model.10957_t;GeneMark}
2588	2640	INTRON			{Augustus_model.g9221.t1;Augustus},{snap_scaffold_623-snap.1-T1;snap},{GlimmerHMM_glimmerT_11138-T1;GlimmerHMM},{GeneMark_model.10957_t;GeneMark}
2641	2758	internal+	3	3	{Augustus_model.g9221.t1;Augustus},{snap_scaffold_623-snap.1-T1;snap},{GlimmerHMM_glimmerT_11138-T1;GlimmerHMM},{GeneMark_model.10957_t;GeneMark}
2759	2813	INTRON			{Augustus_model.g9221.t1;Augustus},{GlimmerHMM_glimmerT_11138-T1;GlimmerHMM},{GeneMark_model.10957_t;GeneMark}
2814	3035	internal+	1	3	{Augustus_model.g9221.t1;Augustus},{GlimmerHMM_glimmerT_11138-T1;GlimmerHMM},{GeneMark_model.10957_t;GeneMark}
3036	3092	INTRON			{Augustus_model.g9221.t1;Augustus},{GlimmerHMM_glimmerT_11138-T1;GlimmerHMM},{GeneMark_model.10957_t;GeneMark}
3093	3227	terminal+	1	3	{Augustus_model.g9221.t1;Augustus},{GlimmerHMM_glimmerT_11138-T1;GlimmerHMM},{GeneMark_model.10957_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 27.30 3430-4095 orient(-) score(133866.00) noncoding_equivalent(4903.39) raw_noncoding(4903.39) offset(0.00) 
4095	3430	terminal-	4	6	{GeneMark_model.10958_t;GeneMark},{GlimmerHMM_glimmerT_11139-T1;GlimmerHMM},{Augustus_model.g9222.t1;Augustus}

