#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAF1734807.1         -            653 9638at5125           -            448  7.8e-235  778.8   4.8   1   2  1.6e-217  2.8e-214  711.1   1.7     2   370    73   455    72   489 0.96 putative methionine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1734807.1         -            653 9638at5125           -            448  7.8e-235  778.8   4.8   2   2   1.1e-22   1.8e-19   68.9   0.1   360   436   487   559   475   564 0.85 putative methionine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1739396.1         -            660 9638at5125           -            448     2e-21   75.4   4.2   1   3   8.8e-10   1.5e-06   26.3   0.0     3    96    41   134    39   167 0.82 putative methionine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAF1739396.1         -            660 9638at5125           -            448     2e-21   75.4   4.2   2   3   1.7e-13     3e-10   38.6   3.2   145   344   224   444   208   477 0.75 putative methionine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAF1739396.1         -            660 9638at5125           -            448     2e-21   75.4   4.2   3   3   0.00047      0.82    7.5   0.0   358   428   488   560   481   563 0.86 putative methionine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAF1730857.1         -            967 9638at5125           -            448   5.5e-13   47.6   0.2   1   2   5.4e-12   9.3e-09   33.7   0.0     3   181   115   287   113   296 0.86 Leucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1730857.1         -            967 9638at5125           -            448   5.5e-13   47.6   0.2   2   2   2.4e-05     0.041   11.8   0.1   277   352   692   767   676   857 0.83 Leucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1735854.1         -           1116 9638at5125           -            448   3.7e-06   25.1   0.0   1   1   3.8e-09   6.6e-06   24.3   0.0   233   319   701   789   695   922 0.83 Leucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAF1736503.1         -           1057 9638at5125           -            448   8.3e-06   23.9   5.1   1   3   0.00033      0.58    8.0   0.1     3    36   168   201   167   224 0.86 Valine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1736503.1         -           1057 9638at5125           -            448   8.3e-06   23.9   5.1   2   3       2.8   4.9e+03   -5.0   1.0   125   190   466   530   459   537 0.69 Valine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1736503.1         -           1057 9638at5125           -            448   8.3e-06   23.9   5.1   3   3   3.4e-07   0.00058   17.8   0.0   233   296   605   670   593   692 0.76 Valine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1738632.1         -           1070 9638at5125           -            448     0.014   13.3   0.0   1   2      0.71   1.2e+03   -3.0   0.0     3    38    58    93    57   104 0.84 Isoleucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAF1738632.1         -           1070 9638at5125           -            448     0.014   13.3   0.0   2   2   2.3e-05     0.039   11.8   0.0   278   311   596   629   580   649 0.89 Isoleucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/9638at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_ERL836_protein.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Bbassiana_ERL836/run_hypocreales_odb10/hmmer_output/initial_run_results/9638at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/9638at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_ERL836_protein.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 14:21:54 2024
# [ok]
