# BUSCO version is: 2.0 
# The lineage dataset is: dikarya_odb9 (Creation date: 2016-02-13, number of species: 75, number of BUSCOs: 1312)
# To reproduce this run: python /home/zack/miniconda3/envs/funannotate/lib/python3.7/site-packages/funannotate/aux_scripts/funannotate-BUSCO2.py -i /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/GENOMES/CcateniannulataMBC234/FunannotatePredict/annotate_misc/genome.proteins.fasta -o busco -l /home/zack/funannotate_db/dikarya/ -m proteins -c 4 -sp aspergillus_nidulans
#
# Busco id	Status	Sequence	Score	Length
EOG0926004Z	Complete	FUN_008718-T1	3278.7	2863
EOG09260075	Complete	FUN_005609-T1	2840.1	2314
EOG0926009O	Complete	FUN_002084-T1	1764.6	1947
EOG092600NM	Complete	FUN_008209-T1	3925.4	2027
EOG092600S9	Complete	FUN_000638-T1	1465.3	1582
EOG092600SD	Complete	FUN_003430-T1	1191.7	1179
EOG092600SK	Complete	FUN_001867-T1	1178.3	1145
EOG092600T4	Complete	FUN_008342-T1	3263.6	1840
EOG092600T9	Complete	FUN_009025-T1	3216.4	1775
EOG092600W1	Complete	FUN_004900-T1	2629.1	1618
EOG092600X0	Complete	FUN_008740-T1	1170.4	1049
EOG092600XJ	Complete	FUN_009492-T1	1216.5	947
EOG092601KZ	Complete	FUN_007698-T1	1289.5	828
EOG092601YK	Complete	FUN_008236-T1	1719.7	1546
EOG0926025H	Complete	FUN_000517-T1	408.3	626
EOG09260274	Complete	FUN_004137-T1	694.0	722
EOG09260289	Complete	FUN_003532-T1	795.2	781
EOG092602BZ	Complete	FUN_002200-T1	2537.9	1444
EOG092602FH	Complete	FUN_002241-T1	1156.2	747
EOG092602I6	Complete	FUN_004504-T1	1938.3	1299
EOG092602MO	Complete	FUN_007335-T1	718.3	702
EOG092602OP	Complete	FUN_005671-T1	1084.5	990
EOG092602UY	Complete	FUN_003855-T1	1674.9	1230
EOG09260375	Complete	FUN_004320-T1	1262.3	925
EOG092603D0	Complete	FUN_006236-T1	1211.2	938
EOG092603EH	Complete	FUN_006564-T1	1331.9	856
EOG092603JK	Complete	FUN_002100-T1	668.1	923
EOG092603KJ	Complete	FUN_002087-T1	1092.6	716
EOG092603SM	Complete	FUN_001856-T1	415.9	564
EOG092603YJ	Complete	FUN_000719-T1	1172.1	1296
EOG0926047G	Complete	FUN_000362-T1	1803.6	1115
EOG09260492	Complete	FUN_010728-T1	1152.5	1035
EOG0926049A	Complete	FUN_000856-T1	679.9	758
