#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
FRD24_003842-T1      -           1703 1484at5125           -           1424         0 2643.7  63.9   1   4   8.8e-29     4e-26   90.0  13.5     8   125    66   179    59   182 0.75 FRD24_003842
FRD24_003842-T1      -           1703 1484at5125           -           1424         0 2643.7  63.9   2   4  4.6e-165  2.1e-162  541.6  12.4    69   456   166   574   160   578 0.88 FRD24_003842
FRD24_003842-T1      -           1703 1484at5125           -           1424         0 2643.7  63.9   3   4     1e-18   4.5e-16   56.7  13.9   429   506   574   650   563   719 0.80 FRD24_003842
FRD24_003842-T1      -           1703 1484at5125           -           1424         0 2643.7  63.9   4   4         0         0 1973.2   7.3   482  1424   752  1703   702  1703 0.95 FRD24_003842
FRD24_001368-T1      -           1693 1484at5125           -           1424  1.5e-152  509.0   9.9   1   2   4.1e-98   1.8e-95  319.8   6.8   499   858   775  1143   764  1155 0.79 FRD24_001368
FRD24_001368-T1      -           1693 1484at5125           -           1424  1.5e-152  509.0   9.9   2   2   5.3e-62   2.4e-59  200.1   0.0  1086  1270  1394  1577  1371  1590 0.94 FRD24_001368
FRD24_007966-T1      -           1116 1484at5125           -           1424  2.5e-130  435.3   5.0   1   3   2.1e-81   9.3e-79  264.4   0.1   496   857   119   466    74   469 0.83 FRD24_007966
FRD24_007966-T1      -           1116 1484at5125           -           1424  2.5e-130  435.3   5.0   2   3   1.6e-56   7.3e-54  181.9   1.1  1108  1267   481   641   475   702 0.90 FRD24_007966
FRD24_007966-T1      -           1116 1484at5125           -           1424  2.5e-130  435.3   5.0   3   3       3.4   1.5e+03   -4.7   3.3   460   519  1044  1102  1027  1116 0.47 FRD24_007966
FRD24_009512-T1      -           1413 1484at5125           -           1424  2.7e-130  435.2  15.5   1   3      0.96   4.3e+02   -2.9   5.0   410   519   266   378   258   447 0.58 FRD24_009512
FRD24_009512-T1      -           1413 1484at5125           -           1424  2.7e-130  435.2  15.5   2   3   1.1e-85   4.7e-83  278.7   9.3   394   857   360   834   309   848 0.72 FRD24_009512
FRD24_009512-T1      -           1413 1484at5125           -           1424  2.7e-130  435.2  15.5   3   3   6.7e-53     3e-50  170.0   0.4  1107  1306   850  1054   844  1062 0.88 FRD24_009512
FRD24_000633-T1      -            878 1484at5125           -           1424  2.8e-105  352.3   6.2   1   3   7.1e-70   3.2e-67  226.2   2.5   549   832   127   416    37   421 0.83 FRD24_000633
FRD24_000633-T1      -            878 1484at5125           -           1424  2.8e-105  352.3   6.2   2   3       2.1   9.6e+02   -4.0   2.7    91   131   479   521   418   557 0.45 FRD24_000633
FRD24_000633-T1      -            878 1484at5125           -           1424  2.8e-105  352.3   6.2   3   3   7.7e-43   3.5e-40  136.6   0.1  1112  1268   633   790   618   795 0.96 FRD24_000633
FRD24_007807-T1      -           1604 1484at5125           -           1424  1.1e-100  337.0   5.0   1   3   2.7e-55   1.2e-52  177.9   0.6   533   857   427   738   399   758 0.86 FRD24_007807
FRD24_007807-T1      -           1604 1484at5125           -           1424  1.1e-100  337.0   5.0   2   3   3.3e-53   1.5e-50  171.0   0.3  1111  1265   762   917   746   935 0.94 FRD24_007807
FRD24_007807-T1      -           1604 1484at5125           -           1424  1.1e-100  337.0   5.0   3   3       6.7     3e+03   -5.7   4.1    79   205  1034  1172  1022  1175 0.38 FRD24_007807
FRD24_006702-T1      -           1155 1484at5125           -           1424     1e-89  300.7  15.0   1   3       1.5   6.5e+02   -3.5   4.7   442   556    63   176     3   212 0.59 FRD24_006702
FRD24_006702-T1      -           1155 1484at5125           -           1424     1e-89  300.7  15.0   2   3   6.3e-52   2.8e-49  166.7   0.3   478   857   315   711   231   717 0.71 FRD24_006702
FRD24_006702-T1      -           1155 1484at5125           -           1424     1e-89  300.7  15.0   3   3   2.4e-43   1.1e-40  138.3   0.1  1113  1332   730   952   721  1002 0.81 FRD24_006702
FRD24_009553-T1      -           1901 1484at5125           -           1424   3.7e-87  292.3   1.2   1   2     9e-55     4e-52  176.2   0.0   549   861  1301  1621  1275  1645 0.85 FRD24_009553
FRD24_009553-T1      -           1901 1484at5125           -           1424   3.7e-87  292.3   1.2   2   2   3.3e-36   1.5e-33  114.7   0.3  1130  1254  1679  1806  1673  1833 0.87 FRD24_009553
FRD24_005648-T1      -            562 1484at5125           -           1424   6.7e-75  251.7   1.2   1   2   3.8e-38   1.7e-35  121.0   0.0   582   857     1   284     1   288 0.84 FRD24_005648
FRD24_005648-T1      -            562 1484at5125           -           1424   6.7e-75  251.7   1.2   2   2   1.5e-40   6.6e-38  129.1   0.8  1109  1291   315   499   305   505 0.93 FRD24_005648
FRD24_000917-T1      -            946 1484at5125           -           1424   1.5e-73  247.2   0.1   1   2     3e-41   1.4e-38  131.3   0.0   552   857   395   702   368   728 0.86 FRD24_000917
FRD24_000917-T1      -            946 1484at5125           -           1424   1.5e-73  247.2   0.1   2   2   6.9e-36   3.1e-33  113.6   0.0  1111  1253   769   911   760   930 0.93 FRD24_000917
FRD24_008416-T1      -           1646 1484at5125           -           1424   1.8e-70  237.0  17.8   1   2   3.3e-40   1.5e-37  127.9   1.0   532   857   816  1133   788  1137 0.82 FRD24_008416
