#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
FUN_005474-T1        -           1067 4603at5125           -            744         0 1444.6  31.0   1   4   5.1e-29   7.8e-27   93.3   0.3     1    61    43   103    43   126 0.92 FUN_005474
FUN_005474-T1        -           1067 4603at5125           -            744         0 1444.6  31.0   2   4      0.01       1.5    6.3   0.9    44    90   205   251   187   270 0.81 FUN_005474
FUN_005474-T1        -           1067 4603at5125           -            744         0 1444.6  31.0   3   4   8.1e-27   1.2e-24   86.0   4.9    65   148   285   373   272   384 0.89 FUN_005474
FUN_005474-T1        -           1067 4603at5125           -            744         0 1444.6  31.0   4   4         0         0 1273.8   4.3   149   744   432  1060   422  1060 0.96 FUN_005474
FUN_000277-T1        -            674 4603at5125           -            744   7.4e-93  311.6  21.2   1   4     7e-13   1.1e-10   39.9   0.1   159   256   105   202    89   226 0.85 FUN_000277
FUN_000277-T1        -            674 4603at5125           -            744   7.4e-93  311.6  21.2   2   4   2.3e-27   3.6e-25   87.8   0.8   337   467   244   371   224   377 0.91 FUN_000277
FUN_000277-T1        -            674 4603at5125           -            744   7.4e-93  311.6  21.2   3   4   1.5e-10   2.2e-08   32.3   0.3   432   467   377   412   372   413 0.94 FUN_000277
FUN_000277-T1        -            674 4603at5125           -            744   7.4e-93  311.6  21.2   4   4   2.4e-50   3.6e-48  163.8   3.4   538   721   413   595   411   604 0.96 FUN_000277
FUN_010076-T1        -            558 4603at5125           -            744   4.5e-87  292.4  23.6   1   4   4.7e-17   7.1e-15   53.7   0.2   522   612   163   255   151   258 0.89 FUN_010076
FUN_010076-T1        -            558 4603at5125           -            744   4.5e-87  292.4  23.6   2   4   3.7e-32   5.7e-30  103.7   1.4   536   686   221   376   216   384 0.90 FUN_010076
FUN_010076-T1        -            558 4603at5125           -            744   4.5e-87  292.4  23.6   3   4   4.7e-30   7.2e-28   96.7   2.2   534   686   261   418   254   418 0.89 FUN_010076
