#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GT4                  -            160 FUN_004133-T1        -            477   3.7e-37  122.9   0.0   1   1   8.3e-40   5.8e-37  122.3   0.0     7   150   229   402   223   412 0.94 -
AA8                  -            182 FUN_004161-T1        -            401   2.3e-16   55.4   2.2   1   1   5.7e-19     4e-16   54.6   2.2    14   177    31   183    19   187 0.84 -
AA1                  -            358 FUN_004177-T1        -            606   1.8e-88  292.9   0.2   1   1   1.4e-90   2.5e-88  292.4   0.2     2   358    35   558    34   558 0.80 -
AA1_1                -            303 FUN_004177-T1        -            606   3.7e-42  139.9   0.0   1   1   3.9e-44   6.8e-42  139.0   0.0     3   238    42   284    40   327 0.86 -
AA1_2                -            337 FUN_004177-T1        -            606   8.3e-42  138.8   3.0   1   2   2.7e-43   4.8e-41  136.3   0.0     2   225    47   285    46   408 0.89 -
AA1_2                -            337 FUN_004177-T1        -            606   8.3e-42  138.8   3.0   2   2      0.11        19   -0.5   3.6    72   106   534   567   465   574 0.69 -
AA1_3                -            312 FUN_004177-T1        -            606   1.9e-40  134.3   1.0   1   2   1.6e-42   2.8e-40  133.8   0.0    14   271    29   301    20   332 0.85 -
AA1_3                -            312 FUN_004177-T1        -            606   1.9e-40  134.3   1.0   2   2      0.59     1e+02   -2.7   0.4   100   135   532   566   528   568 0.80 -
GT57                 -            481 FUN_004231-T1        -            589  6.8e-148  489.0  27.6   1   2   2.2e-95   1.5e-92  306.4  10.0     2   229    65   297    64   309 0.97 -
GT57                 -            481 FUN_004231-T1        -            589  6.8e-148  489.0  27.6   2   2   1.7e-59   1.2e-56  188.0   9.6   229   480   337   567   320   568 0.90 -
