#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
QLI71799.1           -            923 7841at5125           -            621         0 1067.2  26.1   1   5   2.3e-08   5.4e-05   21.1   0.2    13    81    83   164    72   184 0.62 hypothetical protein G6M90_00g085000 [Metarhizium brunneum]
QLI71799.1           -            923 7841at5125           -            621         0 1067.2  26.1   2   5    0.0023       5.3    4.6   0.7    43    91   186   249   177   274 0.65 hypothetical protein G6M90_00g085000 [Metarhizium brunneum]
QLI71799.1           -            923 7841at5125           -            621         0 1067.2  26.1   3   5     4e-06    0.0091   13.7   3.8    85   132   272   318   242   344 0.63 hypothetical protein G6M90_00g085000 [Metarhizium brunneum]
QLI71799.1           -            923 7841at5125           -            621         0 1067.2  26.1   4   5   6.6e-11   1.5e-07   29.5   7.1    66   155   307   401   301   426 0.67 hypothetical protein G6M90_00g085000 [Metarhizium brunneum]
QLI71799.1           -            923 7841at5125           -            621         0 1067.2  26.1   5   5  3.3e-307  7.5e-304 1008.3   0.1   153   621   439   912   418   912 0.97 hypothetical protein G6M90_00g085000 [Metarhizium brunneum]
QLI73521.1           -            807 7841at5125           -            621   6.8e-11   40.6   1.2   1   2     2e-13   4.5e-10   37.9   0.3   176   227    32    83    20    93 0.91 hypothetical protein G6M90_00g098140 [Metarhizium brunneum]
QLI73521.1           -            807 7841at5125           -            621   6.8e-11   40.6   1.2   2   2     0.027        62    1.1   0.0   368   452   205   295   191   305 0.73 hypothetical protein G6M90_00g098140 [Metarhizium brunneum]
QLI67846.1           -            228 7841at5125           -            621   1.6e-07   29.5   0.1   1   1   1.1e-10   2.4e-07   28.9   0.1   177   227     6    54     3    64 0.93 hypothetical protein G6M90_00g039100 [Metarhizium brunneum]
QLI70751.1           -            167 7841at5125           -            621   6.3e-06   24.2   0.4   1   1     4e-09   9.2e-06   23.6   0.4   174   228     2    54     1    66 0.90 hypothetical protein G6M90_00g068430 [Metarhizium brunneum]
QLI69233.1           -            645 7841at5125           -            621     0.001   16.9   0.1   1   1     8e-07    0.0018   16.0   0.1   177   224     5    52     2    68 0.93 hypothetical protein G6M90_00g059840 [Metarhizium brunneum]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/7841at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Mbrunneum4556_protein.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Mbrunneum_ARSEF4556/run_hypocreales_odb10/hmmer_output/initial_run_results/7841at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/7841at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Mbrunneum4556_protein.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 15:36:07 2024
# [ok]
