#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
FUN_007459-T1        -           1161 5192at5125           -            842         0 1510.8  51.4   1   5  9.2e-213  2.6e-209  696.5  13.5     1   339     1   382     1   393 0.92 FUN_007459
FUN_007459-T1        -           1161 5192at5125           -            842         0 1510.8  51.4   2   5   4.3e-34   1.2e-30  105.4   5.4   346   446   438   580   426   590 0.85 FUN_007459
FUN_007459-T1        -           1161 5192at5125           -            842         0 1510.8  51.4   3   5     2e-21   5.6e-18   63.5   6.3   448   544   619   727   606   737 0.75 FUN_007459
FUN_007459-T1        -           1161 5192at5125           -            842         0 1510.8  51.4   4   5     0.029        83    0.1   0.6   508   527   753   772   750   802 0.72 FUN_007459
FUN_007459-T1        -           1161 5192at5125           -            842         0 1510.8  51.4   5   5  7.5e-197  2.1e-193  643.8   0.5   515   842   807  1145   768  1145 0.93 FUN_007459
FUN_007167-T1        -            394 5192at5125           -            842   4.4e-40  136.6   0.1   1   3   2.2e-15   6.2e-12   43.5   0.0     1   100     1   109     1   118 0.77 FUN_007167
FUN_007167-T1        -            394 5192at5125           -            842   4.4e-40  136.6   0.1   2   3   3.3e-25   9.5e-22   76.0   0.0   569   693   126   253   114   264 0.88 FUN_007167
FUN_007167-T1        -            394 5192at5125           -            842   4.4e-40  136.6   0.1   3   3   2.9e-06    0.0082   13.3   0.1   732   786   268   326   257   333 0.84 FUN_007167
FUN_002940-T1        -            790 5192at5125           -            842     1e-23   82.5   0.0   1   2   4.5e-11   1.3e-07   29.2   0.0     1   102     1   103     1   117 0.85 FUN_002940
FUN_002940-T1        -            790 5192at5125           -            842     1e-23   82.5   0.0   2   2   1.1e-17     3e-14   51.2   0.0   575   690   124   243   112   252 0.82 FUN_002940
FUN_006824-T1        -            825 5192at5125           -            842   1.1e-23   82.4   0.0   1   2   1.2e-06    0.0035   14.5   0.0    25    86    84   140    69   153 0.77 FUN_006824
FUN_006824-T1        -            825 5192at5125           -            842   1.1e-23   82.4   0.0   2   2     4e-22   1.1e-18   65.8   0.0   583   782   153   366   146   379 0.78 FUN_006824
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/5192at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/C_cateniannulata_MBC234.proteins.fa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Ccateniannulata_MBC234/run_hypocreales_odb10/hmmer_output/initial_run_results/5192at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/5192at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/C_cateniannulata_MBC234.proteins.fa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 14:32:18 2024
# [ok]
