#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAH8718212.1         -            948 4153at5125           -            802         0 1381.4   1.0   1   2         0         0 1354.3   0.0     1   778     1   887     1   902 0.91 Isoleucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8718212.1         -            948 4153at5125           -            802         0 1381.4   1.0   2   2   6.1e-09   7.6e-06   23.2   0.3   776   801   908   938   903   939 0.89 Isoleucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8720889.1         -           1070 4153at5125           -            802   4.1e-65  219.2   0.0   1   1   2.1e-67   2.6e-64  216.6   0.0    35   592    34   628    14   803 0.79 Isoleucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAH8713872.1         -           1125 4153at5125           -            802   4.1e-63  212.6   0.0   1   2   2.8e-65   3.4e-62  209.6   0.0    34   588    75   666    56   673 0.81 Isoleucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAH8713872.1         -           1125 4153at5125           -            802   4.1e-63  212.6   0.0   2   2     0.075        93   -0.2   0.0   684   716   797   829   742   833 0.71 Isoleucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAH8717468.1         -            601 4153at5125           -            802   4.4e-27   93.5   0.2   1   2   8.6e-16   1.1e-12   45.9   0.0    25   183   134   302   126   308 0.77 Valine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8717468.1         -            601 4153at5125           -            802   4.4e-27   93.5   0.2   2   2   1.1e-15   1.3e-12   45.6   0.0   244   445   339   544   322   557 0.82 Valine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8715104.1         -            967 4153at5125           -            802   1.8e-17   61.7   2.3   1   6     6e-14   7.4e-11   39.8   0.0    42   180    98   229    65   250 0.84 Leucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8715104.1         -            967 4153at5125           -            802   1.8e-17   61.7   2.3   2   6      0.43   5.3e+02   -2.7   0.0   372   405   233   266   231   268 0.90 Leucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8715104.1         -            967 4153at5125           -            802   1.8e-17   61.7   2.3   3   6      0.56   6.9e+02   -3.1   0.0   281   311   385   415   366   423 0.80 Leucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8715104.1         -            967 4153at5125           -            802   1.8e-17   61.7   2.3   4   6   1.1e-06    0.0013   15.8   0.1   425   499   490   574   472   581 0.63 Leucine--tRNA ligase, mitochondrial [Beauveria bassiana]
