#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PHA62_003701-T1      -           1067 4603at5125           -            744         0 1442.6  42.0   1   4   1.5e-28     2e-26   91.8   2.1     1    62    43   104    43   189 0.76 PHA62_003701
PHA62_003701-T1      -           1067 4603at5125           -            744         0 1442.6  42.0   2   4      0.18        24    2.3   3.0    44   101   204   261   190   269 0.79 PHA62_003701
PHA62_003701-T1      -           1067 4603at5125           -            744         0 1442.6  42.0   3   4   4.8e-27   6.3e-25   86.8   6.3    66   150   285   374   265   389 0.88 PHA62_003701
PHA62_003701-T1      -           1067 4603at5125           -            744         0 1442.6  42.0   4   4         0         0 1279.1   7.0   149   744   429  1060   424  1060 0.96 PHA62_003701
PHA62_009423-T1      -            679 4603at5125           -            744   7.5e-93  311.4  20.6   1   4   1.2e-12   1.6e-10   39.2   0.1   159   250   107   198    91   226 0.86 PHA62_009423
PHA62_009423-T1      -            679 4603at5125           -            744   7.5e-93  311.4  20.6   2   4   2.5e-27   3.3e-25   87.8   1.1   338   467   247   373   225   378 0.91 PHA62_009423
PHA62_009423-T1      -            679 4603at5125           -            744   7.5e-93  311.4  20.6   3   4   1.5e-10     2e-08   32.3   0.3   432   467   379   414   373   415 0.94 PHA62_009423
PHA62_009423-T1      -            679 4603at5125           -            744   7.5e-93  311.4  20.6   4   4   1.5e-50     2e-48  164.6   2.5   538   723   415   599   413   621 0.92 PHA62_009423
PHA62_008356-T1      -           1508 4603at5125           -            744     6e-87  291.9   7.0   1   4   1.5e-22     2e-20   71.9   0.0   524   642   994  1115   987  1120 0.91 PHA62_008356
PHA62_008356-T1      -           1508 4603at5125           -            744     6e-87  291.9   7.0   2   4   9.1e-23   1.2e-20   72.7   0.1   523   642  1118  1241  1115  1246 0.89 PHA62_008356
PHA62_008356-T1      -           1508 4603at5125           -            744     6e-87  291.9   7.0   3   4   3.4e-24   4.5e-22   77.4   0.0   523   642  1244  1367  1241  1372 0.90 PHA62_008356
PHA62_008356-T1      -           1508 4603at5125           -            744     6e-87  291.9   7.0   4   4   8.8e-23   1.2e-20   72.7   0.1   523   642  1370  1493  1368  1499 0.90 PHA62_008356
PHA62_005871-T1      -            686 4603at5125           -            744   6.9e-61  205.8  15.1   1   3   6.1e-38   8.1e-36  122.9   5.5   145   462   143   438   135   443 0.79 PHA62_005871
PHA62_005871-T1      -            686 4603at5125           -            744   6.9e-61  205.8  15.1   2   3   1.5e-12   1.9e-10   39.0   1.1   524   611   430   516   428   525 0.93 PHA62_005871
