!! Predictions spanning range 34 - 9355 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 10000.00 34-813 orient(+) score(234780.00) noncoding_equivalent(23.48) raw_noncoding(0.00) offset(0.00) 
34	813	terminal+	1	3	{snap_scaffold_481-snap.1-T1;snap},{GeneMark_model.10706_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 12.23 1593-5152 orient(-) score(989952.00) noncoding_equivalent(80957.38) raw_noncoding(114329.00) offset(33371.62) 
1873	1593	terminal-	5	6	{GeneMark_model.10707_t;GeneMark},{GlimmerHMM_glimmerT_10859-T1;GlimmerHMM},{Augustus_model.g9032.t1;Augustus},{snap_scaffold_481-snap.2-T1;snap}
1927	1874	INTRON			{GeneMark_model.10707_t;GeneMark},{GlimmerHMM_glimmerT_10859-T1;GlimmerHMM},{Augustus_model.g9032.t1;Augustus},{snap_scaffold_481-snap.2-T1;snap}
4876	1928	internal-	5	4	{GlimmerHMM_glimmerT_10859-T1;GlimmerHMM}
4964	4877	INTRON			{GeneMark_model.10707_t;GeneMark},{Augustus_model.g9032.t1;Augustus}
4995	4965	internal-	4	4	{GeneMark_model.10707_t;GeneMark},{Augustus_model.g9032.t1;Augustus}
5074	4996	INTRON			{GeneMark_model.10707_t;GeneMark},{Augustus_model.g9032.t1;Augustus}
5152	5075	initial-	4	6	{GeneMark_model.10707_t;GeneMark},{Augustus_model.g9032.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 1.98 9173-9355 orient(-) score(36600.00) noncoding_equivalent(18483.00) raw_noncoding(18483.00) offset(0.00) 
9355	9173	terminal-	4	6	{GeneMark_model.10708_t;GeneMark}

