#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAF1737978.1         -           1777 522at5125            -           1440         0 2680.5  25.1   1   5         0         0 1092.8   0.0     1   591     1   644     1   662 0.94 Chitin synthase 6 [Beauveria bassiana]
KAF1737978.1         -           1777 522at5125            -           1440         0 2680.5  25.1   2   5   1.8e-62   1.9e-59  200.4   1.3   576   738   661   880   653   913 0.83 Chitin synthase 6 [Beauveria bassiana]
KAF1737978.1         -           1777 522at5125            -           1440         0 2680.5  25.1   3   5         0         0 1307.1   4.8   743  1362   944  1623   884  1642 0.93 Chitin synthase 6 [Beauveria bassiana]
KAF1737978.1         -           1777 522at5125            -           1440         0 2680.5  25.1   4   5      0.27   2.8e+02   -2.3   0.0  1351  1378  1643  1669  1630  1677 0.76 Chitin synthase 6 [Beauveria bassiana]
KAF1737978.1         -           1777 522at5125            -           1440         0 2680.5  25.1   5   5   2.2e-29   2.3e-26   90.8   0.6  1384  1440  1721  1777  1679  1777 0.84 Chitin synthase 6 [Beauveria bassiana]
KAF1737976.1         -           1860 522at5125            -           1440  2.5e-270  899.2  11.5   1   5     1e-06    0.0011   15.7   0.1    36   257    47   285    17   301 0.69 Chitin synthase 8 [Beauveria bassiana]
KAF1737976.1         -           1860 522at5125            -           1440  2.5e-270  899.2  11.5   2   5      0.16   1.6e+02   -1.5   0.0   266   333   343   410   304   445 0.69 Chitin synthase 8 [Beauveria bassiana]
KAF1737976.1         -           1860 522at5125            -           1440  2.5e-270  899.2  11.5   3   5    0.0042       4.3    3.7   0.0   473   558   687   773   677   794 0.81 Chitin synthase 8 [Beauveria bassiana]
KAF1737976.1         -           1860 522at5125            -           1440  2.5e-270  899.2  11.5   4   5   3.3e-20   3.5e-17   60.4   0.1   613   685   870   945   811   956 0.81 Chitin synthase 8 [Beauveria bassiana]
KAF1737976.1         -           1860 522at5125            -           1440  2.5e-270  899.2  11.5   5   5    2e-250    2e-247  823.3   0.7   755  1426  1151  1846  1121  1853 0.87 Chitin synthase 8 [Beauveria bassiana]
KAF1730189.1         -           1211 522at5125            -           1440  1.4e-158  529.0   0.5   1   2   5.3e-08   5.5e-05   19.9   0.0   603   682   171   258   123   263 0.75 Chitin synthase 4 [Beauveria bassiana]
KAF1730189.1         -           1211 522at5125            -           1440  1.4e-158  529.0   0.5   2   2  6.3e-155  6.6e-152  506.8   0.5   836  1310   675  1172   672  1182 0.91 Chitin synthase 4 [Beauveria bassiana]
KAF1733499.1         -            648 522at5125            -           1440   4.9e-29   99.6   0.9   1   1   6.9e-32   7.1e-29   99.1   0.9   806  1286   142   637   131   640 0.70 Chitin synthase 6 [Beauveria bassiana]
KAF1731315.1         -            922 522at5125            -           1440   4.2e-21   73.4   0.0   1   2   6.7e-21     7e-18   62.7   0.0   999  1196   375   584   368   618 0.76 Chitin synthase 1 [Beauveria bassiana]
KAF1731315.1         -            922 522at5125            -           1440   4.2e-21   73.4   0.0   2   2   0.00015      0.16    8.5   0.1  1217  1276   721   781   709   850 0.83 Chitin synthase 1 [Beauveria bassiana]
KAF1734247.1         -           1088 522at5125            -           1440   1.7e-15   54.8   0.2   1   2   1.4e-15   1.5e-12   45.0   0.0  1002  1170   576   751   569   777 0.77 Chitin synthase 2 [Beauveria bassiana]
KAF1734247.1         -           1088 522at5125            -           1440   1.7e-15   54.8   0.2   2   2   0.00032      0.33    7.4   0.3  1220  1276   898   955   851  1020 0.78 Chitin synthase 2 [Beauveria bassiana]
KAF1734676.1         -            693 522at5125            -           1440   5.2e-15   53.2   4.0   1   1   7.3e-18   7.6e-15   52.6   4.0  1000  1277   247   527   227   548 0.73 Chitin synthase D [Beauveria bassiana]
KAF1737991.1         -            460 522at5125            -           1440     1e-14   52.2   1.8   1   1   1.3e-17   1.4e-14   51.7   1.8   999  1173   160   333   153   414 0.81 Chitin synthase D [Beauveria bassiana]
KAF1733892.1         -            912 522at5125            -           1440   5.4e-13   46.5   6.0   1   2   6.2e-14   6.4e-11   39.6   0.0  1001  1167   388   562   380   617 0.81 Chitin synthase 3 [Beauveria bassiana]
KAF1733892.1         -            912 522at5125            -           1440   5.4e-13   46.5   6.0   2   2    0.0029         3    4.2   6.4  1220  1275   713   769   666   777 0.74 Chitin synthase 3 [Beauveria bassiana]
KAF1739126.1         -            650 522at5125            -           1440   2.9e-06   24.2   0.2   1   1   7.9e-09   8.2e-06   22.7   0.2  1000  1085   292   377   285   445 0.82 Hyaluronan synthase 2 [Beauveria bassiana]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/522at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_ERL836_protein.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Bbassiana_ERL836/run_hypocreales_odb10/hmmer_output/initial_run_results/522at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/522at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_ERL836_protein.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 14:21:56 2024
# [ok]
