# BUSCO version is: 2.0 
# The lineage dataset is: dikarya_odb9 (Creation date: 2016-02-13, number of species: 75, number of BUSCOs: 1312)
# To reproduce this run: python /home/zack/miniconda3/envs/funannotate/lib/python3.7/site-packages/funannotate/aux_scripts/funannotate-BUSCO2.py -i /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/GENOMES/TrichodermaReesei_CBS999.97/FunannotatePredict/annotate_misc/genome.proteins.fasta -o busco -l /home/zack/funannotate_db/dikarya/ -m proteins -c 4 -sp aspergillus_nidulans
#
# Busco id	Status	Sequence	Score	Length
EOG0926004Z	Complete	FUN_001176-T1	3259.8	2893
EOG09260075	Complete	FUN_008284-T1	2865.2	2325
EOG0926009O	Complete	FUN_005486-T1	1745.1	1723
EOG092600NM	Complete	FUN_008749-T1	4005.3	2039
EOG092600S9	Complete	FUN_006602-T1	1469.2	1518
EOG092600SD	Complete	FUN_005244-T1	1193.7	1214
EOG092600SK	Complete	FUN_002871-T1	1220.7	1145
EOG092600T4	Complete	FUN_009165-T1	3291.5	1818
EOG092600T9	Complete	FUN_003805-T1	3234.7	1776
EOG092600W1	Complete	FUN_002698-T1	2651.9	1604
EOG092600X0	Complete	FUN_002337-T1	1167.6	1013
EOG092600XJ	Complete	FUN_000893-T1	1492.3	1212
EOG092601KZ	Complete	FUN_008854-T1	1323.8	831
EOG092601YK	Complete	FUN_004277-T1	1749.8	1553
EOG0926025H	Complete	FUN_003976-T1	396.0	570
EOG09260274	Complete	FUN_007291-T1	683.0	756
EOG09260289	Complete	FUN_003200-T1	821.2	779
EOG092602BZ	Complete	FUN_005060-T1	2537.5	1435
EOG092602FH	Complete	FUN_004547-T1	1305.0	922
EOG092602I6	Complete	FUN_006760-T1	1948.6	1302
EOG092602MO	Complete	FUN_003386-T1	717.3	725
EOG092602OP	Complete	FUN_003949-T1	1110.5	970
EOG092602UY	Complete	FUN_006809-T1	1654.1	1232
EOG09260375	Complete	FUN_008589-T1	1270.1	923
EOG092603D0	Complete	FUN_002215-T1	1145.5	912
EOG092603EH	Complete	FUN_003959-T1	1347.7	863
EOG092603JK	Complete	FUN_005506-T1	689.2	891
EOG092603KJ	Complete	FUN_005494-T1	1068.0	702
EOG092603SM	Complete	FUN_002862-T1	434.1	608
EOG092603YJ	Complete	FUN_008783-T1	1204.7	1278
EOG0926047G	Complete	FUN_004071-T1	1785.8	1081
EOG09260492	Complete	FUN_001086-T1	1185.0	1045
EOG0926049A	Complete	FUN_002415-T1	668.5	750
EOG0926049S	Complete	FUN_002673-T1	874.1	778
EOG092604A0	Complete	FUN_004296-T1	666.0	865
EOG092604I8	Complete	FUN_004298-T1	782.6	800
EOG092604KQ	Complete	FUN_003230-T1	717.9	890
EOG092604MJ	Complete	FUN_007606-T1	868.0	1007
EOG092604ML	Complete	FUN_005487-T1	688.6	894
EOG092604S1	Complete	FUN_002686-T1	298.7	393
EOG092604ZZ	Complete	FUN_002497-T1	678.6	734
EOG0926051U	Complete	FUN_001180-T1	859.9	1036
EOG092605FC	Complete	FUN_001305-T1	1013.1	805
EOG092605KN	Complete	FUN_002693-T1	965.1	758
EOG092605OK	Complete	FUN_008703-T1	1795.0	1251
EOG092605QM	Complete	FUN_001432-T1	907.2	966
EOG092605T6	Complete	FUN_000114-T1	3718.2	2785
EOG092605VL	Complete	FUN_007377-T1	805.9	812
EOG092605VU	Complete	FUN_001385-T1	387.0	639
EOG092605ZA	Complete	FUN_004692-T1	351.4	371
EOG092606AD	Complete	FUN_002510-T1	182.9	218
EOG092606AJ	Complete	FUN_006501-T1	1089.7	810
EOG092606CY	Complete	FUN_006396-T1	1207.3	1123
EOG092606O3	Complete	FUN_001135-T1	963.1	663
EOG092606UX	Complete	FUN_007393-T1	970.8	906
EOG092606WZ	Complete	FUN_005807-T1	970.3	1163
EOG0926071Q	Complete	FUN_005912-T1	831.6	1045
EOG0926073O	Complete	FUN_004255-T1	1400.7	956
EOG0926074Y	Complete	FUN_002414-T1	1555.9	1068
EOG09260779	Complete	FUN_002552-T1	1127.2	1062
EOG0926077L	Complete	FUN_000324-T1	325.3	542
EOG0926079Q	Complete	FUN_002112-T1	1276.6	915
EOG092607OQ	Complete	FUN_001164-T1	895.1	764
EOG092607QZ	Complete	FUN_001485-T1	1115.9	781
EOG092607ZS	Complete	FUN_001451-T1	1239.5	910
EOG092608AE	Complete	FUN_004679-T1	1034.9	1059
EOG092608AV	Complete	FUN_003763-T1	1011.1	854
EOG092608C4	Complete	FUN_008345-T1	1578.5	1029
EOG092608GK	Complete	FUN_005911-T1	466.4	821
EOG092608L0	Complete	FUN_002273-T1	1581.3	902
EOG092608RH	Complete	FUN_002467-T1	592.2	835
EOG092608T8	Complete	FUN_001388-T1	1339.4	737
EOG092608WI	Complete	FUN_007787-T1	621.2	522
EOG092608WU	Complete	FUN_001473-T1	681.1	769
EOG092608ZS	Complete	FUN_007127-T1	1192.1	776
EOG0926092K	Complete	FUN_000881-T1	1609.3	906
EOG09260931	Complete	FUN_002737-T1	485.9	633
EOG092609JB	Complete	FUN_005832-T1	855.8	674
EOG092609O9	Complete	FUN_007670-T1	931.6	808
