!! Predictions spanning range 1567 - 15107 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 4.87 1567-3712 orient(+) score(641975.00) noncoding_equivalent(131906.94) raw_noncoding(142966.00) offset(11059.06) 
1567	1597	initial+	1	1	{GeneMark_model.5378_t;GeneMark},{snap_scaffold_8-snap.274-T1;snap},{Augustus_model.g4284.t1;Augustus}
1598	1674	INTRON			{GeneMark_model.5378_t;GeneMark},{snap_scaffold_8-snap.274-T1;snap},{Augustus_model.g4284.t1;Augustus},{ev_type:exonerate/ID=match.489573.517/Target=VAC8_CHAGB;exonerate},{ev_type:exonerate/ID=match.489573.720/Target=VAC8_NEUCR;exonerate},{ev_type:exonerate/ID=match.489573.310/Target=VAC8_GIBZE;exonerate}
1675	1760	internal+	2	3	{GeneMark_model.5378_t;GeneMark},{snap_scaffold_8-snap.274-T1;snap},{GlimmerHMM_glimmerT_6226-T1;GlimmerHMM},{Augustus_model.g4284.t1;Augustus},{ev_type:exonerate/ID=match.489573.517/Target=VAC8_CHAGB;exonerate},{ev_type:exonerate/ID=match.489573.720/Target=VAC8_NEUCR;exonerate},{ev_type:exonerate/ID=match.489573.310/Target=VAC8_GIBZE;exonerate}
1761	1836	INTRON			{GeneMark_model.5378_t;GeneMark},{snap_scaffold_8-snap.274-T1;snap},{GlimmerHMM_glimmerT_6226-T1;GlimmerHMM},{Augustus_model.g4284.t1;Augustus},{ev_type:exonerate/ID=match.489573.517/Target=VAC8_CHAGB;exonerate},{ev_type:exonerate/ID=match.489573.720/Target=VAC8_NEUCR;exonerate},{ev_type:exonerate/ID=match.489573.310/Target=VAC8_GIBZE;exonerate}
1837	1957	internal+	1	1	{GeneMark_model.5378_t;GeneMark},{snap_scaffold_8-snap.274-T1;snap},{GlimmerHMM_glimmerT_6226-T1;GlimmerHMM},{Augustus_model.g4284.t1;Augustus},{ev_type:exonerate/ID=match.489573.517/Target=VAC8_CHAGB;exonerate},{ev_type:exonerate/ID=match.489573.720/Target=VAC8_NEUCR;exonerate},{ev_type:exonerate/ID=match.489573.310/Target=VAC8_GIBZE;exonerate}
1958	2085	INTRON			{GeneMark_model.5378_t;GeneMark},{snap_scaffold_8-snap.274-T1;snap},{GlimmerHMM_glimmerT_6226-T1;GlimmerHMM},{Augustus_model.g4284.t1;Augustus},{ev_type:exonerate/ID=match.489573.517/Target=VAC8_CHAGB;exonerate},{ev_type:exonerate/ID=match.489573.720/Target=VAC8_NEUCR;exonerate},{ev_type:exonerate/ID=match.489573.310/Target=VAC8_GIBZE;exonerate}
2086	2199	internal+	2	1	{GeneMark_model.5378_t;GeneMark},{snap_scaffold_8-snap.274-T1;snap},{GlimmerHMM_glimmerT_6226-T1;GlimmerHMM},{Augustus_model.g4284.t1;Augustus},{ev_type:exonerate/ID=match.489573.517/Target=VAC8_CHAGB;exonerate},{ev_type:exonerate/ID=match.489573.720/Target=VAC8_NEUCR;exonerate},{ev_type:exonerate/ID=match.489573.310/Target=VAC8_GIBZE;exonerate}
2200	2262	INTRON			{GeneMark_model.5378_t;GeneMark},{snap_scaffold_8-snap.274-T1;snap},{GlimmerHMM_glimmerT_6226-T1;GlimmerHMM},{Augustus_model.g4284.t1;Augustus},{ev_type:exonerate/ID=match.489573.517/Target=VAC8_CHAGB;exonerate},{ev_type:exonerate/ID=match.489573.720/Target=VAC8_NEUCR;exonerate},{ev_type:exonerate/ID=match.489573.310/Target=VAC8_GIBZE;exonerate}
2263	2508	internal+	2	1	{GeneMark_model.5378_t;GeneMark},{snap_scaffold_8-snap.274-T1;snap},{GlimmerHMM_glimmerT_6226-T1;GlimmerHMM},{Augustus_model.g4284.t1;Augustus},{ev_type:exonerate/ID=match.489573.517/Target=VAC8_CHAGB;exonerate},{ev_type:exonerate/ID=match.489573.720/Target=VAC8_NEUCR;exonerate},{ev_type:exonerate/ID=match.489573.310/Target=VAC8_GIBZE;exonerate}
2509	2564	INTRON			{GeneMark_model.5378_t;GeneMark},{snap_scaffold_8-snap.274-T1;snap},{GlimmerHMM_glimmerT_6226-T1;GlimmerHMM},{Augustus_model.g4284.t1;Augustus},{ev_type:exonerate/ID=match.489573.517/Target=VAC8_CHAGB;exonerate},{ev_type:exonerate/ID=match.489573.720/Target=VAC8_NEUCR;exonerate},{ev_type:exonerate/ID=match.489573.310/Target=VAC8_GIBZE;exonerate}
2565	3314	internal+	2	1	{GeneMark_model.5378_t;GeneMark},{snap_scaffold_8-snap.274-T1;snap},{GlimmerHMM_glimmerT_6226-T1;GlimmerHMM},{Augustus_model.g4284.t1;Augustus},{ev_type:exonerate/ID=match.489573.517/Target=VAC8_CHAGB;exonerate},{ev_type:exonerate/ID=match.489573.720/Target=VAC8_NEUCR;exonerate},{ev_type:exonerate/ID=match.489573.310/Target=VAC8_GIBZE;exonerate}
