#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
OY7_007814-T1        -            810 8048at5125           -            638         0 1151.7  33.6   1   2         0         0 1138.4  26.5     1   611    23   705    23   709 0.92 OY7_007814
OY7_007814-T1        -            810 8048at5125           -            638         0 1151.7  33.6   2   2   2.8e-05    0.0088   13.8   0.6   600   638   773   809   755   809 0.67 OY7_007814
OY7_004824-T1        -            580 8048at5125           -            638  4.4e-106  355.1   0.0   1   1  1.7e-108  5.4e-106  354.8   0.0    18   485    98   576    83   580 0.91 OY7_004824
OY7_009452-T1        -            470 8048at5125           -            638   8.5e-75  251.7   0.0   1   1   3.6e-77   1.1e-74  251.3   0.0    35   374    63   397    34   418 0.91 OY7_009452
OY7_006824-T1        -            639 8048at5125           -            638   9.6e-70  235.0   7.7   1   3   1.8e-21   5.7e-19   67.3   0.0    33   125    28   121     6   129 0.90 OY7_006824
OY7_006824-T1        -            639 8048at5125           -            638   9.6e-70  235.0   7.7   2   3   2.4e-52   7.6e-50  169.3   0.0   143   461   165   508   140   537 0.85 OY7_006824
OY7_006824-T1        -            639 8048at5125           -            638   9.6e-70  235.0   7.7   3   3       1.6     5e+02   -1.9   1.5   578   609   593   625   584   629 0.79 OY7_006824
OY7_003936-T1        -            663 8048at5125           -            638   1.9e-61  207.6   0.0   1   1   9.8e-64   3.1e-61  206.9   0.0    39   370   105   470    86   487 0.84 OY7_003936
OY7_005354-T1        -            552 8048at5125           -            638   1.6e-59  201.2   0.0   1   1   7.7e-62   2.4e-59  200.7   0.0    37   371   138   482   115   496 0.86 OY7_005354
OY7_003703-T1        -            897 8048at5125           -            638     1e-58  198.6   0.6   1   2     3e-46   9.3e-44  149.2   0.1    37   259   102   321    73   328 0.91 OY7_003703
OY7_003703-T1        -            897 8048at5125           -            638     1e-58  198.6   0.6   2   2   1.9e-15   6.1e-13   47.4   0.1   267   365   362   458   356   476 0.87 OY7_003703
OY7_000137-T1        -            561 8048at5125           -            638     2e-58  197.6   0.0   1   1   8.6e-61   2.7e-58  197.2   0.0    34   375   157   500   139   520 0.88 OY7_000137
OY7_006429-T1        -            592 8048at5125           -            638   6.9e-56  189.3   0.0   1   1   2.7e-58   8.4e-56  189.0   0.0    39   376   117   474   101   557 0.82 OY7_006429
OY7_003013-T1        -            755 8048at5125           -            638   1.1e-55  188.5   0.3   1   2   5.6e-14   1.8e-11   42.5   0.0    19    85   249   320   234   335 0.84 OY7_003013
OY7_003013-T1        -            755 8048at5125           -            638   1.1e-55  188.5   0.3   2   2   1.4e-44   4.5e-42  143.6   0.3   127   373   336   583   321   640 0.86 OY7_003013
OY7_002320-T1        -           1185 8048at5125           -            638   3.6e-55  186.9   0.0   1   1     3e-57   9.5e-55  185.5   0.0    39   395   558   924   535   940 0.85 OY7_002320
OY7_003991-T1        -            749 8048at5125           -            638   1.3e-53  181.8   0.2   1   2   2.1e-38   6.5e-36  123.3   0.3    38   285   170   458   146   462 0.79 OY7_003991
OY7_003991-T1        -            749 8048at5125           -            638   1.3e-53  181.8   0.2   2   2   8.1e-18   2.6e-15   55.2   0.0   287   383   490   587   474   595 0.91 OY7_003991
OY7_008678-T1        -            506 8048at5125           -            638   1.6e-53  181.5   0.0   1   1   6.6e-56   2.1e-53  181.1   0.0     7   370    37   393    32   412 0.91 OY7_008678
OY7_005899-T1        -            397 8048at5125           -            638   1.2e-52  178.6   1.2   1   1   4.8e-55   1.5e-52  178.2   1.2    13   383    16   380     7   393 0.91 OY7_005899
OY7_005094-T1        -            675 8048at5125           -            638   6.8e-51  172.8   0.0   1   1   4.4e-53   1.4e-50  171.7   0.0    35   380   198   556   182   566 0.87 OY7_005094
OY7_002687-T1        -            743 8048at5125           -            638   1.4e-48  165.1   0.0   1   2   9.6e-32     3e-29  101.2   0.0    41   197   315   475   305   478 0.88 OY7_002687
OY7_002687-T1        -            743 8048at5125           -            638   1.4e-48  165.1   0.0   2   2     1e-19   3.3e-17   61.5   0.0   196   378   504   685   500   710 0.90 OY7_002687
OY7_004788-T1        -            758 8048at5125           -            638   1.7e-48  164.9   0.4   1   1   7.8e-51   2.4e-48  164.3   0.4    33   372   396   729   370   741 0.92 OY7_004788
OY7_001578-T1        -            769 8048at5125           -            638   5.7e-47  159.8   0.0   1   1   1.8e-49   5.7e-47  159.8   0.0    30   374   351   714   334   765 0.82 OY7_001578
OY7_004637-T1        -            677 8048at5125           -            638   1.1e-46  158.9   0.0   1   1   9.3e-49   2.9e-46  157.5   0.0    16   374    88   474    75   492 0.83 OY7_004637
OY7_005123-T1        -            432 8048at5125           -            638   2.7e-45  154.3   0.1   1   1   1.1e-47   3.5e-45  153.9   0.1    39   384    67   411    41   417 0.91 OY7_005123
OY7_009826-T1        -            775 8048at5125           -            638   9.7e-39  132.6   4.6   1   3       7.5   2.4e+03   -4.1   0.7   591   614   116   139    89   149 0.51 OY7_009826
OY7_009826-T1        -            775 8048at5125           -            638   9.7e-39  132.6   4.6   2   3     1e-21   3.3e-19   68.1   0.0    39   192   200   376   166   384 0.76 OY7_009826
OY7_009826-T1        -            775 8048at5125           -            638   9.7e-39  132.6   4.6   3   3   1.1e-20   3.3e-18   64.8   0.0   236   373   465   601   402   612 0.83 OY7_009826
OY7_000005-T1        -            607 8048at5125           -            638   6.8e-38  129.8   4.4   1   3   2.3e-31   7.3e-29  100.0   0.0    34   271    40   284     3   335 0.80 OY7_000005
OY7_000005-T1        -            607 8048at5125           -            638   6.8e-38  129.8   4.4   2   3       1.2   3.8e+02   -1.5   0.6   580   611   349   382   311   387 0.62 OY7_000005
OY7_000005-T1        -            607 8048at5125           -            638   6.8e-38  129.8   4.4   3   3   2.1e-10   6.7e-08   30.7   0.1   325   374   387   436   376   475 0.78 OY7_000005
OY7_007930-T1        -            494 8048at5125           -            638   9.6e-34  116.1   0.0   1   1     4e-36   1.2e-33  115.7   0.0    32   380    87   438    59   470 0.81 OY7_007930
OY7_000821-T1        -            813 8048at5125           -            638   2.2e-30  105.0  20.3   1   3   2.6e-11   8.2e-09   33.7   0.0    37   139   249   359   229   365 0.79 OY7_000821
OY7_000821-T1        -            813 8048at5125           -            638   2.2e-30  105.0  20.3   2   3   4.5e-14   1.4e-11   42.9   0.0   140   229   413   517   406   544 0.71 OY7_000821
OY7_000821-T1        -            813 8048at5125           -            638   2.2e-30  105.0  20.3   3   3   2.8e-12   8.8e-10   36.9   0.0   319   373   706   760   700   794 0.89 OY7_000821
OY7_004054-T1        -            726 8048at5125           -            638   3.8e-23   81.1   4.1   1   4       2.2   7.1e+02   -2.4   1.0   588   611   132   153   102   181 0.50 OY7_004054
OY7_004054-T1        -            726 8048at5125           -            638   3.8e-23   81.1   4.1   2   4   1.5e-09   4.6e-07   28.0   0.0    56   110   225   288   154   298 0.76 OY7_004054
OY7_004054-T1        -            726 8048at5125           -            638   3.8e-23   81.1   4.1   3   4      0.03       9.3    3.8   0.0   141   186   364   412   355   443 0.79 OY7_004054
OY7_004054-T1        -            726 8048at5125           -            638   3.8e-23   81.1   4.1   4   4   1.6e-15     5e-13   47.7   0.0   294   380   545   631   530   637 0.92 OY7_004054
OY7_005723-T1        -            607 8048at5125           -            638   1.1e-16   59.7   2.1   1   3   3.3e-05      0.01   13.6   0.0    35    86   180   231   151   238 0.74 OY7_005723
OY7_005723-T1        -            607 8048at5125           -            638   1.1e-16   59.7   2.1   2   3   8.9e-06    0.0028   15.5   0.1    96   216   274   397   271   425 0.80 OY7_005723
OY7_005723-T1        -            607 8048at5125           -            638   1.1e-16   59.7   2.1   3   3   8.2e-10   2.6e-07   28.8   0.1   318   379   533   594   521   602 0.89 OY7_005723
OY7_002571-T1        -           1060 8048at5125           -            638   1.1e-07   30.0   0.0   1   2   0.00019      0.06   11.1   0.0    58   212   165   313   135   322 0.81 OY7_002571
OY7_002571-T1        -           1060 8048at5125           -            638   1.1e-07   30.0   0.0   2   2   5.5e-06    0.0017   16.1   0.0   299   379   558   638   542   650 0.85 OY7_002571
OY7_007896-T1        -           1460 8048at5125           -            638   1.2e-06   26.6   0.2   1   2      0.22        69    0.9   0.0    56   174    75   197    52   202 0.64 OY7_007896
OY7_007896-T1        -           1460 8048at5125           -            638   1.2e-06   26.6   0.2   2   2     4e-08   1.3e-05   23.2   0.0   300   361   455   516   443   543 0.80 OY7_007896
OY7_008834-T1        -            734 8048at5125           -            638   7.5e-06   24.0   0.0   1   1   3.8e-08   1.2e-05   23.3   0.0    40   367    78   411    44   420 0.76 OY7_008834
OY7_009795-T1        -           1142 8048at5125           -            638   3.7e-05   21.7   0.0   1   1   1.8e-07   5.5e-05   21.1   0.0   305   370   197   260   191   309 0.73 OY7_009795
OY7_002566-T1        -           1271 8048at5125           -            638   0.00073   17.4   0.0   1   1   1.1e-05    0.0035   15.1   0.0   249   367   596   713   367   756 0.65 OY7_002566
OY7_002978-T1        -            232 8048at5125           -            638      0.42    8.3   6.0   1   1    0.0018      0.56    7.9   6.0   579   632     6    60     3    63 0.88 OY7_002978
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/8048at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Cfumosorosea_grCorFumo1.proteins.fa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Cfumosorosea_grCorFumo1/run_hypocreales_odb10/hmmer_output/initial_run_results/8048at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/8048at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Cfumosorosea_grCorFumo1.proteins.fa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 14:46:41 2024
# [ok]
