#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
OAA73483.1           -            859 6140at5125           -            694         0 1169.9  19.8   1   4     0.002       5.1    4.3   0.1     2    22     3    26     2    29 0.79 Cullin [Cordyceps fumosorosea ARSEF 2679]
OAA73483.1           -            859 6140at5125           -            694         0 1169.9  19.8   2   4   6.3e-64   1.6e-60  204.3   0.6    20   165    59   226    55   231 0.88 Cullin [Cordyceps fumosorosea ARSEF 2679]
OAA73483.1           -            859 6140at5125           -            694         0 1169.9  19.8   3   4  6.5e-255  1.6e-251  835.5   4.3   166   626   250   761   243   766 0.94 Cullin [Cordyceps fumosorosea ARSEF 2679]
OAA73483.1           -            859 6140at5125           -            694         0 1169.9  19.8   4   4   9.9e-43   2.5e-39  134.2   0.1   617   694   777   859   772   859 0.94 Cullin [Cordyceps fumosorosea ARSEF 2679]
OAA61326.1           -            768 6140at5125           -            694   4.8e-09   34.1   0.3   1   1   3.4e-12   8.6e-09   33.3   0.3   415   602   444   649   438   656 0.83 cullin-2 [Cordyceps fumosorosea ARSEF 2679]
OAA74039.1           -            805 6140at5125           -            694   1.1e-05   23.0   0.1   1   2   1.4e-08   3.6e-05   21.3   0.0   417   569   450   638   424   681 0.71 cullin-3 [Cordyceps fumosorosea ARSEF 2679]
OAA74039.1           -            805 6140at5125           -            694   1.1e-05   23.0   0.1   2   2      0.16     4e+02   -2.0   0.0    19    89   686   758   667   767 0.69 cullin-3 [Cordyceps fumosorosea ARSEF 2679]
OAA53398.1           -            842 6140at5125           -            694   3.4e-05   21.4   0.0   1   2      0.29   7.4e+02   -2.9   0.0    73   110   137   174   133   182 0.74 Cullin [Cordyceps fumosorosea ARSEF 2679]
OAA53398.1           -            842 6140at5125           -            694   3.4e-05   21.4   0.0   2   2   3.3e-08   8.3e-05   20.1   0.0   428   571   531   688   520   712 0.78 Cullin [Cordyceps fumosorosea ARSEF 2679]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/6140at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Cfumosorosea_ARSEF2679.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Cfumosorosea_ARSEF2679/run_hypocreales_odb10/hmmer_output/initial_run_results/6140at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/6140at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Cfumosorosea_ARSEF2679.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 14:50:37 2024
# [ok]
