#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
FUN_007656-T1        -           1062 6208at5125           -            826         0 1350.3  34.3   1   4  1.7e-230  3.7e-228  758.7  18.2     1   460     1   533     1   542 0.90 FUN_007656
FUN_007656-T1        -           1062 6208at5125           -            826         0 1350.3  34.3   2   4  4.5e-138  9.9e-136  452.9   0.9   462   719   581   844   550   854 0.93 FUN_007656
FUN_007656-T1        -           1062 6208at5125           -            826         0 1350.3  34.3   3   4   6.8e-45   1.5e-42  144.7   0.1   713   808   865   961   860   972 0.94 FUN_007656
FUN_007656-T1        -           1062 6208at5125           -            826         0 1350.3  34.3   4   4     0.047        10    3.0   0.1   799   826  1018  1045  1009  1045 0.77 FUN_007656
FUN_003002-T1        -            745 6208at5125           -            826   1.1e-38  131.9   6.0   1   4   9.3e-09     2e-06   25.2   0.0   637   709    61   135    56   145 0.85 FUN_003002
FUN_003002-T1        -            745 6208at5125           -            826   1.1e-38  131.9   6.0   2   4   3.4e-24   7.4e-22   76.3   1.9   546   710   148   316   138   332 0.90 FUN_003002
FUN_003002-T1        -            745 6208at5125           -            826   1.1e-38  131.9   6.0   3   4     0.003      0.65    7.0   0.0   633   666   341   374   326   381 0.82 FUN_003002
FUN_003002-T1        -            745 6208at5125           -            826   1.1e-38  131.9   6.0   4   4   1.6e-07   3.5e-05   21.1   0.3   670   725   421   477   414   486 0.88 FUN_003002
FUN_005901-T1        -            843 6208at5125           -            826   4.8e-30  103.3   0.7   1   4     0.014       3.1    4.7   0.0   471   704     3    70     1    84 0.50 FUN_005901
FUN_005901-T1        -            843 6208at5125           -            826   4.8e-30  103.3   0.7   2   4   1.9e-11   4.3e-09   34.0   0.0   631   707   313   390   300   402 0.88 FUN_005901
FUN_005901-T1        -            843 6208at5125           -            826   4.8e-30  103.3   0.7   3   4     0.001      0.22    8.5   0.0   467   526   493   550   459   567 0.78 FUN_005901
FUN_005901-T1        -            843 6208at5125           -            826   4.8e-30  103.3   0.7   4   4   4.6e-16     1e-13   49.4   0.4   586   715   661   800   610   813 0.78 FUN_005901
FUN_008593-T1        -            463 6208at5125           -            826   1.4e-19   68.7   0.0   1   3   1.1e-09   2.4e-07   28.2   0.0   633   714    73   155    60   165 0.87 FUN_008593
FUN_008593-T1        -            463 6208at5125           -            826   1.4e-19   68.7   0.0   2   3   1.1e-08   2.5e-06   24.9   0.0   636   711   166   243   160   264 0.82 FUN_008593
FUN_008593-T1        -            463 6208at5125           -            826   1.4e-19   68.7   0.0   3   3   8.1e-05     0.018   12.2   0.0   638   708   294   360   290   371 0.84 FUN_008593
FUN_008739-T1        -            768 6208at5125           -            826   7.4e-19   66.3   3.0   1   4   4.9e-09   1.1e-06   26.1   0.0   627   724    35   134    19   137 0.84 FUN_008739
FUN_008739-T1        -            768 6208at5125           -            826   7.4e-19   66.3   3.0   2   4   3.7e-08   8.1e-06   23.2   0.0   647   720   160   235   147   240 0.82 FUN_008739
FUN_008739-T1        -            768 6208at5125           -            826   7.4e-19   66.3   3.0   3   4     5e-05     0.011   12.9   0.0   624   688   326   392   309   398 0.68 FUN_008739
FUN_008739-T1        -            768 6208at5125           -            826   7.4e-19   66.3   3.0   4   4      0.16        36    1.2   0.2   663   726   590   660   557   667 0.79 FUN_008739
FUN_002465-T1        -            440 6208at5125           -            826   6.2e-18   63.3   0.0   1   3   3.5e-08   7.7e-06   23.3   0.0   633   711    45   124    29   138 0.89 FUN_002465
FUN_002465-T1        -            440 6208at5125           -            826   6.2e-18   63.3   0.0   2   3   9.9e-07   0.00022   18.5   0.0   633   707   167   245   162   249 0.89 FUN_002465
FUN_002465-T1        -            440 6208at5125           -            826   6.2e-18   63.3   0.0   3   3   1.5e-06   0.00034   17.8   0.0   633   700   337   406   325   424 0.85 FUN_002465
FUN_003909-T1        -            359 6208at5125           -            826     5e-15   53.7   0.4   1   3   2.8e-12     6e-10   36.9   0.0   629   711    43   126    24   135 0.87 FUN_003909
FUN_003909-T1        -            359 6208at5125           -            826     5e-15   53.7   0.4   2   3     0.099        22    1.9   0.0   471   496   237   263   204   273 0.83 FUN_003909
FUN_003909-T1        -            359 6208at5125           -            826     5e-15   53.7   0.4   3   3   0.00013     0.029   11.4   0.1   668   716   286   334   274   343 0.82 FUN_003909
FUN_006994-T1        -            569 6208at5125           -            826     2e-14   51.7   0.4   1   3   1.1e-06   0.00025   18.3   0.3   620   691   161   241   150   279 0.76 FUN_006994
FUN_006994-T1        -            569 6208at5125           -            826     2e-14   51.7   0.4   2   3   5.1e-10   1.1e-07   29.3   0.0   637   720   284   367   269   373 0.88 FUN_006994
FUN_006994-T1        -            569 6208at5125           -            826     2e-14   51.7   0.4   3   3      0.39        85   -0.0   0.0   648   704   495   549   491   554 0.80 FUN_006994
FUN_005156-T1        -            785 6208at5125           -            826     6e-14   50.1   0.0   1   2   6.5e-08   1.4e-05   22.4   0.0   540   695   189   341   185   353 0.74 FUN_005156
FUN_005156-T1        -            785 6208at5125           -            826     6e-14   50.1   0.0   2   2   7.3e-09   1.6e-06   25.5   0.0   585   695   453   566   417   588 0.77 FUN_005156
FUN_005594-T1        -            389 6208at5125           -            826   8.3e-14   49.6   0.0   1   1   1.1e-14   2.5e-12   44.7   0.0   543   724    11   192     9   201 0.77 FUN_005594
FUN_008031-T1        -            402 6208at5125           -            826   1.1e-13   49.2   0.0   1   2   7.9e-10   1.7e-07   28.7   0.0   545   705    29   195    24   204 0.82 FUN_008031
FUN_008031-T1        -            402 6208at5125           -            826   1.1e-13   49.2   0.0   2   2   1.1e-06   0.00023   18.4   0.0   636   698   265   323   260   339 0.86 FUN_008031
FUN_004338-T1        -            296 6208at5125           -            826   1.6e-12   45.4   0.1   1   1     1e-14   2.3e-12   44.9   0.1   637   712   218   295   208   296 0.92 FUN_004338
FUN_000789-T1        -            515 6208at5125           -            826   1.3e-11   42.4   0.1   1   2   3.4e-07   7.5e-05   20.0   0.0   633   683   110   162   102   172 0.85 FUN_000789
FUN_000789-T1        -            515 6208at5125           -            826   1.3e-11   42.4   0.1   2   2   2.7e-07     6e-05   20.3   0.0   614   687   176   250   164   257 0.79 FUN_000789
