# BUSCO version is: 2.0 
# The lineage dataset is: hypocreales_odb10 (Creation date: 2020-08-05, number of species: 50, number of BUSCOs: 4494)
# To reproduce this run: python /home/zack/miniconda3/envs/funannotate/lib/python3.7/site-packages/funannotate/aux_scripts/funannotate-BUSCO2.py -i /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/GENOMES/CcateniannulataMBC234/FunannotatePredict/predict_misc/genome.softmasked.fa -o cordyceps_cateniannulata_mbc234 -l /home/zack/funannotate_db/hypocreales_odb10/ -m genome -c 4 -sp anidulans
#
# Busco id	Status	Contig	Start	End	Score	Length
10002at5125	Complete	scaffold_4	209149	211746	1378.4	657
10007at5125	Complete	scaffold_414	11478	13931	981.2	646
10011at5125	Complete	scaffold_42	10767	13147	942.0	623
10012at5125	Complete	scaffold_51	139822	142257	873.4	558
10018at5125	Complete	scaffold_6	292462	295151	1025.1	717
10029at5125	Complete	scaffold_292	29304	31247	949.3	510
10042at5125	Complete	scaffold_317	4549	6613	911.5	551
10046at5125	Complete	scaffold_32	95252	98647	1048.2	557
10056at5125	Complete	scaffold_120	36480	38974	1076.8	631
10058at5125	Complete	scaffold_88	3868	8637	729.5	656
10061at5125	Complete	scaffold_73	69649	73141	822.9	721
10062at5125	Complete	scaffold_10	21800	25965	886.7	742
10086at5125	Complete	scaffold_47	98184	99977	899.0	494
10109at5125	Complete	scaffold_53	119862	122125	1063.9	577
10123at5125	Complete	scaffold_425	10566	12500	1010.2	498
10132at5125	Complete	scaffold_476	1	2252	1218.1	617
10143at5125	Complete	scaffold_20	136412	138454	820.3	484
10152at5125	Complete	scaffold_61	30939	32870	867.9	457
10163at5125	Complete	scaffold_220	6065	8222	984.0	588
10164at5125	Complete	scaffold_112	50521	52573	1048.2	561
10167at5125	Complete	scaffold_8	70190	72159	911.7	510
10177at5125	Complete	scaffold_56	90506	93411	713.4	600
10181at5125	Complete	scaffold_13	138336	140699	862.0	509
10185at5125	Complete	scaffold_117	39895	44207	617.5	755
10188at5125	Complete	scaffold_244	16595	20528	959.9	927
1018at5125	Complete	scaffold_6	296229	301594	2479.9	1485
10190at5125	Complete	scaffold_217	22752	25985	1290.5	845
10241at5125	Complete	scaffold_31	145963	148431	773.6	608
10245at5125	Complete	scaffold_18	166925	173628	634.2	547
10250at5125	Complete	scaffold_77	57468	59432	456.1	286
10256at5125	Complete	scaffold_84	5636	7777	1072.8	536
1027at5125	Complete	scaffold_145	64598	69742	1548.4	1176
10280at5125	Complete	scaffold_45	32716	34871	1037.7	524
10290at5125	Complete	scaffold_122	62473	64194	774.7	452
102at5125	Complete	scaffold_195	35972	44887	4078.6	2266
10303at5125	Complete	scaffold_221	20852	22980	950.3	530
10317at5125	Complete	scaffold_41	55656	59387	612.4	538
10320at5125	Complete	scaffold_64	47818	52826	712.4	466
10325at5125	Complete	scaffold_7	15494	17551	911.5	526
10345at5125	Complete	scaffold_242	19429	21979	1001.9	532
10356at5125	Complete	scaffold_20	201471	204325	1112.0	512
10365at5125	Complete	scaffold_1	203041	204366	823.4	369
10380at5125	Complete	scaffold_166	18963	21419	908.1	596
10381at5125	Complete	scaffold_9	51512	55512	1156.1	724
10385at5125	Complete	scaffold_91	95324	97753	1047.9	609
10422at5125	Complete	scaffold_95	24709	28317	1010.3	918
10442at5125	Complete	scaffold_77	19308	21900	1015.8	712
10453at5125	Fragmented	scaffold_544	2	1338	880.6	421
10490at5125	Complete	scaffold_12	79208	82998	924.3	493
10507at5125	Complete	scaffold_77	68195	70851	713.1	578
10535at5125	Complete	scaffold_392	1	1879	929.4	443
10538at5125	Complete	scaffold_152	66603	68713	903.6	488
10546at5125	Complete	scaffold_11	80773	83271	526.3	376
10558at5125	Complete	scaffold_1	273457	275420	897.4	534
10563at5125	Complete	scaffold_2	187	2202	824.1	460
10565at5125	Complete	scaffold_2	97656	101974	1064.2	574
10579at5125	Complete	scaffold_52	145431	147882	1056.1	542
10595at5125	Complete	scaffold_43	21233	23237	1017.9	505
10597at5125	Complete	scaffold_277	32530	35102	1111.1	604
10599at5125	Complete	scaffold_120	42738	45021	1134.6	690
10614at5125	Complete	scaffold_111	21989	28641	790.5	456
10624at5125	Complete	scaffold_12	65072	67018	928.2	568
10627at5125	Complete	scaffold_265	766	2694	1132.9	569
10629at5125	Complete	scaffold_31	136439	138298	1069.7	506
10646at5125	Complete	scaffold_55	99925	102070	1149.3	583
10652at5125	Complete	scaffold_12	184606	187042	760.8	578
10667at5125	Complete	scaffold_20	77930	82003	1110.3	590
10669at5125	Complete	scaffold_68	106373	108369	942.4	530
1066at5125	Complete	scaffold_41	20912	26164	2133.6	1244
10686at5125	Complete	scaffold_153	35775	37613	1030.1	499
1068at5125	Complete	scaffold_6	255532	260236	2258.5	1227
10718at5125	Complete	scaffold_315	13878	16184	1105.3	606
1071at5125	Complete	scaffold_134	53362	58010	2484.6	1286
10798at5125	Complete	scaffold_9	245486	248381	1006.5	570
1079at5125	Complete	scaffold_123	3565	7638	2061.2	1124
10825at5125	Complete	scaffold_1	357734	360706	977.3	598
1083at5125	Complete	scaffold_85	57739	63600	2466.9	1314
10860at5125	Complete	scaffold_42	14800	17433	1109.3	602
10864at5125	Complete	scaffold_97	26102	28468	983.7	614
10879at5125	Complete	scaffold_92	42038	46225	760.8	499
10880at5125	Complete	scaffold_78	75050	78054	950.6	647
10896at5125	Complete	scaffold_67	113167	115412	1035.2	540
