# BUSCO version is: 5.5.0 
# The lineage dataset is: hypocreales_odb10 (Creation date: 2020-08-05, number of genomes: 50, number of BUSCOs: 4494)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
26at5125	Complete	EGX92831.1	7828.6	3810	https://www.orthodb.org/v10?query=26at5125	Dynein heavy chain
30at5125	Complete	EGX96854.1	6785.6	4095	https://www.orthodb.org/v10?query=30at5125	Midasin
49at5125	Complete	EGX94854.1	6442.3	3251	https://www.orthodb.org/v10?query=49at5125	histone acetylase complex subunit
52at5125	Complete	EGX91024.1	4961.8	3106	https://www.orthodb.org/v10?query=52at5125	E3 ubiquitin ligase, domain of unknown function DUF908
78at5125	Complete	EGX95523.1	5250.7	2729	https://www.orthodb.org/v10?query=78at5125	Vacuolar protein sorting-associated protein
87at5125	Complete	EGX92793.1	4198.9	2556	https://www.orthodb.org/v10?query=87at5125	fermentation associated protein
102at5125	Complete	EGX94285.1	4065.3	2264	https://www.orthodb.org/v10?query=102at5125	FMP27, SW domain
133at5125	Complete	EGX96946.1	4408.2	2024	https://www.orthodb.org/v10?query=133at5125	Pre-mRNA processing splicing factor 8
141at5125	Complete	EGX93526.1	4096.8	2095	https://www.orthodb.org/v10?query=141at5125	FKBP12-rapamycin binding domain
142at5125	Complete	EGX96479.1	3941.2	2127	https://www.orthodb.org/v10?query=142at5125	WD40-repeat-containing domain
154at5125	Complete	EGX89302.1	3930.9	2446	https://www.orthodb.org/v10?query=154at5125	Serine/threonine-protein kinase Tel1
155at5125	Missing
168at5125	Complete	EGX89201.1	3254.7	1967	https://www.orthodb.org/v10?query=168at5125	Ras GTPase activator
171at5125	Complete	EGX94280.1	4005.4	2026	https://www.orthodb.org/v10?query=171at5125	transcriptional activator leucine zipper
178at5125	Complete	EGX87747.1	3916.8	1965	https://www.orthodb.org/v10?query=178at5125	Acetyl-CoA carboxylase
194at5125	Complete	EGX90661.1	3763.8	2245	https://www.orthodb.org/v10?query=194at5125	Armadillo-type fold protein
200at5125	Complete	EGX95223.1	4112.6	1887	https://www.orthodb.org/v10?query=200at5125	Glutamate synthase
203at5125	Complete	EGX94726.1	3883.8	1890	https://www.orthodb.org/v10?query=203at5125	fatty acid synthase beta subunit dehydratase
215at5125	Complete	EGX96367.1	3793.5	1904	https://www.orthodb.org/v10?query=215at5125	DNA polymerase epsilon catalytic subunit
246at5125	Complete	EGX95607.1	3234.2	1896	https://www.orthodb.org/v10?query=246at5125	Signal transduction histidine kinase, dimerisation/phosphoacceptor domain
250at5125	Complete	EGX95143.1	3507.0	2011	https://www.orthodb.org/v10?query=250at5125	myosin type II heavy chain
259at5125	Complete	EGX90627.1	3959.8	1961	https://www.orthodb.org/v10?query=259at5125	pre-mRNA splicing helicase
270at5125	Complete	EGX90610.1	3414.4	1828	https://www.orthodb.org/v10?query=270at5125	E3 ubiquitin-protein ligase ubr1
281at5125	Complete	EGX89349.1	2946.7	1855	https://www.orthodb.org/v10?query=281at5125	phosphatidylinositol-4-phosphate 5-kinase fab1
309at5125	Complete	EGX95160.1	3323.0	1944	https://www.orthodb.org/v10?query=309at5125	Phosphatidylinositol 3-/4-kinase, catalytic domain
314at5125	Complete	EGX92879.1	3415.7	1641	https://www.orthodb.org/v10?query=314at5125	Activating signal cointegrator 1 complex subunit 3
322at5125	Complete	EGX92755.1	3825.2	1919	https://www.orthodb.org/v10?query=322at5125	Carbamoyl-phosphate synthase small subunit, N-terminal domain
323at5125	Complete	EGX90508.1	2671.5	1349	https://www.orthodb.org/v10?query=323at5125	Adenylate cyclase
341at5125	Complete	EGX93117.1	3203.3	1854	https://www.orthodb.org/v10?query=341at5125	CCR4-Not complex component, Not1
343at5125	Complete	EGX94641.1	3327.1	1718	https://www.orthodb.org/v10?query=343at5125	proteasome activator subunit 4
351at5125	Complete	EGX94384.1	3280.4	1770	https://www.orthodb.org/v10?query=351at5125	related to rat omega-conotoxin-sensitive calcium channel alpha-1 subunit rbB-I
353at5125	Complete	EGX95582.1	2997.4	1643	https://www.orthodb.org/v10?query=353at5125	DHR-1 domain
380at5125	Complete	EGX90398.1	3087.1	1692	https://www.orthodb.org/v10?query=380at5125	phosphatidylinositol 3-kinase 3
390at5125	Duplicated	EGX96860.1	1150.0	1502	https://www.orthodb.org/v10?query=390at5125	Polyketide synthase
390at5125	Duplicated	EGX95949.1	1125.0	1410	https://www.orthodb.org/v10?query=390at5125	Polyketide synthase
390at5125	Duplicated	EGX96624.1	1043.3	1429	https://www.orthodb.org/v10?query=390at5125	Polyketide synthase
390at5125	Duplicated	EGX94103.1	1005.9	1579	https://www.orthodb.org/v10?query=390at5125	Polyketide synthase
407at5125	Complete	EGX94727.1	3427.2	1650	https://www.orthodb.org/v10?query=407at5125	Fatty acid synthase subunit alpha
