# BUSCO version is: 2.0 
# The lineage dataset is: hypocreales_odb10 (Creation date: 2020-08-05, number of species: 50, number of BUSCOs: 4494)
# To reproduce this run: python /home/zack/miniconda3/envs/funannotate/lib/python3.7/site-packages/funannotate/aux_scripts/funannotate-BUSCO2.py -i /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/GENOMES/TrichodermaReesei_CBS999.97/FunannotatePredict/predict_misc/genome.softmasked.fa -o trichoderma_reesei_cbs999.97 -l /home/zack/funannotate_db/hypocreales_odb10/ -m genome -c 4 -sp anidulans
#
# Busco id	Status	Contig	Start	End	Score	Length
10002at5125	Complete	scaffold_3	1610023	1612626	1360.3	675
10007at5125	Complete	scaffold_4	2022488	2025028	975.0	660
10011at5125	Complete	scaffold_7	2221669	2224119	918.0	582
10012at5125	Complete	scaffold_1	2916430	2919101	889.6	548
10018at5125	Complete	scaffold_7	2237830	2240828	1007.2	712
10029at5125	Complete	scaffold_4	2876180	2878182	952.2	510
10042at5125	Complete	scaffold_3	3493139	3495313	954.3	544
10046at5125	Complete	scaffold_1	1190502	1192787	1049.1	565
10056at5125	Complete	scaffold_2	3182560	3185081	1136.4	658
10058at5125	Complete	scaffold_7	519179	522768	698.0	844
10061at5125	Complete	scaffold_2	4347531	4350977	918.0	662
10062at5125	Complete	scaffold_2	1591856	1594970	882.2	729
10086at5125	Complete	scaffold_1	5338186	5339982	909.2	497
10109at5125	Complete	scaffold_2	4500072	4502410	1065.4	579
10123at5125	Complete	scaffold_1	4458290	4460233	967.3	486
10132at5125	Complete	scaffold_3	2573628	2577317	1281.7	662
10143at5125	Complete	scaffold_1	5034436	5036583	837.8	485
10152at5125	Complete	scaffold_5	2060556	2062718	884.7	467
10163at5125	Complete	scaffold_1	4412444	4414605	983.3	554
10164at5125	Complete	scaffold_3	3717892	3719959	1096.6	561
10167at5125	Complete	scaffold_2	766880	769296	946.3	514
10177at5125	Complete	scaffold_6	3003054	3006016	731.6	631
10181at5125	Complete	scaffold_6	251966	254326	911.9	508
10185at5125	Complete	scaffold_2	1355749	1359582	612.6	779
10188at5125	Complete	scaffold_1	1995933	1999981	988.9	896
1018at5125	Complete	scaffold_7	2231720	2237262	2546.3	1516
10190at5125	Complete	scaffold_1	4208635	4212533	1335.3	898
10241at5125	Complete	scaffold_2	4126254	4128746	792.3	610
10245at5125	Complete	scaffold_2	5299378	5302056	739.6	581
10250at5125	Complete	scaffold_1	3509665	3511532	449.7	282
10256at5125	Complete	scaffold_5	2271283	2273304	1088.9	536
1027at5125	Complete	scaffold_3	399709	405252	1529.9	1154
10280at5125	Complete	scaffold_6	3246034	3248319	1048.4	523
10290at5125	Complete	scaffold_5	2380941	2382794	818.2	452
102at5125	Complete	scaffold_7	2312543	2321563	4042.5	2259
10303at5125	Complete	scaffold_2	4705393	4707451	926.4	539
10317at5125	Complete	scaffold_1	2003374	2005722	445.2	538
10320at5125	Complete	scaffold_7	1073424	1076027	715.0	460
10325at5125	Complete	scaffold_3	1158040	1160197	906.1	530
10345at5125	Complete	scaffold_3	4345423	4347930	1001.5	565
10356at5125	Complete	scaffold_2	3516799	3519759	1117.4	512
10365at5125	Complete	scaffold_1	5821044	5823268	1020.9	508
10380at5125	Complete	scaffold_6	984130	986711	908.6	571
10381at5125	Complete	scaffold_6	1481950	1484448	1240.7	726
10385at5125	Complete	scaffold_3	895393	897931	1089.3	604
10422at5125	Complete	scaffold_6	1264311	1268022	1018.6	1023
10442at5125	Complete	scaffold_1	3718819	3721419	977.0	747
10453at5125	Complete	scaffold_2	4632940	4635434	1129.9	556
10490at5125	Complete	scaffold_5	3230954	3233504	955.0	493
10507at5125	Complete	scaffold_1	3496166	3498937	762.5	596
10535at5125	Complete	scaffold_2	4939054	4941279	1061.6	513
10538at5125	Complete	scaffold_1	6605713	6607825	915.0	501
10546at5125	Complete	scaffold_4	4235075	4238466	537.1	366
10558at5125	Complete	scaffold_7	1634233	1636287	970.9	534
10563at5125	Complete	scaffold_4	3353641	3355836	806.2	471
10565at5125	Complete	scaffold_1	5351560	5353614	1127.9	571
10579at5125	Complete	scaffold_1	6517806	6520522	1044.3	549
10595at5125	Complete	scaffold_4	2363349	2365494	1021.8	505
10597at5125	Complete	scaffold_3	678085	680744	1108.4	591
10599at5125	Complete	scaffold_2	3201947	3205221	1357.9	860
10614at5125	Complete	scaffold_3	4125400	4127744	783.7	489
10624at5125	Complete	scaffold_5	3270746	3272710	911.4	552
10627at5125	Complete	scaffold_2	4082005	4083945	1146.2	575
10629at5125	Complete	scaffold_2	4137224	4138894	1094.5	507
10646at5125	Complete	scaffold_1	2269749	2271974	1153.6	578
10652at5125	Complete	scaffold_2	674008	676371	797.1	572
10667at5125	Complete	scaffold_1	5206378	5208840	1171.4	594
10669at5125	Complete	scaffold_1	3467764	3470840	958.1	539
1066at5125	Complete	scaffold_1	2065033	2070333	2210.4	1212
10686at5125	Complete	scaffold_2	3820738	3822537	1022.6	489
1068at5125	Complete	scaffold_5	435035	439912	2290.2	1216
10718at5125	Complete	scaffold_1	3427950	3430292	1130.6	620
1071at5125	Complete	scaffold_4	3750671	3755421	2534.9	1295
10798at5125	Complete	scaffold_6	2929626	2932549	1006.7	582
1079at5125	Complete	scaffold_7	440909	445335	2083.0	1123
10825at5125	Complete	scaffold_5	450734	453967	1006.7	594
1083at5125	Complete	scaffold_6	2031628	2037074	2458.2	1321
10860at5125	Complete	scaffold_1	1705807	1708499	1096.9	611
10864at5125	Complete	scaffold_7	211003	213366	1042.1	627
10879at5125	Complete	scaffold_4	3008674	3011345	776.6	585
10880at5125	Complete	scaffold_2	3036242	3042378	907.5	635
10896at5125	Complete	scaffold_1	4165651	4168010	1027.6	540
10898at5125	Complete	scaffold_2	659579	662063	1093.4	609
10908at5125	Complete	scaffold_2	778947	780800	847.7	463
10912at5125	Complete	scaffold_1	5684579	5686747	1186.1	590
10921at5125	Complete	scaffold_3	3896588	3899182	1134.6	812
10923at5125	Complete	scaffold_6	1115486	1117607	810.6	469
10941at5125	Complete	scaffold_2	5689141	5691744	1122.7	632
10946at5125	Complete	scaffold_1	1945186	1947417	934.4	573
10959at5125	Complete	scaffold_6	1474051	1475916	972.4	521
10960at5125	Complete	scaffold_1	5566755	5569271	894.0	613
10999at5125	Complete	scaffold_3	2653001	2655391	1077.9	619
11007at5125	Complete	scaffold_1	4865630	4868382	839.0	772
11010at5125	Complete	scaffold_2	2795102	2797361	882.2	554
11017at5125	Complete	scaffold_1	1071500	1075274	525.3	738
11019at5125	Complete	scaffold_7	2897494	2902241	745.9	1111
1101at5125	Complete	scaffold_2	4522162	4527036	2770.2	1442
11029at5125	Complete	scaffold_5	3129396	3131656	974.2	559
11036at5125	Complete	scaffold_3	1492973	1495154	946.3	564
11039at5125	Complete	scaffold_4	529766	531739	479.0	461
1103at5125	Complete	scaffold_2	1439551	1446701	2481.6	1448
11041at5125	Complete	scaffold_3	1614395	1616662	1199.6	570
11048at5125	Complete	scaffold_5	3746135	3747874	851.8	482
11086at5125	Complete	scaffold_7	206451	209446	1231.3	703
11105at5125	Complete	scaffold_3	3399311	3401512	1231.1	594
11116at5125	Complete	scaffold_2	4694589	4696985	1004.4	518
11131at5125	Complete	scaffold_6	3526801	3529245	994.1	543
11148at5125	Complete	scaffold_1	1676014	1677812	969.6	492
11162at5125	Complete	scaffold_6	1738318	1743304	789.6	498
11163at5125	Complete	scaffold_3	2183005	2185289	924.3	545
11172at5125	Complete	scaffold_1	1120237	1122376	965.2	495
11177at5125	Complete	scaffold_5	3815863	3818452	676.4	378
11247at5125	Complete	scaffold_1	3057006	3060533	815.7	779
11253at5125	Complete	scaffold_5	498130	499911	1046.4	484
11279at5125	Complete	scaffold_4	2913384	2915625	699.9	521
1128at5125	Complete	scaffold_7	452264	457061	1932.0	1274
11307at5125	Complete	scaffold_1	5959549	5961682	652.6	370
1130at5125	Complete	scaffold_7	1320406	1325095	2244.8	1221
