#HMM_family	HMM_len	Query_ID	Query_len	E-value	HMM_start	HMM_end	Query_start	Query_end	Coverage
GH16_1	229	FUN_006425-T1	670	6.1e-61	3	228	64	302	0.982533
GH16	189	FUN_006425-T1	670	2.5e-19	17	188	36	304	0.904762
AA11	191	FUN_006562-T1	383	1.5e-66	0	188	20	216	0.984293
AA2	255	FUN_006573-T1	374	3.2e-57	4	254	92	353	0.980392
GT66	693	FUN_006590-T1	750	9.8e-192	9	597	21	668	0.848485
GH55	740	FUN_006781-T1	990	1.8e-265	7	739	221	973	0.989189
GH76	358	FUN_006784-T1	463	1.2e-106	11	356	29	406	0.963687
AA11	191	FUN_006810-T1	431	1.7e-75	0	187	17	213	0.979058
GH43_34	280	FUN_006813-T1	511	2.7e-97	0	280	49	332	1.000000
GH43_29	278	FUN_006813-T1	511	3.3e-60	2	278	51	333	0.992806
GH43	248	FUN_006813-T1	511	1.5e-56	2	247	49	333	0.987903
GH43_3	299	FUN_006813-T1	511	3.4e-55	2	296	49	329	0.983278
GH43_33	315	FUN_006813-T1	511	1.5e-47	11	143	64	200	0.419048
GH43_16	311	FUN_006813-T1	511	7.9e-45	1	311	49	333	0.996785
GH43_2	273	FUN_006813-T1	511	1.2e-42	1	273	57	332	0.996337
GH43_32	267	FUN_006813-T1	511	1e-40	5	266	71	330	0.977528
GH43_31	268	FUN_006813-T1	511	1.8e-38	2	268	56	327	0.992537
GH43_30	265	FUN_006813-T1	511	8.6e-37	2	253	57	307	0.947170
GH43_19	233	FUN_006813-T1	511	1.1e-35	1	219	54	329	0.935622
CBM66	155	FUN_006813-T1	511	7.5e-34	1	155	347	505	0.993548
GH43_9	272	FUN_006813-T1	511	5.8e-32	1	271	49	332	0.992647
GH43_1	310	FUN_006813-T1	511	3.9e-30	6	150	55	197	0.464516
GH43_10	271	FUN_006813-T1	511	2.5e-29	1	250	49	305	0.918819
GH43_8	281	FUN_006813-T1	511	1.8e-28	1	255	50	306	0.903915
GH43_26	294	FUN_006813-T1	511	9.1e-27	2	293	49	332	0.989796
GH43_24	246	FUN_006813-T1	511	3.3e-25	5	238	66	302	0.947154
GH43_12	281	FUN_006813-T1	511	5e-24	1	257	49	310	0.911032
GH43_22	209	FUN_006813-T1	511	5.5e-24	14	208	65	307	0.928230
GH43_11	292	FUN_006813-T1	511	2.1e-20	2	268	49	310	0.910959
GH43_37	242	FUN_006813-T1	511	7.2e-19	14	234	67	285	0.909091
GH43_5	287	FUN_006813-T1	511	1.9e-18	2	285	58	331	0.986063
GH43_17	266	FUN_006813-T1	511	1.9e-18	14	262	66	306	0.932331
GT32	90	FUN_006818-T1	370	1.6e-20	5	88	105	186	0.922222
AA1_3	312	FUN_006844-T1	623	1.2e-123	0	308	56	374	0.987179
AA1	358	FUN_006844-T1	623	9.4e-111	6	357	85	578	0.980447
AA1_1	303	FUN_006844-T1	623	1.6e-67	0	280	80	370	0.924092
AA1_2	337	FUN_006844-T1	623	1e-63	0	328	86	434	0.973294
CE5	189	FUN_006852-T1	245	8.5e-37	1	189	32	243	0.994709
GH16_3	230	FUN_006883-T1	289	2.3e-57	0	230	32	286	1.000000
GH16	189	FUN_006883-T1	289	3.6e-40	4	189	35	286	0.978836
GH16_5	238	FUN_006883-T1	289	1.1e-23	77	238	90	286	0.676471
GH16_6	274	FUN_006883-T1	289	5.5e-20	10	273	45	283	0.959854
CBM21	107	FUN_006918-T1	764	1.7e-32	4	107	335	441	0.962617
GT2_Chitin_synth_1	163	FUN_006967-T1	919	1.8e-69	0	163	226	395	1.000000
GT2_Chitin_synth_2	527	FUN_006967-T1	919	1.1e-27	202	388	371	564	0.352941
GH72	312	FUN_006973-T1	506	3.7e-117	25	310	0	289	0.913462
CBM43	83	FUN_006973-T1	506	6.1e-18	0	82	339	425	0.987952
GH18	296	FUN_005252-T1	365	1.6e-75	31	286	2	331	0.861486
GT2_Chitin_synth_2	527	FUN_005259-T1	1782	3.5e-227	1	524	1052	1560	0.992410
GT2_Chitin_synth_2	527	FUN_005260-T1	1860	2.1e-248	1	527	1208	1716	0.998102
AA7	458	FUN_005286-T1	571	2.9e-96	2	458	108	567	0.995633
CE5	189	FUN_005328-T1	227	6.3e-36	0	188	45	224	0.994709
GH18	296	FUN_005370-T1	562	6.7e-21	21	232	30	290	0.712838
GH10	303	FUN_005414-T1	378	4e-92	6	302	88	376	0.976898
GH5_12	539	FUN_005498-T1	782	4.1e-221	0	539	14	548	1.000000
GH5	275	FUN_005498-T1	782	2e-26	3	233	14	544	0.836364
GH5_27	324	FUN_005498-T1	782	1.2e-18	0	192	47	252	0.592593
AA3_2	568	FUN_005561-T1	556	5e-143	1	567	23	543	0.996479
AA3	618	FUN_005561-T1	556	1.5e-92	86	406	21	550	0.517799
AA3_3	590	FUN_005561-T1	556	6.7e-62	2	315	24	323	0.530508
AA3_1	548	FUN_005561-T1	556	8.5e-52	10	321	18	321	0.567518
GT15	273	FUN_005576-T1	280	1.8e-37	2	199	48	250	0.721612
GH11	177	FUN_005595-T1	216	1.1e-70	0	174	38	211	0.983051
GH31	427	FUN_005599-T1	821	2.2e-122	0	427	174	617	1.000000
GH2	752	FUN_005613-T1	1024	3.7e-207	22	750	48	906	0.968085
GT76	407	FUN_005672-T1	432	1.8e-110	2	407	14	432	0.995086
GH47	446	FUN_005676-T1	519	3.3e-131	0	445	41	516	0.997758
GT31	192	FUN_005692-T1	423	2.1e-22	0	185	111	284	0.963542
GH72	312	FUN_005730-T1	3517	8.4e-98	44	299	3122	3376	0.817308
GH72	312	FUN_005746-T1	458	3.3e-120	2	310	31	334	0.987179
GT62	268	FUN_005765-T1	334	1.4e-107	2	268	29	293	0.992537
GH37	491	FUN_005785-T1	739	1.7e-151	1	490	142	703	0.995927
GH47	446	FUN_005814-T1	598	7.1e-157	1	446	132	594	0.997758
GT4	160	FUN_004133-T1	477	3.7e-37	6	150	228	402	0.900000
AA1	358	FUN_004177-T1	606	1.8e-88	1	358	34	558	0.997207
AA1_1	303	FUN_004177-T1	606	3.7e-42	2	238	41	284	0.778878
AA1_2	337	FUN_004177-T1	606	8.3e-42	1	225	46	285	0.664688
AA1_3	312	FUN_004177-T1	606	1.9e-40	13	271	28	301	0.826923
GT57	481	FUN_004231-T1	589	6.8e-148	1	229	64	297	0.474012
GH31	427	FUN_004257-T1	802	5.9e-115	0	427	170	596	1.000000
GH3	216	FUN_004289-T1	251	2.6e-34	3	140	90	236	0.634259
GH3	216	FUN_004379-T1	880	8.4e-62	5	216	96	308	0.976852
GT64	248	FUN_004381-T1	342	9.9e-52	0	244	90	336	0.983871
GT3	637	FUN_004431-T1	704	1.2e-303	0	637	17	655	1.000000
GH55	740	FUN_004457-T1	762	6.1e-209	5	739	31	760	0.991892
GH54	316	FUN_004569-T1	509	2.3e-145	0	315	28	346	0.996835
CBM42	136	FUN_004569-T1	509	3.7e-51	1	135	363	503	0.985294
GH38	269	FUN_004620-T1	1078	1.3e-85	1	256	282	541	0.947955
AA4	522	FUN_004669-T1	569	4.7e-18	43	238	121	309	0.373563
GT62	268	FUN_004742-T1	374	1.1e-105	4	268	75	340	0.985075
GH16_18	158	FUN_004758-T1	400	3.7e-67	1	158	68	225	0.993671
GH16_19	174	FUN_004758-T1	400	7.1e-41	8	172	66	226	0.942529
GH16	189	FUN_004758-T1	400	7.6e-23	54	187	82	224	0.703704
GH16_21	206	FUN_004758-T1	400	1.6e-21	56	193	82	221	0.665049
GT34	246	FUN_004772-T1	586	6.9e-82	2	245	283	547	0.987805
GH16_1	229	FUN_004773-T1	469	2.3e-89	2	228	65	299	0.986900
