# BUSCO version is: 5.5.0 
# The lineage dataset is: hypocreales_odb10 (Creation date: 2020-08-05, number of genomes: 50, number of BUSCOs: 4494)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
26at5125	Complete	OAA61317.1	7909.3	3795	https://www.orthodb.org/v10?query=26at5125	Dynein heavy chain
30at5125	Complete	OAA69441.1	6513.9	3824	https://www.orthodb.org/v10?query=30at5125	Midasin
49at5125	Complete	OAA67637.1	6423.8	3239	https://www.orthodb.org/v10?query=49at5125	histone acetylase complex subunit
52at5125	Complete	OAA54878.1	4870.8	3058	https://www.orthodb.org/v10?query=52at5125	E3 ubiquitin ligase, domain of unknown function DUF908
78at5125	Complete	OAA63095.1	5248.3	2736	https://www.orthodb.org/v10?query=78at5125	Vacuolar protein sorting-associated protein
87at5125	Complete	OAA62344.1	4172.7	2551	https://www.orthodb.org/v10?query=87at5125	fermentation associated protein
102at5125	Complete	OAA74192.1	4068.5	2261	https://www.orthodb.org/v10?query=102at5125	FMP27, SW domain
133at5125	Complete	OAA69759.1	4409.8	2023	https://www.orthodb.org/v10?query=133at5125	Pre-mRNA processing splicing factor 8
141at5125	Complete	OAA52983.1	4157.3	2088	https://www.orthodb.org/v10?query=141at5125	FKBP12-rapamycin binding domain
142at5125	Complete	OAA63901.1	3969.2	2120	https://www.orthodb.org/v10?query=142at5125	WD40-repeat-containing domain
154at5125	Complete	OAA53408.1	3598.0	2153	https://www.orthodb.org/v10?query=154at5125	Serine/threonine-protein kinase Tel1
155at5125	Complete	OAA53021.1	3835.2	2191	https://www.orthodb.org/v10?query=155at5125	Ribosomal protein L19
168at5125	Complete	OAA58846.1	3041.1	1752	https://www.orthodb.org/v10?query=168at5125	Ras GTPase activator
171at5125	Complete	OAA74197.1	3983.8	2025	https://www.orthodb.org/v10?query=171at5125	transcriptional activator leucine zipper
178at5125	Complete	OAA53225.1	3940.6	1974	https://www.orthodb.org/v10?query=178at5125	Acetyl-CoA carboxylase
194at5125	Complete	OAA71452.1	3799.6	2242	https://www.orthodb.org/v10?query=194at5125	Armadillo-type fold protein
200at5125	Complete	OAA52128.1	4095.7	1888	https://www.orthodb.org/v10?query=200at5125	Glutamate synthase
203at5125	Complete	OAA68995.1	3886.4	1890	https://www.orthodb.org/v10?query=203at5125	fatty acid synthase beta subunit dehydratase
215at5125	Complete	OAA56061.1	3839.3	1904	https://www.orthodb.org/v10?query=215at5125	DNA polymerase epsilon catalytic subunit
246at5125	Complete	OAA63017.1	3272.2	1841	https://www.orthodb.org/v10?query=246at5125	Signal transduction histidine kinase, dimerisation/phosphoacceptor domain
250at5125	Complete	OAA55673.1	3529.3	2015	https://www.orthodb.org/v10?query=250at5125	myosin type II heavy chain
259at5125	Complete	OAA64846.1	3967.1	1964	https://www.orthodb.org/v10?query=259at5125	pre-mRNA splicing helicase
270at5125	Complete	OAA64869.1	2871.9	1603	https://www.orthodb.org/v10?query=270at5125	E3 ubiquitin-protein ligase ubr1
281at5125	Complete	OAA62195.1	2986.2	1849	https://www.orthodb.org/v10?query=281at5125	phosphatidylinositol-4-phosphate 5-kinase fab1
309at5125	Complete	OAA55658.1	3067.8	1614	https://www.orthodb.org/v10?query=309at5125	Phosphatidylinositol 3-/4-kinase, catalytic domain
314at5125	Complete	OAA61363.1	3416.1	1644	https://www.orthodb.org/v10?query=314at5125	Activating signal cointegrator 1 complex subunit 3
