#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TQW07286.1           -           1722 1240at5125           -           1048         0 1359.2 158.9   1  12   9.5e-86   1.1e-81  274.5  13.7     2   180     5   218     4   259 0.83 dim2-associated protein 1, variant 1 [Cordyceps javanica]
TQW07286.1           -           1722 1240at5125           -           1048         0 1359.2 158.9   2  12   2.6e-33   2.9e-29  100.9  30.8   166   294   261   422   255   438 0.80 dim2-associated protein 1, variant 1 [Cordyceps javanica]
TQW07286.1           -           1722 1240at5125           -           1048         0 1359.2 158.9   3  12   1.2e-26   1.3e-22   78.8   3.4   299   359   470   540   462   546 0.88 dim2-associated protein 1, variant 1 [Cordyceps javanica]
TQW07286.1           -           1722 1240at5125           -           1048         0 1359.2 158.9   4  12   1.9e-12   2.1e-08   31.8   0.0   358   390   573   609   552   613 0.82 dim2-associated protein 1, variant 1 [Cordyceps javanica]
TQW07286.1           -           1722 1240at5125           -           1048         0 1359.2 158.9   5  12   7.8e-23   8.7e-19   66.2   1.5   377   425   627   677   619   699 0.82 dim2-associated protein 1, variant 1 [Cordyceps javanica]
TQW07286.1           -           1722 1240at5125           -           1048         0 1359.2 158.9   6  12   2.5e-20   2.8e-16   57.9   0.5   422   475   722   783   701   787 0.80 dim2-associated protein 1, variant 1 [Cordyceps javanica]
TQW07286.1           -           1722 1240at5125           -           1048         0 1359.2 158.9   7  12     2e-46   2.2e-42  144.3   1.3   465   586   815   961   797   979 0.82 dim2-associated protein 1, variant 1 [Cordyceps javanica]
TQW07286.1           -           1722 1240at5125           -           1048         0 1359.2 158.9   8  12   2.4e-30   2.7e-26   91.0   1.6   589   658  1017  1096  1009  1114 0.84 dim2-associated protein 1, variant 1 [Cordyceps javanica]
TQW07286.1           -           1722 1240at5125           -           1048         0 1359.2 158.9   9  12    5e-113  5.5e-109  364.8   3.0   641   862  1109  1361  1098  1378 0.84 dim2-associated protein 1, variant 1 [Cordyceps javanica]
TQW07286.1           -           1722 1240at5125           -           1048         0 1359.2 158.9  10  12   1.4e-13   1.5e-09   35.6  14.2   852   906  1382  1450  1377  1499 0.64 dim2-associated protein 1, variant 1 [Cordyceps javanica]
TQW07286.1           -           1722 1240at5125           -           1048         0 1359.2 158.9  11  12   1.2e-35   1.4e-31  108.6   7.5   918  1022  1514  1625  1509  1629 0.79 dim2-associated protein 1, variant 1 [Cordyceps javanica]
TQW07286.1           -           1722 1240at5125           -           1048         0 1359.2 158.9  12  12   1.4e-19   1.6e-15   55.4   8.7  1000  1048  1658  1711  1584  1711 0.65 dim2-associated protein 1, variant 1 [Cordyceps javanica]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/1240at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Cjavanica_IJ2G.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Cjavanica_IJ2G/run_hypocreales_odb10/hmmer_output/initial_run_results/1240at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/1240at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Cjavanica_IJ2G.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 15:05:37 2024
# [ok]
