#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
FUN_004494-T1        -            661 9278at5125           -            527         0 1141.3   6.7   1   2   7.2e-99   1.5e-96  322.7   0.2     1   155    16   184    16   195 0.96 FUN_004494
FUN_004494-T1        -            661 9278at5125           -            527         0 1141.3   6.7   2   2  3.9e-250  8.4e-248  821.9   1.9   146   527   199   597   184   597 0.96 FUN_004494
FUN_004059-T1        -            750 9278at5125           -            527   2.4e-15   54.8   0.0   1   3    0.0035      0.75    7.0   0.0    74    96   223   245   211   250 0.88 FUN_004059
FUN_004059-T1        -            750 9278at5125           -            527   2.4e-15   54.8   0.0   2   3    0.0011      0.24    8.6   0.0   394   457   364   423   357   441 0.62 FUN_004059
FUN_004059-T1        -            750 9278at5125           -            527   2.4e-15   54.8   0.0   3   3   1.1e-11   2.3e-09   35.1   0.0    72   234   554   713   525   724 0.89 FUN_004059
FUN_000643-T1        -            615 9278at5125           -            527   1.8e-13   48.6   0.0   1   3     0.026       5.5    4.1   0.0    73    97   107   131    96   140 0.84 FUN_000643
FUN_000643-T1        -            615 9278at5125           -            527   1.8e-13   48.6   0.0   2   3   5.5e-05     0.012   12.9   0.0   388   440   220   272   211   298 0.84 FUN_000643
FUN_000643-T1        -            615 9278at5125           -            527   1.8e-13   48.6   0.0   3   3   1.9e-09   4.1e-07   27.6   0.0    76   239   424   586   393   592 0.85 FUN_000643
FUN_001460-T1        -            730 9278at5125           -            527     1e-11   42.8   0.2   1   3    0.0016      0.35    8.1   0.0    70   102    71   103    63   115 0.77 FUN_001460
FUN_001460-T1        -            730 9278at5125           -            527     1e-11   42.8   0.2   2   3   1.6e-07   3.5e-05   21.3   0.0   141   231   253   350   236   373 0.79 FUN_001460
FUN_001460-T1        -            730 9278at5125           -            527     1e-11   42.8   0.2   3   3    0.0012      0.26    8.5   0.0    73   111   504   542   469   665 0.62 FUN_001460
FUN_005181-T1        -           1045 9278at5125           -            527   6.4e-10   36.9   0.0   1   3   7.4e-07   0.00016   19.1   0.0   316   456   468   611   460   626 0.68 FUN_005181
FUN_005181-T1        -           1045 9278at5125           -            527   6.4e-10   36.9   0.0   2   3    0.0023      0.49    7.6   0.0    73   104   704   735   684   759 0.84 FUN_005181
