#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAH8715104.1         -            967 3741at5125           -            734         0 1300.7   7.3   1   3         0         0 1215.4   0.1     1   619    97   754    97   768 0.95 Leucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8715104.1         -            967 3741at5125           -            734         0 1300.7   7.3   2   3     2e-16   2.8e-13   48.1   3.4   616   679   785   871   762   876 0.82 Leucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8715104.1         -            967 3741at5125           -            734         0 1300.7   7.3   3   3   2.1e-12   2.9e-09   34.9   0.0   677   734   895   967   883   967 0.85 Leucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8717468.1         -            601 3741at5125           -            734   4.6e-20   70.6   8.6   1   4   8.2e-16   1.2e-12   46.1   0.8     3   141   152   308   150   327 0.80 Valine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8717468.1         -            601 3741at5125           -            734   4.6e-20   70.6   8.6   2   4     0.042        60    0.8   0.0   196   231   326   361   319   377 0.80 Valine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8717468.1         -            601 3741at5125           -            734   4.6e-20   70.6   8.6   3   4   1.4e-05     0.019   12.3   0.0   281   354   377   438   365   454 0.79 Valine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8717468.1         -            601 3741at5125           -            734   4.6e-20   70.6   8.6   4   4   1.8e-05     0.025   12.0   0.8   353   413   497   557   452   575 0.69 Valine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8718212.1         -            948 3741at5125           -            734   1.6e-17   62.1  11.5   1   5   2.7e-14   3.8e-11   41.1   0.0     3   131    57   197    56   208 0.79 Isoleucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8718212.1         -            948 3741at5125           -            734   1.6e-17   62.1  11.5   2   5    0.0044       6.2    4.0   0.0   270   316   298   344   287   362 0.89 Isoleucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8718212.1         -            948 3741at5125           -            734   1.6e-17   62.1  11.5   3   5     0.015        22    2.2   0.0   125   170   394   440   386   447 0.81 Isoleucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8718212.1         -            948 3741at5125           -            734   1.6e-17   62.1  11.5   4   5   7.9e-06     0.011   13.1   1.5   381   457   460   538   450   549 0.66 Isoleucine--tRNA ligase, mitochondrial [Beauveria bassiana]
