#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAF1731232.1         -            499 23635at5125          -            307  2.3e-174  577.7   2.4   1   3   7.7e-98   2.7e-94  314.8   0.1     1   173   105   298   105   309 0.92 (Pyruvate dehydrogenase (acetyl-transferring)) kinase 2, mitochondrial [Beauveria bassiana]
KAF1731232.1         -            499 23635at5125          -            307  2.3e-174  577.7   2.4   2   3   7.9e-41   2.7e-37  127.5   0.0   172   244   328   405   317   414 0.91 (Pyruvate dehydrogenase (acetyl-transferring)) kinase 2, mitochondrial [Beauveria bassiana]
KAF1731232.1         -            499 23635at5125          -            307  2.3e-174  577.7   2.4   3   3   8.7e-43     3e-39  133.9   0.1   240   307   430   497   425   497 0.97 (Pyruvate dehydrogenase (acetyl-transferring)) kinase 2, mitochondrial [Beauveria bassiana]
KAF1737979.1         -            455 23635at5125          -            307   9.1e-34  116.0   5.3   1   5       0.4   1.4e+03   -2.9   0.0   202   219    27    44    14    73 0.72 (3-methyl-2-oxobutanoate dehydrogenase (lipoamide)) kinase, mitochondrial [Beauveria bassiana]
KAF1737979.1         -            455 23635at5125          -            307   9.1e-34  116.0   5.3   2   5   0.00035       1.2    7.1   0.1     2    26    99   123    98   128 0.89 (3-methyl-2-oxobutanoate dehydrogenase (lipoamide)) kinase, mitochondrial [Beauveria bassiana]
KAF1737979.1         -            455 23635at5125          -            307   9.1e-34  116.0   5.3   3   5     2e-18   6.8e-15   54.0   0.0    43   180   166   320   155   327 0.80 (3-methyl-2-oxobutanoate dehydrogenase (lipoamide)) kinase, mitochondrial [Beauveria bassiana]
KAF1737979.1         -            455 23635at5125          -            307   9.1e-34  116.0   5.3   4   5   2.2e-08   7.7e-05   20.9   0.0   182   212   351   381   333   390 0.82 (3-methyl-2-oxobutanoate dehydrogenase (lipoamide)) kinase, mitochondrial [Beauveria bassiana]
KAF1737979.1         -            455 23635at5125          -            307   9.1e-34  116.0   5.3   5   5   5.7e-12     2e-08   32.7   0.4   255   294   412   451   395   454 0.82 (3-methyl-2-oxobutanoate dehydrogenase (lipoamide)) kinase, mitochondrial [Beauveria bassiana]
KAF1739119.1         -            489 23635at5125          -            307     9e-20   70.0   0.2   1   2   3.9e-17   1.4e-13   49.7   0.0    44   209   212   393   204   405 0.75 (Pyruvate dehydrogenase (acetyl-transferring)) kinase, mitochondrial [Beauveria bassiana]
KAF1739119.1         -            489 23635at5125          -            307     9e-20   70.0   0.2   2   2   1.8e-07   0.00061   18.0   0.0   251   282   414   445   403   464 0.85 (Pyruvate dehydrogenase (acetyl-transferring)) kinase, mitochondrial [Beauveria bassiana]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/23635at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_ERL836_protein.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Bbassiana_ERL836/run_hypocreales_odb10/hmmer_output/initial_run_results/23635at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/23635at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_ERL836_protein.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 14:20:39 2024
# [ok]
