# BUSCO version is: 5.5.0 
# The lineage dataset is: hypocreales_odb10 (Creation date: 2020-08-05, number of genomes: 50, number of BUSCOs: 4494)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
26at5125	Complete	FRD24_002788-T1	7883.6	3797	https://www.orthodb.org/v10?query=26at5125	Dynein heavy chain
30at5125	Complete	FRD24_004517-T1	6727.8	3988	https://www.orthodb.org/v10?query=30at5125	Midasin
49at5125	Complete	FRD24_002194-T1	6344.6	3257	https://www.orthodb.org/v10?query=49at5125	histone acetylase complex subunit
52at5125	Complete	FRD24_010236-T1	4841.2	3067	https://www.orthodb.org/v10?query=52at5125	E3 ubiquitin ligase, domain of unknown function DUF908
78at5125	Complete	FRD24_008524-T1	5257.9	2733	https://www.orthodb.org/v10?query=78at5125	Vacuolar protein sorting-associated protein
87at5125	Complete	FRD24_002736-T1	4166.8	2547	https://www.orthodb.org/v10?query=87at5125	fermentation associated protein
102at5125	Complete	FRD24_001990-T1	4077.5	2266	https://www.orthodb.org/v10?query=102at5125	FMP27, SW domain
133at5125	Complete	FRD24_006705-T1	4401.8	2023	https://www.orthodb.org/v10?query=133at5125	Pre-mRNA processing splicing factor 8
141at5125	Complete	FRD24_009811-T1	4156.1	2089	https://www.orthodb.org/v10?query=141at5125	FKBP12-rapamycin binding domain
142at5125	Complete	FRD24_000820-T1	3889.8	2109	https://www.orthodb.org/v10?query=142at5125	WD40-repeat-containing domain
154at5125	Fragmented	FRD24_007050-T1	1888.7	1060	https://www.orthodb.org/v10?query=154at5125	Serine/threonine-protein kinase Tel1
155at5125	Complete	FRD24_004670-T1	3661.2	2084	https://www.orthodb.org/v10?query=155at5125	Ribosomal protein L19
168at5125	Complete	FRD24_007144-T1	3387.5	1998	https://www.orthodb.org/v10?query=168at5125	Ras GTPase activator
171at5125	Complete	FRD24_001986-T1	3992.0	2025	https://www.orthodb.org/v10?query=171at5125	transcriptional activator leucine zipper
178at5125	Complete	FRD24_003290-T1	3929.0	1965	https://www.orthodb.org/v10?query=178at5125	Acetyl-CoA carboxylase
194at5125	Complete	FRD24_001299-T1	3792.8	2242	https://www.orthodb.org/v10?query=194at5125	Armadillo-type fold protein
200at5125	Complete	FRD24_007710-T1	4118.0	1888	https://www.orthodb.org/v10?query=200at5125	Glutamate synthase
203at5125	Complete	FRD24_007369-T1	3886.3	1890	https://www.orthodb.org/v10?query=203at5125	fatty acid synthase beta subunit dehydratase
215at5125	Complete	FRD24_000564-T1	3825.7	1904	https://www.orthodb.org/v10?query=215at5125	DNA polymerase epsilon catalytic subunit
246at5125	Complete	FRD24_005189-T1	3268.4	1843	https://www.orthodb.org/v10?query=246at5125	Signal transduction histidine kinase, dimerisation/phosphoacceptor domain
250at5125	Complete	FRD24_008381-T1	3541.5	2017	https://www.orthodb.org/v10?query=250at5125	myosin type II heavy chain
259at5125	Complete	FRD24_001265-T1	3967.7	1966	https://www.orthodb.org/v10?query=259at5125	pre-mRNA splicing helicase
270at5125	Complete	FRD24_001241-T1	3138.8	1774	https://www.orthodb.org/v10?query=270at5125	E3 ubiquitin-protein ligase ubr1
281at5125	Fragmented	FRD24_002475-T1	2491.6	1457	https://www.orthodb.org/v10?query=281at5125	phosphatidylinositol-4-phosphate 5-kinase fab1
309at5125	Complete	FRD24_008362-T1	3067.4	1605	https://www.orthodb.org/v10?query=309at5125	Phosphatidylinositol 3-/4-kinase, catalytic domain
314at5125	Complete	FRD24_002825-T1	3429.0	1615	https://www.orthodb.org/v10?query=314at5125	Activating signal cointegrator 1 complex subunit 3
322at5125	Complete	FRD24_007003-T1	3933.2	1904	https://www.orthodb.org/v10?query=322at5125	Carbamoyl-phosphate synthase small subunit, N-terminal domain
323at5125	Complete	FRD24_001122-T1	2666.1	1363	https://www.orthodb.org/v10?query=323at5125	Adenylate cyclase
341at5125	Complete	FRD24_004204-T1	3222.6	1862	https://www.orthodb.org/v10?query=341at5125	CCR4-Not complex component, Not1
