# BUSCO version is: 5.5.0 
# The lineage dataset is: hypocreales_odb10 (Creation date: 2020-08-05, number of genomes: 50, number of BUSCOs: 4494)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
26at5125	Complete	QPG94731.1	7971.8	3799	https://www.orthodb.org/v10?query=26at5125	Dynein heavy chain
30at5125	Complete	QPH01284.1	6665.3	3992	https://www.orthodb.org/v10?query=30at5125	Midasin
49at5125	Missing
52at5125	Complete	QPG97939.1	5099.8	3119	https://www.orthodb.org/v10?query=52at5125	E3 ubiquitin ligase, domain of unknown function DUF908
78at5125	Complete	QPG98509.1	5263.3	2710	https://www.orthodb.org/v10?query=78at5125	Vacuolar protein sorting-associated protein
87at5125	Complete	QPH16228.1	4250.8	2586	https://www.orthodb.org/v10?query=87at5125	fermentation associated protein
102at5125	Complete	QPG95631.1	4104.7	2267	https://www.orthodb.org/v10?query=102at5125	FMP27, SW domain
133at5125	Complete	QPG95667.1	4435.6	2023	https://www.orthodb.org/v10?query=133at5125	Pre-mRNA processing splicing factor 8
141at5125	Complete	QPG94238.1	4283.7	2113	https://www.orthodb.org/v10?query=141at5125	FKBP12-rapamycin binding domain
142at5125	Complete	QPG98600.1	4022.4	2143	https://www.orthodb.org/v10?query=142at5125	WD40-repeat-containing domain
154at5125	Complete	QPH12359.1	3991.8	2449	https://www.orthodb.org/v10?query=154at5125	Serine/threonine-protein kinase Tel1
155at5125	Complete	QPG98162.1	3982.6	2218	https://www.orthodb.org/v10?query=155at5125	Ribosomal protein L19
168at5125	Complete	QPH10105.1	2946.7	1812	https://www.orthodb.org/v10?query=168at5125	Ras GTPase activator
171at5125	Complete	QPG94978.1	4059.3	2049	https://www.orthodb.org/v10?query=171at5125	transcriptional activator leucine zipper
178at5125	Complete	QPH02814.1	3982.0	1982	https://www.orthodb.org/v10?query=178at5125	Acetyl-CoA carboxylase
194at5125	Complete	QPH00578.1	3863.0	2253	https://www.orthodb.org/v10?query=194at5125	Armadillo-type fold protein
200at5125	Complete	QPH05853.1	4116.5	1887	https://www.orthodb.org/v10?query=200at5125	Glutamate synthase
203at5125	Complete	QPH12083.1	3798.7	1846	https://www.orthodb.org/v10?query=203at5125	fatty acid synthase beta subunit dehydratase
215at5125	Complete	QPG93638.1	3853.3	1904	https://www.orthodb.org/v10?query=215at5125	DNA polymerase epsilon catalytic subunit
246at5125	Complete	QPG94552.1	3323.3	1827	https://www.orthodb.org/v10?query=246at5125	Signal transduction histidine kinase, dimerisation/phosphoacceptor domain
250at5125	Complete	QPG96295.1	3609.1	1972	https://www.orthodb.org/v10?query=250at5125	myosin type II heavy chain
259at5125	Complete	QPH00243.1	3990.5	1952	https://www.orthodb.org/v10?query=259at5125	pre-mRNA splicing helicase
270at5125	Complete	QPH00195.1	3449.3	1780	https://www.orthodb.org/v10?query=270at5125	E3 ubiquitin-protein ligase ubr1
281at5125	Complete	QPG95073.1	3110.9	1859	https://www.orthodb.org/v10?query=281at5125	phosphatidylinositol-4-phosphate 5-kinase fab1
309at5125	Complete	QPG96298.1	3404.6	1945	https://www.orthodb.org/v10?query=309at5125	Phosphatidylinositol 3-/4-kinase, catalytic domain
314at5125	Complete	QPG94762.1	3389.4	1636	https://www.orthodb.org/v10?query=314at5125	Activating signal cointegrator 1 complex subunit 3
322at5125	Complete	QPG94751.1	3632.2	1664	https://www.orthodb.org/v10?query=322at5125	Carbamoyl-phosphate synthase small subunit, N-terminal domain
323at5125	Complete	QPH00329.1	2674.6	1367	https://www.orthodb.org/v10?query=323at5125	Adenylate cyclase
341at5125	Complete	QPG94506.1	3277.4	1854	https://www.orthodb.org/v10?query=341at5125	CCR4-Not complex component, Not1
343at5125	Complete	QPH10963.1	3337.5	1715	https://www.orthodb.org/v10?query=343at5125	proteasome activator subunit 4
351at5125	Complete	QPH01774.1	3303.9	1778	https://www.orthodb.org/v10?query=351at5125	related to rat omega-conotoxin-sensitive calcium channel alpha-1 subunit rbB-I
353at5125	Missing
380at5125	Complete	QPH00102.1	3159.2	1694	https://www.orthodb.org/v10?query=380at5125	phosphatidylinositol 3-kinase 3
390at5125	Complete	QPG96188.1	2522.7	1661	https://www.orthodb.org/v10?query=390at5125	Polyketide synthase
407at5125	Complete	QPH12091.1	3415.2	1666	https://www.orthodb.org/v10?query=407at5125	Fatty acid synthase subunit alpha
420at5125	Complete	QPG99097.1	3237.3	1726	https://www.orthodb.org/v10?query=420at5125	Calcium channel subunit Cch1
429at5125	Complete	QPG93648.1	2760.8	1579	https://www.orthodb.org/v10?query=429at5125	anaphase-promoting complex subunit 1
434at5125	Complete	QPH04447.1	3187.1	1570	https://www.orthodb.org/v10?query=434at5125	class V chitin synthase
446at5125	Complete	QPH02109.1	3074.1	1602	https://www.orthodb.org/v10?query=446at5125	SNF2-related, N-terminal domain
459at5125	Complete	QPH02362.1	3014.3	1411	https://www.orthodb.org/v10?query=459at5125	acyl CoA ligase-like protein
463at5125	Complete	QPH18886.1	3282.6	1549	https://www.orthodb.org/v10?query=463at5125	Clathrin heavy chain
481at5125	Complete	QPG94611.1	2849.4	1645	https://www.orthodb.org/v10?query=481at5125	Helicase SEN1
