# BUSCO version is: 2.0 
# The lineage dataset is: hypocreales_odb10 (Creation date: 2020-08-05, number of species: 50, number of BUSCOs: 4494)
# To reproduce this run: python /home/zack/miniconda3/envs/funannotate/lib/python3.7/site-packages/funannotate/aux_scripts/funannotate-BUSCO2.py -i /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/GENOMES/TrichodermaReesei_QM6a/FunannotatePredict/predict_misc/busco_augustus.proteins.fasta -o trichoderma_reesei_qm6a -l /home/zack/funannotate_db/hypocreales_odb10/ -m proteins -c 4 -sp anidulans
#
# Busco id	Status	Sequence	Score	Length
10002at5125	Complete	gene953.t1	1372.6	663
10007at5125	Complete	gene954.t1	977.2	660
10011at5125	Complete	gene955.t1	914.4	566
10012at5125	Complete	gene956.t1	891.1	547
10018at5125	Complete	gene957.t1	1007.2	739
10029at5125	Complete	gene958.t1	952.2	510
10042at5125	Complete	gene959.t1	954.3	544
10046at5125	Complete	gene960.t1	1048.9	565
10056at5125	Complete	gene961.t1	1136.0	658
10058at5125	Complete	gene962.t1	696.0	793
10061at5125	Complete	gene963.t1	919.5	662
10062at5125	Complete	gene964.t1	881.0	744
10086at5125	Complete	gene965.t1	909.2	496
10109at5125	Complete	gene966.t1	1064.9	579
10123at5125	Complete	gene967.t1	967.8	486
10132at5125	Complete	gene968.t1	1276.6	663
10143at5125	Complete	gene969.t1	835.0	510
10152at5125	Complete	gene970.t1	883.5	467
10163at5125	Complete	gene971.t1	978.7	564
10164at5125	Complete	gene972.t1	1096.5	561
10167at5125	Complete	gene973.t1	946.3	514
10177at5125	Complete	gene974.t1	730.4	629
10181at5125	Complete	gene975.t1	913.4	508
10185at5125	Complete	gene976.t1	608.4	821
10188at5125	Complete	gene977.t1	985.0	877
1018at5125	Complete	gene86.t1	2549.1	1513
10190at5125	Complete	gene978.t1	1335.0	897
10241at5125	Complete	gene979.t1	780.6	603
10245at5125	Complete	gene980.t1	739.6	579
10250at5125	Complete	gene981.t1	447.2	282
10256at5125	Complete	gene982.t1	1087.5	536
1027at5125	Complete	gene87.t1	1529.4	1204
10280at5125	Complete	gene983.t1	1048.2	523
10290at5125	Complete	gene984.t1	818.9	452
102at5125	Complete	gene7.t1	4042.6	2259
10303at5125	Complete	gene985.t1	924.5	527
10317at5125	Complete	gene986.t1	447.9	538
10320at5125	Complete	gene987.t1	714.6	469
10325at5125	Complete	gene988.t1	905.6	530
10345at5125	Complete	gene989.t1	1001.5	565
10356at5125	Complete	gene990.t1	1105.2	520
10365at5125	Complete	gene991.t1	1022.9	508
10380at5125	Complete	gene992.t1	908.3	571
10381at5125	Complete	gene993.t1	1243.0	726
10385at5125	Complete	gene994.t1	1089.7	604
10422at5125	Complete	gene995.t1	1015.1	1005
10442at5125	Complete	gene996.t1	972.8	743
10453at5125	Complete	gene997.t1	1130.0	556
10490at5125	Complete	gene998.t1	955.0	493
10507at5125	Complete	gene999.t1	761.0	604
10535at5125	Complete	gene1000.t1	1062.4	513
10538at5125	Complete	gene1001.t1	914.4	501
10546at5125	Complete	gene1002.t1	537.1	366
10558at5125	Complete	gene1003.t1	970.3	534
10563at5125	Complete	gene1004.t1	806.2	471
10565at5125	Complete	gene1005.t1	1127.8	571
10579at5125	Complete	gene1006.t1	1044.5	549
10595at5125	Complete	gene1007.t1	1021.8	505
10597at5125	Complete	gene1008.t1	1109.1	593
10599at5125	Complete	gene1009.t1	1358.7	876
10614at5125	Complete	gene1010.t1	782.7	485
10624at5125	Complete	gene1011.t1	911.4	552
10627at5125	Complete	gene1012.t1	1148.4	574
10629at5125	Complete	gene1013.t1	1094.5	507
10646at5125	Complete	gene1014.t1	1151.5	578
10652at5125	Complete	gene1015.t1	795.6	578
10667at5125	Complete	gene1016.t1	1171.3	594
10669at5125	Complete	gene1017.t1	958.0	539
1066at5125	Complete	gene88.t1	2209.1	1223
10686at5125	Complete	gene1018.t1	1041.8	499
1068at5125	Complete	gene89.t1	2289.0	1236
10718at5125	Complete	gene1019.t1	1133.8	620
1071at5125	Complete	gene90.t1	2534.9	1295
10798at5125	Complete	gene1020.t1	1006.8	581
1079at5125	Complete	gene91.t1	2082.9	1123
10825at5125	Complete	gene1021.t1	1006.7	594
1083at5125	Complete	gene92.t1	2459.0	1321
10860at5125	Complete	gene1022.t1	1093.5	613
10864at5125	Complete	gene1023.t1	1044.1	628
10879at5125	Complete	gene1024.t1	776.3	588
