# BUSCO version is: 2.0 
# The lineage dataset is: hypocreales_odb10 (Creation date: 2020-08-05, number of species: 50, number of BUSCOs: 4494)
# To reproduce this run: python /home/zack/miniconda3/envs/funannotate/lib/python3.7/site-packages/funannotate/aux_scripts/funannotate-BUSCO2.py -i /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/GENOMES/TrichodermaReesei_QM6a/FunannotatePredict/predict_misc/genome.softmasked.fa -o trichoderma_reesei_qm6a -l /home/zack/funannotate_db/hypocreales_odb10/ -m genome -c 4 -sp anidulans
#
# Busco id	Status	Contig	Start	End	Score	Length
10002at5125	Complete	scaffold_3	1677446	1680056	1372.6	663
10007at5125	Complete	scaffold_4	2064291	2066831	977.2	660
10011at5125	Complete	scaffold_6	2434746	2437199	914.4	566
10012at5125	Complete	scaffold_1	2842986	2845654	891.1	547
10018at5125	Complete	scaffold_6	2450945	2453976	1007.2	739
10029at5125	Complete	scaffold_4	2931129	2933118	952.2	510
10042at5125	Complete	scaffold_3	3538934	3541107	954.3	544
10046at5125	Complete	scaffold_1	1144113	1146398	1048.9	565
10056at5125	Complete	scaffold_2	3204775	3207296	1136.0	658
10058at5125	Complete	scaffold_6	570189	573781	695.9	793
10061at5125	Complete	scaffold_2	4416678	4420131	919.5	662
10062at5125	Complete	scaffold_2	1627128	1630240	881.0	744
10086at5125	Complete	scaffold_1	5325811	5327607	909.2	496
10109at5125	Complete	scaffold_2	4565838	4568173	1064.9	579
10123at5125	Complete	scaffold_1	4396706	4398649	967.8	486
10132at5125	Complete	scaffold_3	2635296	2638194	1276.6	663
10143at5125	Complete	scaffold_1	4967917	4970073	835.0	510
10152at5125	Complete	scaffold_5	2127573	2129731	883.5	467
10163at5125	Complete	scaffold_1	4350834	4352995	978.6	564
10164at5125	Complete	scaffold_3	3770049	3772116	1096.6	561
10167at5125	Complete	scaffold_2	799969	802385	946.3	514
10177at5125	Complete	scaffold_7	2879773	2882753	730.4	629
10181at5125	Complete	scaffold_7	222379	224739	913.4	508
10185at5125	Complete	scaffold_2	1392430	1396233	607.3	775
10188at5125	Complete	scaffold_1	1893750	1897780	985.0	877
1018at5125	Complete	scaffold_6	2444836	2450378	2549.1	1513
10190at5125	Complete	scaffold_1	4164078	4167962	1335.0	897
10241at5125	Complete	scaffold_2	4192790	4195288	780.7	603
10245at5125	Complete	scaffold_2	5386691	5389369	739.6	579
10250at5125	Complete	scaffold_1	3454024	3455891	447.3	282
10256at5125	Complete	scaffold_5	2338261	2340282	1087.5	536
1027at5125	Complete	scaffold_3	446781	452324	1529.4	1204
