!! Predictions spanning range 136 - 5219 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 7.60 136-773 orient(-) score(173900.00) noncoding_equivalent(22885.00) raw_noncoding(27987.00) offset(5102.00) 
682	136	internal-	4	4	{GeneMark_model.10832_t;GeneMark}
731	683	INTRON			{Augustus_model.g9127.t1;Augustus},{snap_scaffold_541-snap.1-T1;snap},{GeneMark_model.10832_t;GeneMark}
773	732	initial-	4	6	{Augustus_model.g9127.t1;Augustus},{snap_scaffold_541-snap.1-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 7.54 1608-2281 orient(+) score(176918.00) noncoding_equivalent(23459.74) raw_noncoding(25800.46) offset(2340.72) 
1608	1631	initial+	1	3	{snap_scaffold_541-snap.2-T1;snap}
1632	1654	INTRON			{snap_scaffold_541-snap.2-T1;snap}
1655	2281	terminal+	1	3	{snap_scaffold_541-snap.2-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 6.00 4271-5219 orient(+) score(239549.00) noncoding_equivalent(39930.22) raw_noncoding(68821.41) offset(28891.19) 
4271	4280	initial+	1	1	{snap_scaffold_541-snap.3-T1;snap},{GeneMark_model.10834_t;GeneMark}
4281	4335	INTRON			{snap_scaffold_541-snap.3-T1;snap},{Augustus_model.g9128.t1;Augustus},{GeneMark_model.10834_t;GeneMark}
4336	4381	internal+	2	2	{snap_scaffold_541-snap.3-T1;snap},{Augustus_model.g9128.t1;Augustus},{GeneMark_model.10834_t;GeneMark}
4382	4436	INTRON			{Augustus_model.g9128.t1;Augustus},{GeneMark_model.10834_t;GeneMark}
4437	4463	internal+	3	2	{Augustus_model.g9128.t1;Augustus},{GeneMark_model.10834_t;GeneMark}
4464	4525	INTRON			{Augustus_model.g9128.t1;Augustus},{GeneMark_model.10834_t;GeneMark}
4526	5219	internal+	3	3	{Augustus_model.g9128.t1;Augustus},{GeneMark_model.10834_t;GeneMark}

