# BUSCO version is: 5.5.0 
# The lineage dataset is: hypocreales_odb10 (Creation date: 2020-08-05, number of genomes: 50, number of BUSCOs: 4494)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
26at5125	Complete	PHA62_002170-T1	7918.5	3795	https://www.orthodb.org/v10?query=26at5125	Dynein heavy chain
30at5125	Complete	PHA62_005291-T1	6799.3	4116	https://www.orthodb.org/v10?query=30at5125	Midasin
49at5125	Complete	PHA62_007303-T1	6365.2	3269	https://www.orthodb.org/v10?query=49at5125	histone acetylase complex subunit
52at5125	Complete	PHA62_003624-T1	4951.1	3109	https://www.orthodb.org/v10?query=52at5125	E3 ubiquitin ligase, domain of unknown function DUF908
78at5125	Complete	PHA62_000319-T1	5213.5	2713	https://www.orthodb.org/v10?query=78at5125	Vacuolar protein sorting-associated protein
87at5125	Complete	PHA62_007228-T1	4173.5	2556	https://www.orthodb.org/v10?query=87at5125	fermentation associated protein
102at5125	Complete	PHA62_006025-T1	4070.4	2257	https://www.orthodb.org/v10?query=102at5125	FMP27, SW domain
133at5125	Complete	PHA62_006458-T1	4410.2	2024	https://www.orthodb.org/v10?query=133at5125	Pre-mRNA processing splicing factor 8
141at5125	Complete	PHA62_002054-T1	4188.3	2074	https://www.orthodb.org/v10?query=141at5125	FKBP12-rapamycin binding domain
142at5125	Complete	PHA62_009310-T1	3989.2	2133	https://www.orthodb.org/v10?query=142at5125	WD40-repeat-containing domain
154at5125	Complete	PHA62_001422-T1	3138.9	1969	https://www.orthodb.org/v10?query=154at5125	Serine/threonine-protein kinase Tel1
155at5125	Complete	PHA62_007678-T1	3830.1	2213	https://www.orthodb.org/v10?query=155at5125	Ribosomal protein L19
168at5125	Complete	PHA62_001514-T1	2993.0	1813	https://www.orthodb.org/v10?query=168at5125	Ras GTPase activator
171at5125	Complete	PHA62_006029-T1	4002.1	2024	https://www.orthodb.org/v10?query=171at5125	transcriptional activator leucine zipper
178at5125	Complete	PHA62_004523-T1	3932.1	1969	https://www.orthodb.org/v10?query=178at5125	Acetyl-CoA carboxylase
194at5125	Complete	PHA62_008809-T1	3837.5	2247	https://www.orthodb.org/v10?query=194at5125	Armadillo-type fold protein
200at5125	Complete	PHA62_000929-T1	4110.8	1910	https://www.orthodb.org/v10?query=200at5125	Glutamate synthase
203at5125	Complete	PHA62_006774-T1	3885.3	1890	https://www.orthodb.org/v10?query=203at5125	fatty acid synthase beta subunit dehydratase
215at5125	Complete	PHA62_008429-T1	3884.5	1904	https://www.orthodb.org/v10?query=215at5125	DNA polymerase epsilon catalytic subunit
246at5125	Complete	PHA62_000403-T1	3251.2	1840	https://www.orthodb.org/v10?query=246at5125	Signal transduction histidine kinase, dimerisation/phosphoacceptor domain
250at5125	Complete	PHA62_000747-T1	3528.8	2002	https://www.orthodb.org/v10?query=250at5125	myosin type II heavy chain
259at5125	Complete	PHA62_008864-T1	3977.3	1960	https://www.orthodb.org/v10?query=259at5125	pre-mRNA splicing helicase
270at5125	Complete	PHA62_008883-T1	2993.0	1643	https://www.orthodb.org/v10?query=270at5125	E3 ubiquitin-protein ligase ubr1
281at5125	Complete	PHA62_006932-T1	2611.3	1682	https://www.orthodb.org/v10?query=281at5125	phosphatidylinositol-4-phosphate 5-kinase fab1
309at5125	Complete	PHA62_000762-T1	3125.6	1629	https://www.orthodb.org/v10?query=309at5125	Phosphatidylinositol 3-/4-kinase, catalytic domain
314at5125	Complete	PHA62_002216-T1	3416.7	1649	https://www.orthodb.org/v10?query=314at5125	Activating signal cointegrator 1 complex subunit 3
322at5125	Complete	PHA62_007194-T1	3926.8	1917	https://www.orthodb.org/v10?query=322at5125	Carbamoyl-phosphate synthase small subunit, N-terminal domain
323at5125	Complete	PHA62_009010-T1	2655.7	1369	https://www.orthodb.org/v10?query=323at5125	Adenylate cyclase
341at5125	Complete	PHA62_003901-T1	3225.8	1856	https://www.orthodb.org/v10?query=341at5125	CCR4-Not complex component, Not1
343at5125	Complete	PHA62_006683-T1	3374.0	1724	https://www.orthodb.org/v10?query=343at5125	proteasome activator subunit 4
351at5125	Complete	PHA62_005946-T1	3267.9	1778	https://www.orthodb.org/v10?query=351at5125	related to rat omega-conotoxin-sensitive calcium channel alpha-1 subunit rbB-I
353at5125	Complete	PHA62_000380-T1	2994.6	1645	https://www.orthodb.org/v10?query=353at5125	DHR-1 domain
380at5125	Complete	PHA62_008928-T1	3111.0	1691	https://www.orthodb.org/v10?query=380at5125	phosphatidylinositol 3-kinase 3
390at5125	Complete	PHA62_000677-T1	2232.4	1496	https://www.orthodb.org/v10?query=390at5125	Polyketide synthase
407at5125	Complete	PHA62_006775-T1	3445.4	1666	https://www.orthodb.org/v10?query=407at5125	Fatty acid synthase subunit alpha
420at5125	Complete	PHA62_009154-T1	2530.3	1352	https://www.orthodb.org/v10?query=420at5125	Calcium channel subunit Cch1
429at5125	Complete	PHA62_008456-T1	2664.3	1580	https://www.orthodb.org/v10?query=429at5125	anaphase-promoting complex subunit 1
434at5125	Complete	PHA62_006744-T1	3175.3	1571	https://www.orthodb.org/v10?query=434at5125	class V chitin synthase
446at5125	Complete	PHA62_005398-T1	3136.0	1619	https://www.orthodb.org/v10?query=446at5125	SNF2-related, N-terminal domain
459at5125	Complete	PHA62_005831-T1	3011.8	1400	https://www.orthodb.org/v10?query=459at5125	acyl CoA ligase-like protein
463at5125	Complete	PHA62_009497-T1	3291.7	1549	https://www.orthodb.org/v10?query=463at5125	Clathrin heavy chain
481at5125	Complete	PHA62_000775-T1	2811.5	1618	https://www.orthodb.org/v10?query=481at5125	Helicase SEN1
485at5125	Fragmented	PHA62_009415-T1	1153.9	830	https://www.orthodb.org/v10?query=485at5125	Ubiquitin C-terminal hydrolase
497at5125	Complete	PHA62_004233-T1	3007.7	1522	https://www.orthodb.org/v10?query=497at5125	Sec7, C-terminal
499at5125	Complete	PHA62_000862-T1	2537.4	1532	https://www.orthodb.org/v10?query=499at5125	Proteasome component ECM29
521at5125	Complete	PHA62_009102-T1	2659.7	1490	https://www.orthodb.org/v10?query=521at5125	Putative response regulator receiver RIM15p
522at5125	Complete	PHA62_006745-T1	2688.6	1425	https://www.orthodb.org/v10?query=522at5125	class VII chitin synthase
527at5125	Complete	PHA62_008659-T1	2814.6	1390	https://www.orthodb.org/v10?query=527at5125	kinesin
539at5125	Complete	PHA62_005295-T1	2707.4	1558	https://www.orthodb.org/v10?query=539at5125	U3 small nucleolar RNA-associated protein
542at5125	Complete	PHA62_001438-T1	2377.1	1659	https://www.orthodb.org/v10?query=542at5125	Separin
569at5125	Complete	PHA62_002475-T1	3038.0	1531	https://www.orthodb.org/v10?query=569at5125	DNA-directed RNA polymerase subunit
581at5125	Complete	PHA62_006822-T1	2449.0	1403	https://www.orthodb.org/v10?query=581at5125	Sister chromatid cohesion protein
616at5125	Complete	PHA62_009457-T1	2653.3	1585	https://www.orthodb.org/v10?query=616at5125	Nucleoporin
637at5125	Complete	PHA62_006820-T1	1986.5	1244	https://www.orthodb.org/v10?query=637at5125	Winged helix-like DNA-binding domain superfamily
655at5125	Complete	PHA62_005626-T1	2526.8	1497	https://www.orthodb.org/v10?query=655at5125	cellular morphogenesis regulator DopA
658at5125	Complete	PHA62_005111-T1	2222.8	1294	https://www.orthodb.org/v10?query=658at5125	tuberin
664at5125	Complete	PHA62_005456-T1	2429.1	1230	https://www.orthodb.org/v10?query=664at5125	DNA-directed RNA polymerase subunit
672at5125	Complete	PHA62_000910-T1	2593.9	1332	https://www.orthodb.org/v10?query=672at5125	Glycogen debranching enzyme
677at5125	Complete	PHA62_004967-T1	2826.4	1399	https://www.orthodb.org/v10?query=677at5125	Myosin head, motor domain protein
694at5125	Complete	PHA62_001900-T1	2078.5	1233	https://www.orthodb.org/v10?query=694at5125	Signal transduction histidine kinase, dimerisation/phosphoacceptor domain
707at5125	Complete	PHA62_001767-T1	2450.6	1950	https://www.orthodb.org/v10?query=707at5125	THO complex, subunitTHOC2, C-terminal
720at5125	Complete	PHA62_000671-T1	1912.0	1463	https://www.orthodb.org/v10?query=720at5125	myosin class II heavy chain
726at5125	Complete	PHA62_003066-T1	2290.8	1247	https://www.orthodb.org/v10?query=726at5125	Zinc finger, PHD-type
729at5125	Complete	PHA62_001983-T1	2432.2	1550	https://www.orthodb.org/v10?query=729at5125	Autophagy-related protein 2
740at5125	Complete	PHA62_004504-T1	2079.2	1222	https://www.orthodb.org/v10?query=740at5125	ABC transporter, transmembrane domain, type 1
742at5125	Complete	PHA62_004786-T1	838.4	723	https://www.orthodb.org/v10?query=742at5125	HDA1 complex subunit
746at5125	Complete	PHA62_007435-T1	2585.1	1302	https://www.orthodb.org/v10?query=746at5125	Sulfite reductase beta subunit
776at5125	Complete	PHA62_001692-T1	2460.6	1630	https://www.orthodb.org/v10?query=776at5125	ankyrin repeat containing protein
782at5125	Complete	PHA62_001595-T1	2570.0	1322	https://www.orthodb.org/v10?query=782at5125	Multidrug resistance-associated protein 1
789at5125	Complete	PHA62_004102-T1	2099.6	1364	https://www.orthodb.org/v10?query=789at5125	endosomal peripheral membrane protein
794at5125	Complete	PHA62_007862-T1	2397.3	1483	https://www.orthodb.org/v10?query=794at5125	Histone transcription regulator 3
799at5125	Complete	PHA62_003640-T1	2320.0	1568	https://www.orthodb.org/v10?query=799at5125	chromosome segregation ATPase family protein
818at5125	Complete	PHA62_005931-T1	1874.5	1230	https://www.orthodb.org/v10?query=818at5125	HEAT repeat protein
824at5125	Complete	PHA62_003890-T1	1933.6	1228	https://www.orthodb.org/v10?query=824at5125	Ankyrin repeat-containing domain
854at5125	Complete	PHA62_007147-T1	2491.4	1403	https://www.orthodb.org/v10?query=854at5125	DNA-directed RNA polymerase subunit
868at5125	Complete	PHA62_006218-T1	2533.5	1363	https://www.orthodb.org/v10?query=868at5125	ABC transporter type 1, transmembrane domain
874at5125	Complete	PHA62_009330-T1	2560.9	1283	https://www.orthodb.org/v10?query=874at5125	ATP-binding cassette transporter, PDR-like subfamily G, domain 1
879at5125	Complete	PHA62_007293-T1	2441.4	1418	https://www.orthodb.org/v10?query=879at5125	related to NUO-14 NADH2 dehydrogenase (ubiquinone) 14K chain
923at5125	Complete	PHA62_000822-T1	1794.7	1187	https://www.orthodb.org/v10?query=923at5125	related to SRB8-DNA-directed RNA polymerase II holoenzyme and Srb10 CDK subcomplex subunit
925at5125	Complete	PHA62_007379-T1	2275.6	1255	https://www.orthodb.org/v10?query=925at5125	Sec7 domain
928at5125	Complete	PHA62_006791-T1	2234.6	1241	https://www.orthodb.org/v10?query=928at5125	phosphoinositide 3-kinase regulatory subunit 4
940at5125	Complete	PHA62_002579-T1	2102.2	1274	https://www.orthodb.org/v10?query=940at5125	Sortilin
944at5125	Complete	PHA62_001423-T1	2414.6	1421	https://www.orthodb.org/v10?query=944at5125	nuclear pore complex subunit Nup192, putative
949at5125	Complete	PHA62_002942-T1	2331.1	1265	https://www.orthodb.org/v10?query=949at5125	Cytokinesis protein sepA
982at5125	Complete	PHA62_002852-T1	2352.5	1369	https://www.orthodb.org/v10?query=982at5125	Protein kinase domain
1018at5125	Complete	PHA62_008648-T1	2507.3	1504	https://www.orthodb.org/v10?query=1018at5125	S1 domain
1027at5125	Complete	PHA62_006373-T1	1551.4	1187	https://www.orthodb.org/v10?query=1027at5125	Leucine-rich repeat
1066at5125	Complete	PHA62_007567-T1	2225.9	1228	https://www.orthodb.org/v10?query=1066at5125	Phospholipase
1068at5125	Complete	PHA62_008723-T1	2266.5	1224	https://www.orthodb.org/v10?query=1068at5125	DNA helicase INO80
1071at5125	Complete	PHA62_000635-T1	2485.1	1286	https://www.orthodb.org/v10?query=1071at5125	Phospholipid-transporting ATPase
1079at5125	Complete	PHA62_000308-T1	2068.1	1124	https://www.orthodb.org/v10?query=1079at5125	Phosphoribosylformylglycinamidine synthase
1083at5125	Complete	PHA62_000463-T1	2454.9	1314	https://www.orthodb.org/v10?query=1083at5125	thyroid hormone receptor interactor 12
1101at5125	Complete	PHA62_002427-T1	2754.1	1434	https://www.orthodb.org/v10?query=1101at5125	golgi complex component
1103at5125	Complete	PHA62_008476-T1	2462.5	1451	https://www.orthodb.org/v10?query=1103at5125	Ras GTPase activating protein
1128at5125	Complete	PHA62_000287-T1	1809.4	1217	https://www.orthodb.org/v10?query=1128at5125	Putative glyoxal oxidase
1130at5125	Complete	PHA62_001548-T1	2237.8	1217	https://www.orthodb.org/v10?query=1130at5125	DNA polymerase
1147at5125	Complete	PHA62_003039-T1	2123.1	1302	https://www.orthodb.org/v10?query=1147at5125	C7YV14_NECH7
1179at5125	Complete	PHA62_006326-T1	2184.1	1457	https://www.orthodb.org/v10?query=1179at5125	kinesin
1181at5125	Complete	PHA62_005236-T1	2504.4	1248	https://www.orthodb.org/v10?query=1181at5125	Chromo domain-containing protein 1
1182at5125	Complete	PHA62_006410-T1	2060.2	1400	https://www.orthodb.org/v10?query=1182at5125	WD40/YVTN repeat-like-containing domain superfamily
1187at5125	Complete	PHA62_000584-T1	2433.2	1134	https://www.orthodb.org/v10?query=1187at5125	WD40-repeat-containing domain
1198at5125	Complete	PHA62_000731-T1	1940.2	1281	https://www.orthodb.org/v10?query=1198at5125	Rho guanyl nucleotide exchange factor
1210at5125	Complete	PHA62_000721-T1	1784.5	1055	https://www.orthodb.org/v10?query=1210at5125	WD40-repeat-containing domain
1220at5125	Complete	PHA62_005217-T1	2412.7	1241	https://www.orthodb.org/v10?query=1220at5125	Transcription elongation factor Spt6
1224at5125	Complete	PHA62_005463-T1	2222.9	1194	https://www.orthodb.org/v10?query=1224at5125	Tricalbin
1225at5125	Complete	PHA62_006875-T1	2344.7	1220	https://www.orthodb.org/v10?query=1225at5125	Transcription initiation factor TFIID subunit 2
1240at5125	Complete	PHA62_008680-T1	1365.6	1110	https://www.orthodb.org/v10?query=1240at5125	dim2-associated protein 1, variant 1
