!! Predictions spanning range 252 - 16566 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 3.33 252-1799 orient(-) score(366067.00) noncoding_equivalent(110087.96) raw_noncoding(168877.00) offset(58789.04) 
319	252	terminal-	5	6	{GeneMark_model.10341_t;GeneMark},{snap_scaffold_389-snap.1-T1;snap}
374	320	INTRON			{GeneMark_model.10341_t;GeneMark},{Augustus_model.g8756.t1;Augustus}
398	375	internal-	5	4	{GeneMark_model.10341_t;GeneMark},{Augustus_model.g8756.t1;Augustus}
447	399	INTRON			{GeneMark_model.10341_t;GeneMark},{Augustus_model.g8756.t1;Augustus}
543	448	internal-	5	4	{GeneMark_model.10341_t;GeneMark},{Augustus_model.g8756.t1;Augustus}
605	544	INTRON			{GeneMark_model.10341_t;GeneMark},{GlimmerHMM_glimmerT_10486-T1;GlimmerHMM},{Augustus_model.g8756.t1;Augustus}
950	606	internal-	5	4	{GeneMark_model.10341_t;GeneMark},{snap_scaffold_389-snap.1-T1;snap},{Augustus_model.g8756.t1;Augustus}
995	951	INTRON			{GeneMark_model.10341_t;GeneMark},{snap_scaffold_389-snap.1-T1;snap},{Augustus_model.g8756.t1;Augustus}
1051	996	internal-	6	4	{GeneMark_model.10341_t;GeneMark}
1115	1052	INTRON			{GeneMark_model.10341_t;GeneMark}
1173	1116	internal-	5	5	{GeneMark_model.10341_t;GeneMark},{GlimmerHMM_glimmerT_10486-T1;GlimmerHMM}
1257	1174	INTRON			{GeneMark_model.10341_t;GeneMark},{GlimmerHMM_glimmerT_10486-T1;GlimmerHMM}
1453	1258	internal-	4	4	{GeneMark_model.10341_t;GeneMark},{snap_scaffold_389-snap.1-T1;snap},{Augustus_model.g8756.t1;Augustus}
1538	1454	INTRON			{GeneMark_model.10341_t;GeneMark},{snap_scaffold_389-snap.1-T1;snap},{Augustus_model.g8756.t1;Augustus}
1799	1539	initial-	4	6	{GeneMark_model.10341_t;GeneMark},{snap_scaffold_389-snap.1-T1;snap},{Augustus_model.g8756.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 8.89 2849-7745 orient(+) score(1385060.00) noncoding_equivalent(155786.54) raw_noncoding(201065.79) offset(45279.25) 
2849	3545	initial+	1	1	{Augustus_model.g8757.t1;Augustus},{GlimmerHMM_glimmerT_10487-T1;GlimmerHMM},{snap_scaffold_389-snap.2-T1;snap}
3546	3614	INTRON			{Augustus_model.g8757.t1;Augustus},{GeneMark_model.10342_t;GeneMark},{GlimmerHMM_glimmerT_10487-T1;GlimmerHMM},{snap_scaffold_389-snap.2-T1;snap}
3615	3793	internal+	2	3	{GlimmerHMM_glimmerT_10487-T1;GlimmerHMM},{snap_scaffold_389-snap.2-T1;snap}
3794	3910	INTRON			{GlimmerHMM_glimmerT_10487-T1;GlimmerHMM},{snap_scaffold_389-snap.2-T1;snap}
