#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAH8718438.1         -            491 27696at5125          -            358  6.1e-188  623.4   5.3   1   3   1.8e-55     4e-52  176.7   0.0     1    99    35   134    35   142 0.94 Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial [Beauveria bassiana]
KAH8718438.1         -            491 27696at5125          -            358  6.1e-188  623.4   5.3   2   3   2.9e-21   6.6e-18   64.1   0.0    90   140   173   223   170   226 0.95 Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial [Beauveria bassiana]
KAH8718438.1         -            491 27696at5125          -            358  6.1e-188  623.4   5.3   3   3  5.4e-118  1.2e-114  382.3   1.5   138   358   248   491   239   491 0.92 Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial [Beauveria bassiana]
KAH8712649.1         -            459 27696at5125          -            358   1.2e-39  135.7   2.6   1   2   2.5e-05     0.056   11.7   0.0    30    82    55   108    48   125 0.87 Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial [Beauveria bassiana]
KAH8712649.1         -            459 27696at5125          -            358   1.2e-39  135.7   2.6   2   2   4.7e-39   1.1e-35  122.7   1.1    96   350   177   454   168   459 0.84 Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial [Beauveria bassiana]
KAH8718035.1         -            433 27696at5125          -            358   2.8e-28   98.2   1.8   1   2   8.5e-07    0.0019   16.6   0.1     8    92    39   124    32   143 0.86 2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase, mitochondrial [Beauveria bassiana]
KAH8718035.1         -            433 27696at5125          -            358   2.8e-28   98.2   1.8   2   2     2e-26   4.5e-23   81.1   0.3   163   353   231   431   202   433 0.86 2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase, mitochondrial [Beauveria bassiana]
KAH8716099.1         -            429 27696at5125          -            358   8.5e-06   24.3   0.0   1   2   3.8e-06    0.0085   14.4   0.0     5    76    26    98    22   129 0.80 putative pyruvate dehydrogenase protein X component, mitochondrial [Beauveria bassiana]
KAH8716099.1         -            429 27696at5125          -            358   8.5e-06   24.3   0.0   2   2   0.00041      0.93    7.7   0.0   100   136   173   212   163   221 0.85 putative pyruvate dehydrogenase protein X component, mitochondrial [Beauveria bassiana]
KAH8711054.1         -            719 27696at5125          -            358     5e-05   21.7   0.1   1   1   3.7e-08   8.2e-05   21.0   0.1    20    88   646   714   635   719 0.89 Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial [Beauveria bassiana]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/27696at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_JEF-350_protein.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Bbassiana_JEF-350/run_hypocreales_odb10/hmmer_output/initial_run_results/27696at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/27696at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_JEF-350_protein.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 14:24:43 2024
# [ok]
