# BUSCO version is: 2.0 
# The lineage dataset is: hypocreales_odb10 (Creation date: 2020-08-05, number of species: 50, number of BUSCOs: 4494)
# To reproduce this run: python /home/zack/miniconda3/envs/funannotate/lib/python3.7/site-packages/funannotate/aux_scripts/funannotate-BUSCO2.py -i /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/GENOMES/Epichloefestucae_ROSECITY/FunannotatePredict/predict_misc/genome.softmasked.fa -o epichloe_festucae_rosecity -l /home/zack/funannotate_db/hypocreales_odb10/ -m genome -c 12 -sp anidulans
#
# Busco id	Status	Contig	Start	End	Score	Length
10002at5125	Complete	scaffold_11	1040412	1043120	1354.9	663
10007at5125	Complete	scaffold_10	338687	341053	956.4	651
10011at5125	Complete	scaffold_4	735195	737679	939.5	612
10012at5125	Missing
10018at5125	Complete	scaffold_4	618653	624552	959.4	575
10029at5125	Complete	scaffold_8	728572	730618	952.3	510
10042at5125	Complete	scaffold_2	1712919	1715216	940.5	543
10046at5125	Complete	scaffold_6	1920218	1922572	1057.2	559
10056at5125	Complete	scaffold_9	147573	150725	1114.4	626
10058at5125	Missing
10061at5125	Complete	scaffold_2	103830	106975	945.0	686
10062at5125	Complete	scaffold_2	2659796	2663029	937.7	771
10086at5125	Complete	scaffold_7	99117	100919	896.6	503
10109at5125	Complete	scaffold_4	1554962	1557261	1064.0	560
10123at5125	Complete	scaffold_7	803571	805455	1009.4	494
10132at5125	Complete	scaffold_2	1579537	1582208	1274.1	656
10143at5125	Missing
10152at5125	Complete	scaffold_14	289629	291771	875.8	453
10163at5125	Complete	scaffold_7	463786	466427	1003.3	554
10164at5125	Complete	scaffold_6	1376620	1378711	1109.4	561
10167at5125	Complete	scaffold_4	298295	300646	921.1	511
10177at5125	Complete	scaffold_1	3943243	3946027	724.4	642
10181at5125	Complete	scaffold_3	2987114	2989448	918.8	509
10185at5125	Complete	scaffold_4	1060085	1065656	610.2	697
10188at5125	Complete	scaffold_13	164947	173293	872.6	792
1018at5125	Complete	scaffold_4	615452	621072	2545.2	1543
10190at5125	Complete	scaffold_7	674820	678182	1305.7	861
10241at5125	Complete	scaffold_2	331887	334283	813.9	608
10245at5125	Complete	scaffold_13	564814	567477	778.9	592
10250at5125	Complete	scaffold_5	1740867	1742288	460.1	280
10256at5125	Complete	scaffold_14	408869	410876	1068.5	536
1027at5125	Complete	scaffold_6	1072267	1077627	1628.0	1199
10280at5125	Complete	scaffold_3	2087397	2089701	1058.8	525
10290at5125	Complete	scaffold_7	885250	887106	804.9	446
102at5125	Complete	scaffold_4	668896	677856	4105.1	2267
10303at5125	Complete	scaffold_2	2587309	2589401	936.9	556
10317at5125	Complete	scaffold_4	2727393	2729792	652.0	520
10320at5125	Complete	scaffold_3	993417	996189	739.1	463
10325at5125	Missing
10345at5125	Complete	scaffold_2	2393791	2396241	998.2	534
10356at5125	Complete	scaffold_2	585510	588258	1122.5	512
10365at5125	Complete	scaffold_7	1149325	1151565	1007.5	510
10380at5125	Missing
10381at5125	Missing
10385at5125	Complete	scaffold_1	1019925	1022392	1078.0	622
10422at5125	Complete	scaffold_11	699434	703241	1042.2	1020
10442at5125	Complete	scaffold_5	1707845	1710299	1060.8	692
10453at5125	Complete	scaffold_4	1677216	1679753	1114.7	578
10490at5125	Missing
10507at5125	Complete	scaffold_5	1754875	1757589	722.9	580
10535at5125	Complete	scaffold_2	3188495	3190824	1050.5	513
10538at5125	Complete	scaffold_1	2565015	2567300	935.2	496
10546at5125	Missing
10558at5125	Complete	scaffold_3	1259934	1261995	950.0	534
10563at5125	Complete	scaffold_3	2131141	2133270	815.7	459
10565at5125	Complete	scaffold_7	120309	122360	1118.1	590
10579at5125	Complete	scaffold_1	3518915	3521513	1043.2	539
10595at5125	Complete	scaffold_2	2911091	2913315	327.3	496
10597at5125	Complete	scaffold_6	799193	801840	1121.9	627
10599at5125	Missing
10614at5125	Complete	scaffold_12	769295	771521	817.7	450
10624at5125	Missing
10627at5125	Complete	scaffold_2	373477	375405	1138.9	569
10629at5125	Complete	scaffold_2	322506	324164	1070.4	506
10646at5125	Complete	scaffold_5	330393	332553	1163.4	574
10652at5125	Complete	scaffold_13	177057	179553	776.8	580
10667at5125	Complete	scaffold_14	557677	560306	1180.5	592
10669at5125	Complete	scaffold_5	1778019	1780669	949.8	528
1066at5125	Complete	scaffold_4	2663294	2668824	2268.4	1203
10686at5125	Complete	scaffold_1	2795806	2797654	1043.7	499
1068at5125	Complete	scaffold_1	3170771	3177266	2250.0	1269
10718at5125	Complete	scaffold_5	1832092	1834413	1121.1	626
1071at5125	Complete	scaffold_3	2435311	2440119	2534.1	1295
10798at5125	Complete	scaffold_1	3980315	3983246	1010.1	591
1079at5125	Missing
10825at5125	Complete	scaffold_1	2510136	2513364	998.8	628
1083at5125	Complete	scaffold_9	859077	865299	2525.2	1305
10860at5125	Complete	scaffold_8	167251	171411	1082.4	592
10864at5125	Missing
10879at5125	Complete	scaffold_5	2599464	2602355	793.4	560
10880at5125	Complete	scaffold_12	870665	873697	914.0	653
10896at5125	Complete	scaffold_7	1688435	1690719	1025.8	540
10898at5125	Complete	scaffold_4	2684797	2687314	1116.9	600
10908at5125	Complete	scaffold_4	290673	292394	830.8	463
10912at5125	Complete	scaffold_7	956753	966398	1135.9	595
10921at5125	Complete	scaffold_3	1573359	1576013	1183.3	757
10923at5125	Complete	scaffold_15	298047	300014	802.8	469
10941at5125	Missing
10946at5125	Complete	scaffold_13	133018	135168	975.0	577
10959at5125	Complete	scaffold_8	1217371	1219221	663.1	516
