!! Predictions spanning range 2435 - 12071 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 10000.00 2435-3190 orient(+) score(226956.00) noncoding_equivalent(22.70) raw_noncoding(0.00) offset(0.00) 
2435	3190	single+	1	3	{Augustus_model.g8932.t1;Augustus},{GeneMark_model.10577_t;GeneMark},{GlimmerHMM_glimmerT_10717-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 19.11 3855-8189 orient(-) score(1253829.00) noncoding_equivalent(65610.41) raw_noncoding(100182.00) offset(34571.59) 
4939	3855	terminal-	5	6	{snap_scaffold_440-snap.2-T1;snap},{GlimmerHMM_glimmerT_10718-T1;GlimmerHMM},{GeneMark_model.10578_t;GeneMark}
5012	4940	INTRON			{snap_scaffold_440-snap.2-T1;snap},{Augustus_model.g8933.t1;Augustus},{GlimmerHMM_glimmerT_10718-T1;GlimmerHMM},{GeneMark_model.10578_t;GeneMark}
5168	5013	internal-	5	4	{snap_scaffold_440-snap.2-T1;snap},{Augustus_model.g8933.t1;Augustus},{GlimmerHMM_glimmerT_10718-T1;GlimmerHMM},{GeneMark_model.10578_t;GeneMark}
5235	5169	INTRON			{Augustus_model.g8933.t1;Augustus},{GlimmerHMM_glimmerT_10718-T1;GlimmerHMM},{GeneMark_model.10578_t;GeneMark}
5283	5236	internal-	5	4	{Augustus_model.g8933.t1;Augustus},{GlimmerHMM_glimmerT_10718-T1;GlimmerHMM},{GeneMark_model.10578_t;GeneMark}
5341	5284	INTRON			{Augustus_model.g8933.t1;Augustus},{GeneMark_model.10578_t;GeneMark}
5401	5342	internal-	5	4	{Augustus_model.g8933.t1;Augustus},{GeneMark_model.10578_t;GeneMark}
5479	5402	INTRON			{Augustus_model.g8933.t1;Augustus},{GeneMark_model.10578_t;GeneMark}
8189	5480	initial-	4	4	{snap_scaffold_440-snap.2-T1;snap},{GlimmerHMM_glimmerT_10718-T1;GlimmerHMM},{GeneMark_model.10578_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 9.80 9522-12071 orient(+) score(742402.00) noncoding_equivalent(75723.18) raw_noncoding(83261.00) offset(7537.82) 
9522	10133	initial+	1	3	{snap_scaffold_440-snap.3-T1;snap},{GeneMark_model.10579_t;GeneMark},{Augustus_model.g8934.t1;Augustus},{GlimmerHMM_glimmerT_10719-T1;GlimmerHMM}
10134	10205	INTRON			{snap_scaffold_440-snap.3-T1;snap},{GeneMark_model.10579_t;GeneMark},{Augustus_model.g8934.t1;Augustus},{GlimmerHMM_glimmerT_10719-T1;GlimmerHMM}
10206	10407	internal+	1	1	{snap_scaffold_440-snap.3-T1;snap},{GeneMark_model.10579_t;GeneMark},{Augustus_model.g8934.t1;Augustus}
10408	10467	INTRON			{snap_scaffold_440-snap.3-T1;snap},{GeneMark_model.10579_t;GeneMark},{Augustus_model.g8934.t1;Augustus}
10468	10611	internal+	2	1	{snap_scaffold_440-snap.3-T1;snap},{GeneMark_model.10579_t;GeneMark},{Augustus_model.g8934.t1;Augustus},{GlimmerHMM_glimmerT_10719-T1;GlimmerHMM}
10612	10692	INTRON			{snap_scaffold_440-snap.3-T1;snap},{GeneMark_model.10579_t;GeneMark},{Augustus_model.g8934.t1;Augustus},{GlimmerHMM_glimmerT_10719-T1;GlimmerHMM}
10693	12071	terminal+	2	3	{snap_scaffold_440-snap.3-T1;snap},{GlimmerHMM_glimmerT_10719-T1;GlimmerHMM}

