#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
OY7_007595-T1        -           1058 3656at5125           -            839         0 1425.3  51.0   1   4  1.8e-115  3.7e-112  375.1   6.2    19   223     7   215     3   250 0.94 OY7_007595
OY7_007595-T1        -           1058 3656at5125           -            839         0 1425.3  51.0   2   4   6.8e-51   1.4e-47  161.5   0.4   230   327   282   379   266   391 0.89 OY7_007595
OY7_007595-T1        -           1058 3656at5125           -            839         0 1425.3  51.0   3   4   7.5e-77   1.5e-73  247.3  22.3   314   513   391   639   383   672 0.80 OY7_007595
OY7_007595-T1        -           1058 3656at5125           -            839         0 1425.3  51.0   4   4  2.7e-200  5.5e-197  655.7   1.6   515   839   708  1058   653  1058 0.89 OY7_007595
OY7_008298-T1        -            902 3656at5125           -            839   9.5e-23   79.3   0.5   1   1   7.9e-26   1.6e-22   78.5   0.5   698   838   180   318   168   319 0.91 OY7_008298
OY7_006269-T1        -            833 3656at5125           -            839   2.4e-19   68.0   1.4   1   1   2.2e-22   4.4e-19   67.1   1.4   717   838   513   632   459   633 0.88 OY7_006269
OY7_004090-T1        -            654 3656at5125           -            839   6.1e-16   56.8   0.1   1   1   6.9e-19   1.4e-15   55.6   0.1   709   813   208   322   202   326 0.85 OY7_004090
OY7_009307-T1        -            392 3656at5125           -            839   9.2e-05   19.8   0.0   1   2   1.1e-07   0.00022   18.6   0.0   765   813   182   234   111   241 0.81 OY7_009307
OY7_009307-T1        -            392 3656at5125           -            839   9.2e-05   19.8   0.0   2   2      0.22   4.4e+02   -2.3   0.1   193   218   336   361   323   367 0.78 OY7_009307
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/3656at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Cfumosorosea_grCorFumo1.proteins.fa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Cfumosorosea_grCorFumo1/run_hypocreales_odb10/hmmer_output/initial_run_results/3656at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/3656at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Cfumosorosea_grCorFumo1.proteins.fa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 14:45:38 2024
# [ok]
