!! Predictions spanning range 464 - 10024 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 102.95 464-1921 orient(+) score(434658.00) noncoding_equivalent(4222.11) raw_noncoding(4222.11) offset(0.00) 
464	1921	single+	1	3	{GeneMark_model.10627_t;GeneMark},{Augustus_model.g8972.t1;Augustus},{GlimmerHMM_glimmerT_10773-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 3.29 2064-2675 orient(-) score(123012.00) noncoding_equivalent(37403.16) raw_noncoding(37403.16) offset(0.00) 
2675	2064	single-	4	6	{Augustus_model.g8973.t1;Augustus},{GeneMark_model.10628_t;GeneMark},{GlimmerHMM_glimmerT_10774-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 22.97 3125-4663 orient(-) score(463239.00) noncoding_equivalent(20167.00) raw_noncoding(20769.00) offset(602.00) 
4149	3125	terminal-	5	6	{snap_scaffold_454-snap.2-T1;snap},{GlimmerHMM_glimmerT_10775-T1;GlimmerHMM},{Augustus_model.g8974.t1;Augustus},{GeneMark_model.10629_t;GeneMark}
4218	4150	INTRON			{snap_scaffold_454-snap.2-T1;snap},{GlimmerHMM_glimmerT_10775-T1;GlimmerHMM},{Augustus_model.g8974.t1;Augustus},{GeneMark_model.10629_t;GeneMark}
4663	4219	initial-	4	4	{snap_scaffold_454-snap.2-T1;snap},{GlimmerHMM_glimmerT_10775-T1;GlimmerHMM},{Augustus_model.g8974.t1;Augustus},{GeneMark_model.10629_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 4.77 6054-7489 orient(-) score(394154.00) noncoding_equivalent(82643.07) raw_noncoding(97682.00) offset(15038.93) 
6657	6054	terminal-	6	6	{Augustus_model.g8975.t1;Augustus},{snap_scaffold_454-snap.3-T1;snap},{GeneMark_model.10630_t;GeneMark},{GlimmerHMM_glimmerT_10776-T1;GlimmerHMM}
6892	6658	INTRON			{snap_scaffold_454-snap.3-T1;snap},{GlimmerHMM_glimmerT_10776-T1;GlimmerHMM}
7134	6893	internal-	4	5	{GlimmerHMM_glimmerT_10776-T1;GlimmerHMM}
7180	7135	INTRON			{GeneMark_model.10630_t;GeneMark},{GlimmerHMM_glimmerT_10776-T1;GlimmerHMM}
7285	7181	internal-	4	6	{snap_scaffold_454-snap.3-T1;snap},{GeneMark_model.10630_t;GeneMark},{GlimmerHMM_glimmerT_10776-T1;GlimmerHMM}
7345	7286	INTRON			{snap_scaffold_454-snap.3-T1;snap},{GeneMark_model.10630_t;GeneMark},{GlimmerHMM_glimmerT_10776-T1;GlimmerHMM}
7489	7346	initial-	4	6	{snap_scaffold_454-snap.3-T1;snap},{GeneMark_model.10630_t;GeneMark},{GlimmerHMM_glimmerT_10776-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 16.89 8302-10024 orient(-) score(518623.00) noncoding_equivalent(30702.00) raw_noncoding(31906.00) offset(1204.00) 
9087	8302	terminal-	4	6	{GeneMark_model.10631_t;GeneMark},{GlimmerHMM_glimmerT_10777-T1;GlimmerHMM},{snap_scaffold_454-snap.4-T1;snap},{Augustus_model.g8976.t1;Augustus}
9139	9088	INTRON			{GeneMark_model.10631_t;GeneMark},{GlimmerHMM_glimmerT_10777-T1;GlimmerHMM},{snap_scaffold_454-snap.4-T1;snap},{Augustus_model.g8976.t1;Augustus}
9527	9140	internal-	6	6	{GeneMark_model.10631_t;GeneMark},{GlimmerHMM_glimmerT_10777-T1;GlimmerHMM},{snap_scaffold_454-snap.4-T1;snap},{Augustus_model.g8976.t1;Augustus}
9581	9528	INTRON			{GeneMark_model.10631_t;GeneMark},{GlimmerHMM_glimmerT_10777-T1;GlimmerHMM},{snap_scaffold_454-snap.4-T1;snap},{Augustus_model.g8976.t1;Augustus}
10024	9582	initial-	4	5	{GeneMark_model.10631_t;GeneMark},{GlimmerHMM_glimmerT_10777-T1;GlimmerHMM},{snap_scaffold_454-snap.4-T1;snap},{Augustus_model.g8976.t1;Augustus}

