!! Predictions spanning range 175 - 2430 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 2.54 175-2430 orient(+) score(524721.00) noncoding_equivalent(217522.99) raw_noncoding(263673.00) offset(46150.01) 
175	403	initial+	1	1	{GlimmerHMM_glimmerT_11236-T1;GlimmerHMM}
404	537	INTRON			{snap_scaffold_710-snap.1-T1;snap},{GlimmerHMM_glimmerT_11236-T1;GlimmerHMM},{GeneMark_model.11032_t;GeneMark}
538	1105	internal+	2	2	{GlimmerHMM_glimmerT_11236-T1;GlimmerHMM},{GeneMark_model.11032_t;GeneMark}
1106	1203	INTRON			{GlimmerHMM_glimmerT_11236-T1;GlimmerHMM},{Augustus_model.g9277.t1;Augustus},{GeneMark_model.11032_t;GeneMark}
1204	1536	internal+	3	2	{GlimmerHMM_glimmerT_11236-T1;GlimmerHMM},{GeneMark_model.11032_t;GeneMark}
1537	1598	INTRON			{Augustus_model.g9277.t1;Augustus},{GeneMark_model.11032_t;GeneMark}
1599	1691	internal+	3	2	{Augustus_model.g9277.t1;Augustus},{GeneMark_model.11032_t;GeneMark}
1692	1748	INTRON			{Augustus_model.g9277.t1;Augustus},{GeneMark_model.11032_t;GeneMark}
1749	2022	internal+	3	3	{GlimmerHMM_glimmerT_11236-T1;GlimmerHMM},{Augustus_model.g9277.t1;Augustus},{GeneMark_model.11032_t;GeneMark}
2023	2143	INTRON			{GlimmerHMM_glimmerT_11236-T1;GlimmerHMM},{Augustus_model.g9277.t1;Augustus},{GeneMark_model.11032_t;GeneMark}
2144	2430	internal+	1	2	{GlimmerHMM_glimmerT_11236-T1;GlimmerHMM},{GeneMark_model.11032_t;GeneMark}

