!! Predictions spanning range 2305 - 42363 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 314.02 2305-3174 orient(-) score(261070.00) noncoding_equivalent(831.37) raw_noncoding(831.37) offset(0.00) 
3174	2305	single-	4	6	{GeneMark_model.9127_t;GeneMark},{Augustus_model.g7757.t1;Augustus},{GlimmerHMM_glimmerT_9229-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 18.53 3520-4484 orient(+) score(290160.00) noncoding_equivalent(15656.34) raw_noncoding(16258.34) offset(602.00) 
3520	3650	initial+	1	2	{GeneMark_model.9128_t;GeneMark},{snap_scaffold_254-snap.2-T1;snap},{GlimmerHMM_glimmerT_9230-T1;GlimmerHMM},{Augustus_model.g7758.t1;Augustus}
3651	3703	INTRON			{GeneMark_model.9128_t;GeneMark},{snap_scaffold_254-snap.2-T1;snap},{GlimmerHMM_glimmerT_9230-T1;GlimmerHMM},{Augustus_model.g7758.t1;Augustus}
3704	4484	terminal+	3	3	{GeneMark_model.9128_t;GeneMark},{snap_scaffold_254-snap.2-T1;snap},{GlimmerHMM_glimmerT_9230-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 24.65 5811-8290 orient(+) score(722038.00) noncoding_equivalent(29285.96) raw_noncoding(34537.96) offset(5252.00) 
5811	7921	initial+	1	2	{snap_scaffold_254-snap.3-T1;snap},{GlimmerHMM_glimmerT_9231-T1;GlimmerHMM},{GeneMark_model.9129_t;GeneMark}
7922	7971	INTRON			{GlimmerHMM_glimmerT_9231-T1;GlimmerHMM},{GeneMark_model.9129_t;GeneMark},{Augustus_model.g7758.t1;Augustus}
7972	8290	terminal+	3	3	{GeneMark_model.9129_t;GeneMark},{Augustus_model.g7758.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 9.14 8827-9284 orient(-) score(129172.00) noncoding_equivalent(14131.76) raw_noncoding(17293.75) offset(3161.99) 
9198	8827	terminal-	4	6	{GeneMark_model.9130_t;GeneMark},{snap_scaffold_254-snap.4-T1;snap},{Augustus_model.g7759.t1;Augustus}
9257	9199	INTRON			{GeneMark_model.9130_t;GeneMark},{snap_scaffold_254-snap.4-T1;snap}
