!! Predictions spanning range 1394 - 5520 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 300.00 1394-1885 orient(+) score(147600.00) noncoding_equivalent(492.00) raw_noncoding(492.00) offset(0.00) 
1394	1885	single+	1	3	{GlimmerHMM_glimmerT_11060-T1;GlimmerHMM},{GeneMark_model.10886_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 11.93 2309-4522 orient(-) score(610014.00) noncoding_equivalent(51145.89) raw_noncoding(80455.76) offset(29309.86) 
3438	2309	terminal-	5	6	{Augustus_model.g9166.t1;Augustus},{GeneMark_model.10887_t;GeneMark}
3490	3439	INTRON			{Augustus_model.g9166.t1;Augustus},{GeneMark_model.10887_t;GeneMark}
4092	3491	internal-	6	4	{Augustus_model.g9166.t1;Augustus},{GeneMark_model.10887_t;GeneMark}
4160	4093	INTRON			{Augustus_model.g9166.t1;Augustus},{GlimmerHMM_glimmerT_11062-T1;GlimmerHMM},{GeneMark_model.10887_t;GeneMark}
4249	4161	internal-	4	5	{Augustus_model.g9166.t1;Augustus},{GlimmerHMM_glimmerT_11062-T1;GlimmerHMM},{GeneMark_model.10887_t;GeneMark}
4315	4250	INTRON			{Augustus_model.g9166.t1;Augustus},{GeneMark_model.10887_t;GeneMark}
4522	4316	initial-	4	6	{Augustus_model.g9166.t1;Augustus},{snap_scaffold_572-snap.2-T1;snap},{GeneMark_model.10887_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 1.69 4962-5520 orient(-) score(149059.00) noncoding_equivalent(88344.83) raw_noncoding(102065.25) offset(13720.41) 
4970	4962	terminal-	4	6	{Augustus_model.g9167.t1;Augustus},{GeneMark_model.10888_t;GeneMark}
5028	4971	INTRON			{Augustus_model.g9167.t1;Augustus},{GeneMark_model.10888_t;GeneMark}
5082	5029	internal-	4	6	{GlimmerHMM_glimmerT_11062-T1;GlimmerHMM},{Augustus_model.g9167.t1;Augustus},{GeneMark_model.10888_t;GeneMark}
5140	5083	INTRON			{GlimmerHMM_glimmerT_11062-T1;GlimmerHMM},{Augustus_model.g9167.t1;Augustus},{GeneMark_model.10888_t;GeneMark}
5234	5141	internal-	6	6	{GlimmerHMM_glimmerT_11062-T1;GlimmerHMM},{Augustus_model.g9167.t1;Augustus},{snap_scaffold_572-snap.3-T1;snap},{GeneMark_model.10888_t;GeneMark}
5466	5235	INTRON			{GlimmerHMM_glimmerT_11062-T1;GlimmerHMM},{Augustus_model.g9167.t1;Augustus},{snap_scaffold_572-snap.3-T1;snap},{GeneMark_model.10888_t;GeneMark}
5520	5467	internal-	6	5	{GlimmerHMM_glimmerT_11062-T1;GlimmerHMM},{Augustus_model.g9167.t1;Augustus},{snap_scaffold_572-snap.3-T1;snap},{GeneMark_model.10888_t;GeneMark}

