!! Predictions spanning range 2681 - 94540 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 135.80 2681-4480 orient(-) score(537700.00) noncoding_equivalent(3959.54) raw_noncoding(3959.54) offset(0.00) 
4480	2681	single-	4	6	{GeneMark_model.1731_t;GeneMark},{Augustus_model.g1457.t1;Augustus},{GlimmerHMM_glimmerT_1989-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 2.20 5284-5714 orient(+) score(107200.00) noncoding_equivalent(48631.69) raw_noncoding(64931.00) offset(16299.31) 
5284	5317	initial+	1	1	{snap_scaffold_2-snap.787-T1;snap},{GlimmerHMM_glimmerT_1990-T1;GlimmerHMM},{GeneMark_model.1732_t;GeneMark}
5318	5396	INTRON			{snap_scaffold_2-snap.787-T1;snap},{GlimmerHMM_glimmerT_1990-T1;GlimmerHMM},{GeneMark_model.1732_t;GeneMark}
5397	5422	internal+	2	3	{GlimmerHMM_glimmerT_1990-T1;GlimmerHMM},{GeneMark_model.1732_t;GeneMark}
5423	5518	INTRON			{GlimmerHMM_glimmerT_1990-T1;GlimmerHMM},{GeneMark_model.1732_t;GeneMark}
5519	5623	internal+	1	3	{snap_scaffold_2-snap.787-T1;snap},{GlimmerHMM_glimmerT_1990-T1;GlimmerHMM},{GeneMark_model.1732_t;GeneMark}
5624	5681	INTRON			{snap_scaffold_2-snap.787-T1;snap}
5682	5714	terminal+	1	3	{snap_scaffold_2-snap.787-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 4.83 6371-6955 orient(+) score(176085.00) noncoding_equivalent(36421.00) raw_noncoding(37023.00) offset(602.00) 
6371	6601	initial+	1	3	{Augustus_model.g1458.t1;Augustus},{snap_scaffold_2-snap.788-T1;snap},{GlimmerHMM_glimmerT_1991-T1;GlimmerHMM},{GeneMark_model.1733_t;GeneMark}
6602	6724	INTRON			{Augustus_model.g1458.t1;Augustus},{snap_scaffold_2-snap.788-T1;snap},{GlimmerHMM_glimmerT_1991-T1;GlimmerHMM},{GeneMark_model.1733_t;GeneMark}
6725	6955	terminal+	1	3	{Augustus_model.g1458.t1;Augustus},{snap_scaffold_2-snap.788-T1;snap},{GlimmerHMM_glimmerT_1991-T1;GlimmerHMM},{GeneMark_model.1733_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 125.42 8852-12757 orient(+) score(1166406.00) noncoding_equivalent(9300.00) raw_noncoding(9300.00) offset(0.00) 
8852	12757	single+	1	3	{GlimmerHMM_glimmerT_1993-T1;GlimmerHMM},{Augustus_model.g1459.t1;Augustus},{GeneMark_model.1734_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 5.45 14524-15098 orient(-) score(149735.00) noncoding_equivalent(27498.26) raw_noncoding(32140.26) offset(4642.00) 
15038	14524	terminal-	5	6	{snap_scaffold_2-snap.791-T1;snap},{GlimmerHMM_glimmerT_1994-T1;GlimmerHMM}
15082	15039	INTRON			{snap_scaffold_2-snap.791-T1;snap},{GlimmerHMM_glimmerT_1994-T1;GlimmerHMM}
15098	15083	initial-	4	4	{snap_scaffold_2-snap.791-T1;snap},{GlimmerHMM_glimmerT_1994-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 2.07 16530-17079 orient(+) score(140200.00) noncoding_equivalent(67628.15) raw_noncoding(79200.76) offset(11572.61) 
16530	16567	initial+	1	2	{snap_scaffold_2-snap.792-T1;snap},{GlimmerHMM_glimmerT_1995-T1;GlimmerHMM},{GeneMark_model.1736_t;GeneMark}
16568	16676	INTRON			{snap_scaffold_2-snap.792-T1;snap},{GlimmerHMM_glimmerT_1995-T1;GlimmerHMM},{GeneMark_model.1736_t;GeneMark}
16677	16831	internal+	3	1	{snap_scaffold_2-snap.792-T1;snap},{GlimmerHMM_glimmerT_1995-T1;GlimmerHMM},{GeneMark_model.1736_t;GeneMark}
16832	16936	INTRON			{snap_scaffold_2-snap.792-T1;snap},{GeneMark_model.1736_t;GeneMark}
16937	17079	terminal+	2	3	{snap_scaffold_2-snap.792-T1;snap},{GeneMark_model.1736_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 25.37 17353-21918 orient(-) score(1374366.00) noncoding_equivalent(54180.00) raw_noncoding(55986.00) offset(1806.00) 
19146	17353	terminal-	4	6	{GlimmerHMM_glimmerT_1996-T1;GlimmerHMM},{GeneMark_model.1737_t;GeneMark},{snap_scaffold_2-snap.793-T1;snap},{Augustus_model.g1461.t1;Augustus}
19198	19147	INTRON			{GlimmerHMM_glimmerT_1996-T1;GlimmerHMM},{GeneMark_model.1737_t;GeneMark},{snap_scaffold_2-snap.793-T1;snap},{Augustus_model.g1461.t1;Augustus}
19372	19199	internal-	4	6	{GlimmerHMM_glimmerT_1996-T1;GlimmerHMM},{GeneMark_model.1737_t;GeneMark},{snap_scaffold_2-snap.793-T1;snap},{Augustus_model.g1461.t1;Augustus}
19436	19373	INTRON			{GlimmerHMM_glimmerT_1996-T1;GlimmerHMM},{GeneMark_model.1737_t;GeneMark},{snap_scaffold_2-snap.793-T1;snap},{Augustus_model.g1461.t1;Augustus}
19759	19437	internal-	5	6	{GlimmerHMM_glimmerT_1996-T1;GlimmerHMM},{GeneMark_model.1737_t;GeneMark},{snap_scaffold_2-snap.793-T1;snap},{Augustus_model.g1461.t1;Augustus}
19829	19760	INTRON			{GlimmerHMM_glimmerT_1996-T1;GlimmerHMM},{GeneMark_model.1737_t;GeneMark},{snap_scaffold_2-snap.793-T1;snap},{Augustus_model.g1461.t1;Augustus}
21918	19830	initial-	4	4	{GlimmerHMM_glimmerT_1996-T1;GlimmerHMM},{GeneMark_model.1737_t;GeneMark},{snap_scaffold_2-snap.793-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 1336.08 22590-24383 orient(+) score(539594.00) noncoding_equivalent(403.86) raw_noncoding(403.86) offset(0.00) 
22590	24383	single+	1	3	{GeneMark_model.1738_t;GeneMark},{Augustus_model.g1462.t1;Augustus},{GlimmerHMM_glimmerT_1997-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 2.64 24719-25848 orient(-) score(227130.00) noncoding_equivalent(86108.00) raw_noncoding(97310.00) offset(11202.00) 
25649	24719	terminal-	6	6	{GlimmerHMM_glimmerT_1998-T1;GlimmerHMM},{Augustus_model.g1463.t1;Augustus},{GeneMark_model.1739_t;GeneMark}
25759	25650	INTRON			{GlimmerHMM_glimmerT_1998-T1;GlimmerHMM},{Augustus_model.g1463.t1;Augustus},{GeneMark_model.1739_t;GeneMark}
25848	25760	initial-	4	5	{GlimmerHMM_glimmerT_1998-T1;GlimmerHMM},{Augustus_model.g1463.t1;Augustus},{GeneMark_model.1739_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 15.74 26389-28006 orient(+) score(464325.00) noncoding_equivalent(29500.29) raw_noncoding(36763.00) offset(7262.71) 
26389	26835	initial+	1	3	{GlimmerHMM_glimmerT_1999-T1;GlimmerHMM},{GeneMark_model.1740_t;GeneMark},{Augustus_model.g1464.t1;Augustus},{snap_scaffold_2-snap.795-T1;snap}
26836	26905	INTRON			{GeneMark_model.1740_t;GeneMark},{Augustus_model.g1464.t1;Augustus},{snap_scaffold_2-snap.795-T1;snap}
26906	28006	terminal+	1	3	{GeneMark_model.1740_t;GeneMark},{snap_scaffold_2-snap.795-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 6.22 29973-31439 orient(+) score(418467.00) noncoding_equivalent(67260.48) raw_noncoding(74328.00) offset(7067.52) 
29973	30124	initial+	1	2	{Augustus_model.g1465.t1;Augustus},{snap_scaffold_2-snap.796-T1;snap},{GlimmerHMM_glimmerT_2000-T1;GlimmerHMM}
30125	30182	INTRON			{GeneMark_model.1741_t;GeneMark},{Augustus_model.g1465.t1;Augustus},{snap_scaffold_2-snap.796-T1;snap},{GlimmerHMM_glimmerT_2000-T1;GlimmerHMM}
30183	30520	internal+	3	1	{GeneMark_model.1741_t;GeneMark},{Augustus_model.g1465.t1;Augustus},{snap_scaffold_2-snap.796-T1;snap},{GlimmerHMM_glimmerT_2000-T1;GlimmerHMM}
30521	30577	INTRON			{GeneMark_model.1741_t;GeneMark},{Augustus_model.g1465.t1;Augustus},{snap_scaffold_2-snap.796-T1;snap},{GlimmerHMM_glimmerT_2000-T1;GlimmerHMM}
30578	30897	internal+	2	3	{GeneMark_model.1741_t;GeneMark},{Augustus_model.g1465.t1;Augustus},{snap_scaffold_2-snap.796-T1;snap},{GlimmerHMM_glimmerT_2000-T1;GlimmerHMM}
30898	30949	INTRON			{GeneMark_model.1741_t;GeneMark},{Augustus_model.g1465.t1;Augustus},{GlimmerHMM_glimmerT_2000-T1;GlimmerHMM}
30950	31190	internal+	1	1	{GeneMark_model.1741_t;GeneMark},{Augustus_model.g1465.t1;Augustus},{GlimmerHMM_glimmerT_2000-T1;GlimmerHMM}
31191	31251	INTRON			{GeneMark_model.1741_t;GeneMark},{Augustus_model.g1465.t1;Augustus},{GlimmerHMM_glimmerT_2000-T1;GlimmerHMM}
31252	31439	terminal+	2	3	{GeneMark_model.1741_t;GeneMark},{Augustus_model.g1465.t1;Augustus},{GlimmerHMM_glimmerT_2000-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 12.77 33228-34108 orient(+) score(265181.00) noncoding_equivalent(20769.00) raw_noncoding(21371.00) offset(602.00) 
33228	33484	initial+	1	2	{GeneMark_model.1742_t;GeneMark},{Augustus_model.g1466.t1;Augustus},{snap_scaffold_2-snap.797-T1;snap},{GlimmerHMM_glimmerT_2002-T1;GlimmerHMM}
