#HMM_family	HMM_len	Query_ID	Query_len	E-value	HMM_start	HMM_end	Query_start	Query_end	Coverage
GH71	375	FUN_004610-T1	427	2.8e-132	0	372	30	403	0.992000
GT2_Glycos_transf_2	170	FUN_004658-T1	413	5.9e-24	0	107	115	256	0.629412
AA9	220	FUN_004664-T1	378	4.6e-54	2	219	7	229	0.986364
CE3	194	FUN_004697-T1	157	6.3e-18	94	194	13	110	0.515464
GT39	223	FUN_004717-T1	944	5.1e-70	1	223	65	311	0.995516
GH13_40	359	FUN_004766-T1	598	4.1e-173	0	359	32	393	1.000000
GH13_31	349	FUN_004766-T1	598	1.7e-134	0	349	32	393	1.000000
GH13_29	344	FUN_004766-T1	598	8.9e-117	0	343	31	392	0.997093
GH13_23	344	FUN_004766-T1	598	1.9e-113	0	340	32	390	0.988372
GH13_30	365	FUN_004766-T1	598	1.9e-89	0	362	32	389	0.991781
GH13_17	350	FUN_004766-T1	598	7.1e-82	0	349	32	392	0.997143
GH13_36	314	FUN_004766-T1	598	2.6e-75	0	311	32	390	0.990446
GH13	299	FUN_004766-T1	598	1.8e-74	12	292	32	393	0.936455
GH13_16	353	FUN_004766-T1	598	9.6e-73	0	283	32	348	0.801700
GH13_35	351	FUN_004766-T1	598	2.7e-58	0	349	32	390	0.994302
GH13_21	308	FUN_004766-T1	598	6.8e-57	0	304	32	390	0.987013
GH13_20	300	FUN_004766-T1	598	1.3e-48	0	164	32	216	0.546667
GH13_4	400	FUN_004766-T1	598	2.5e-33	1	186	32	218	0.462500
GH13_14	289	FUN_004766-T1	598	9.2e-32	0	155	41	217	0.536332
GH13_1	306	FUN_004766-T1	598	2.1e-31	1	297	32	389	0.967320
GH13_2	310	FUN_004766-T1	598	1.3e-30	1	174	32	215	0.558065
GH13_39	316	FUN_004766-T1	598	1.4e-29	0	164	32	215	0.518987
GH13_41	294	FUN_004766-T1	598	2.1e-25	0	159	32	215	0.540816
GH13_10	313	FUN_004766-T1	598	2.1e-20	4	144	32	216	0.447284
GH13_37	320	FUN_004766-T1	598	2.2e-20	7	320	31	389	0.978125
GH13_3	210	FUN_004766-T1	598	5.5e-20	2	153	39	220	0.719048
GH13_18	343	FUN_004766-T1	598	6e-20	1	159	50	221	0.460641
GH13_34	244	FUN_004766-T1	598	6.3e-19	1	88	33	123	0.356557
GH13_32	269	FUN_004766-T1	598	8.9e-19	0	153	48	216	0.568773
GH13_6	289	FUN_004766-T1	598	2.7e-18	1	156	42	217	0.536332
GH13_1	306	FUN_004770-T1	463	3.2e-116	0	306	57	346	1.000000
GH13	299	FUN_004770-T1	463	1.2e-59	12	297	58	346	0.953177
GH13_2	310	FUN_004770-T1	463	2.1e-54	0	308	57	336	0.993548
GH13_41	294	FUN_004770-T1	463	4.5e-46	0	292	58	340	0.993197
GH13_20	300	FUN_004770-T1	463	5.8e-44	0	300	58	344	1.000000
GH13_36	314	FUN_004770-T1	463	3.9e-39	0	310	58	337	0.987261
GH13_12	284	FUN_004770-T1	463	3.3e-38	0	281	58	336	0.989437
