# BUSCO version is: 2.0 
# The lineage dataset is: dikarya_odb9 (Creation date: 2016-02-13, number of species: 75, number of BUSCOs: 1312)
# To reproduce this run: python /home/zack/miniconda3/envs/funannotate/lib/python3.7/site-packages/funannotate/aux_scripts/funannotate-BUSCO2.py -i /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/GENOMES/TrichodermaReesei_QM6a/FunannotatePredict/annotate_misc/genome.proteins.fasta -o busco -l /home/zack/funannotate_db/dikarya/ -m proteins -c 4 -sp aspergillus_nidulans
#
# Busco id	Status	Sequence	Score	Length
EOG0926004Z	Complete	FUN_001180-T1	3260.6	3009
EOG09260075	Complete	FUN_007343-T1	2867.5	2325
EOG0926009O	Complete	FUN_005551-T1	1741.5	1783
EOG092600NM	Complete	FUN_007810-T1	4005.3	2039
EOG092600S9	Complete	FUN_006681-T1	1269.8	1281
EOG092600SD	Complete	FUN_005304-T1	1193.3	1215
EOG092600SK	Complete	FUN_002890-T1	1226.1	1150
EOG092600T4	Complete	FUN_008230-T1	3291.5	1818
EOG092600T9	Complete	FUN_003845-T1	3234.4	1776
EOG092600W1	Complete	FUN_002715-T1	2653.3	1605
EOG092600X0	Complete	FUN_002351-T1	1167.5	1013
EOG092600XJ	Complete	FUN_000897-T1	1489.5	1212
EOG092601KZ	Complete	FUN_007919-T1	1323.8	831
EOG092601YK	Complete	FUN_004326-T1	1749.8	1553
EOG0926025H	Complete	FUN_004021-T1	398.6	572
EOG09260274	Complete	FUN_008343-T1	682.0	756
EOG09260289	Complete	FUN_003228-T1	821.1	780
EOG092602BZ	Complete	FUN_005118-T1	2551.1	1444
EOG092602FH	Complete	FUN_004597-T1	1320.6	925
EOG092602I6	Complete	FUN_006841-T1	1948.8	1301
EOG092602MO	Complete	FUN_003417-T1	717.4	726
EOG092602OP	Complete	FUN_003996-T1	1110.8	955
EOG092602UY	Complete	FUN_006892-T1	1653.7	1232
EOG09260375	Complete	FUN_007647-T1	1269.2	923
EOG092603D0	Complete	FUN_002229-T1	1140.8	909
EOG092603EH	Complete	FUN_004005-T1	1345.6	863
EOG092603JK	Complete	FUN_005573-T1	702.0	631
EOG092603KJ	Complete	FUN_005560-T1	1068.9	702
EOG092603SM	Complete	FUN_002881-T1	430.2	548
EOG092603YJ	Complete	FUN_007847-T1	1208.6	1281
EOG0926047G	Complete	FUN_004117-T1	1785.2	1080
EOG09260492	Complete	FUN_001090-T1	1206.1	1053
EOG0926049A	Complete	FUN_002428-T1	667.0	750
EOG0926049S	Complete	FUN_002689-T1	875.1	778
EOG092604A0	Complete	FUN_004345-T1	666.6	865
EOG092604I8	Complete	FUN_004347-T1	781.7	800
EOG092604KQ	Complete	FUN_003258-T1	771.9	927
EOG092604MJ	Complete	FUN_008660-T1	869.3	1027
EOG092604ML	Complete	FUN_005553-T1	615.3	766
EOG092604S1	Complete	FUN_002702-T1	300.1	393
EOG092604ZZ	Complete	FUN_002510-T1	679.2	734
EOG0926051U	Complete	FUN_001184-T1	854.9	1044
EOG092605FC	Complete	FUN_001310-T1	1013.1	805
EOG092605KN	Complete	FUN_002710-T1	685.4	554
EOG092605OK	Complete	FUN_007762-T1	1795.5	1251
EOG092605QM	Complete	FUN_001439-T1	910.1	968
EOG092605T6	Complete	FUN_000119-T1	3718.0	2774
EOG092605VL	Complete	FUN_008432-T1	805.9	812
EOG092605VU	Complete	FUN_001392-T1	389.0	660
EOG092605ZA	Complete	FUN_004749-T1	350.4	383
EOG092606AD	Complete	FUN_002523-T1	180.4	232
EOG092606AJ	Complete	FUN_006579-T1	1089.4	809
EOG092606CY	Complete	FUN_006472-T1	1184.5	1100
EOG092606O3	Complete	FUN_001138-T1	964.4	663
EOG092606UX	Complete	FUN_008449-T1	970.4	906
EOG092606WZ	Complete	FUN_005877-T1	973.7	1160
EOG0926071Q	Complete	FUN_005982-T1	831.6	966
EOG0926073O	Complete	FUN_004304-T1	1400.7	956
EOG0926074Y	Complete	FUN_002427-T1	1548.9	1000
EOG09260779	Complete	FUN_002566-T1	1125.6	1061
EOG0926077L	Complete	FUN_000328-T1	324.7	543
EOG0926079Q	Complete	FUN_002125-T1	1276.3	915
EOG092607OQ	Complete	FUN_001168-T1	895.4	764
EOG092607QZ	Complete	FUN_001493-T1	1115.9	781
EOG092607ZS	Complete	FUN_001458-T1	1244.2	885
EOG092608AE	Complete	FUN_004735-T1	1037.6	1059
EOG092608AV	Complete	FUN_003802-T1	1010.7	854
EOG092608C4	Complete	FUN_007402-T1	1576.3	1028
EOG092608GK	Complete	FUN_005981-T1	466.4	821
EOG092608L0	Complete	FUN_002287-T1	1581.3	902
EOG092608RH	Complete	FUN_002479-T1	601.1	944
EOG092608T8	Complete	FUN_001395-T1	1339.4	737
EOG092608WI	Complete	FUN_008840-T1	620.9	522
EOG092608WU	Complete	FUN_001481-T1	681.1	769
EOG092608ZS	Complete	FUN_007218-T1	1192.3	776
EOG0926092K	Complete	FUN_000885-T1	1609.3	906
EOG09260931	Complete	FUN_002753-T1	481.9	633
EOG092609JB	Complete	FUN_005902-T1	855.4	706
EOG092609O9	Complete	FUN_008722-T1	931.8	807
EOG092609RF	Complete	FUN_005980-T1	1465.9	944
EOG092609YT	Complete	FUN_002324-T1	1023.7	810
EOG09260A27	Complete	FUN_008869-T1	717.6	560
EOG09260A6Q	Complete	FUN_000892-T1	673.8	614
EOG09260A98	Complete	FUN_007048-T1	808.9	799
EOG09260ABY	Complete	FUN_007966-T1	1570.4	947
EOG09260AEC	Complete	FUN_003010-T1	622.5	444
EOG09260APA	Complete	FUN_004365-T1	284.0	456
EOG09260AQB	Complete	FUN_000682-T1	1356.9	808
EOG09260AZA	Complete	FUN_005399-T1	1605.0	843
EOG09260AZK	Complete	FUN_004537-T1	881.6	676
EOG09260AZM	Complete	FUN_000354-T1	1334.9	809
EOG09260B3H	Complete	FUN_005954-T1	659.3	514
EOG09260B3X	Complete	FUN_000312-T1	1016.0	704
EOG09260B65	Complete	FUN_008044-T1	722.3	722
EOG09260BFE	Complete	FUN_000287-T1	382.2	420
EOG09260BL6	Complete	FUN_003254-T1	552.1	521
EOG09260BRA	Complete	FUN_007285-T1	663.7	380
EOG09260BSW	Complete	FUN_007858-T1	1001.6	703
EOG09260BYL	Duplicated	FUN_000883-T1	1023.4	524
EOG09260BYL	Duplicated	FUN_009237-T1	1008.6	518
EOG09260BZ0	Complete	FUN_004037-T1	832.8	745
EOG09260C2V	Fragmented	FUN_001318-T1	523.0	487
EOG09260C5W	Complete	FUN_006895-T1	1138.0	1206
EOG09260CKC	Complete	FUN_000664-T1	730.2	653
EOG09260CMZ	Complete	FUN_007754-T1	416.3	630
EOG09260DBG	Complete	FUN_008482-T1	1208.4	703
EOG09260DFH	Complete	FUN_000260-T1	978.2	830
EOG09260DFJ	Complete	FUN_008228-T1	562.1	620
EOG09260DP1	Complete	FUN_002207-T1	1173.5	756
EOG09260DUR	Complete	FUN_001489-T1	619.6	564
EOG09260DUW	Complete	FUN_005848-T1	556.2	685
EOG09260DXP	Complete	FUN_004058-T1	817.8	610
EOG09260E2O	Complete	FUN_006582-T1	1116.7	709
EOG09260E8K	Complete	FUN_001672-T1	1228.0	829
EOG09260EAZ	Complete	FUN_006939-T1	714.9	828
EOG09260EE7	Complete	FUN_001389-T1	1020.4	708
EOG09260EOI	Complete	FUN_003132-T1	550.6	774
EOG09260EPQ	Complete	FUN_002536-T1	936.6	615
EOG09260EPS	Complete	FUN_005724-T1	221.0	477
EOG09260EQD	Complete	FUN_002690-T1	334.9	522
EOG09260ERO	Complete	FUN_009140-T1	1504.5	877
EOG09260ETR	Complete	FUN_005917-T1	1390.3	796
EOG09260EZT	Complete	FUN_004385-T1	673.5	521
EOG09260FFP	Complete	FUN_004832-T1	269.3	188
EOG09260FKU	Complete	FUN_008826-T1	283.0	303
EOG09260FL2	Complete	FUN_007854-T1	793.1	691
EOG09260FMW	Complete	FUN_004374-T1	1075.4	712
EOG09260FPA	Complete	FUN_001631-T1	896.4	779
EOG09260FX0	Complete	FUN_002511-T1	705.6	771
EOG09260FZZ	Complete	FUN_003780-T1	766.8	671
EOG09260GF5	Complete	FUN_002320-T1	1020.5	1182
EOG09260GIX	Complete	FUN_000257-T1	453.9	453
EOG09260GKG	Complete	FUN_002004-T1	1324.3	804
EOG09260GOF	Complete	FUN_006262-T1	448.3	336
EOG09260GR8	Complete	FUN_007345-T1	532.0	503
EOG09260H6E	Complete	FUN_006497-T1	356.6	231
EOG09260H81	Complete	FUN_005680-T1	558.7	658
EOG09260HMA	Complete	FUN_005591-T1	1178.8	781
EOG09260HPO	Complete	FUN_005950-T1	1279.4	808
EOG09260HS3	Complete	FUN_005203-T1	885.0	760
EOG09260HSP	Complete	FUN_001205-T1	1033.1	580
EOG09260IU8	Complete	FUN_009189-T1	405.5	669
EOG09260J53	Complete	FUN_008919-T1	975.7	598
EOG09260J8F	Complete	FUN_003293-T1	745.1	470
EOG09260J97	Complete	FUN_001994-T1	741.7	579
EOG09260JDM	Complete	FUN_000279-T1	383.0	272
EOG09260JED	Complete	FUN_004330-T1	1163.3	733
EOG09260JJW	Complete	FUN_001519-T1	610.8	520
EOG09260JNY	Complete	FUN_000615-T1	252.0	375
EOG09260JO5	Complete	FUN_005464-T1	999.3	821
EOG09260JPV	Complete	FUN_007990-T1	628.7	741
EOG09260JT9	Complete	FUN_004106-T1	1160.4	706
EOG09260JTZ	Complete	FUN_004673-T1	1214.6	787
EOG09260K24	Complete	FUN_009263-T1	847.3	600
EOG09260K29	Complete	FUN_006414-T1	330.7	269
EOG09260K4B	Complete	FUN_005384-T1	723.6	560
EOG09260K4V	Complete	FUN_001071-T1	1047.2	787
EOG09260K5F	Complete	FUN_007103-T1	599.9	577
EOG09260KCB	Complete	FUN_002441-T1	349.2	404
EOG09260KCW	Fragmented	FUN_006767-T1	842.3	462
EOG09260KDB	Complete	FUN_004067-T1	981.1	738
EOG09260KGS	Complete	FUN_005226-T1	443.0	1205
EOG09260KIY	Complete	FUN_008094-T1	589.4	398
EOG09260KM4	Complete	FUN_003500-T1	186.0	247
EOG09260KNI	Complete	FUN_006688-T1	317.3	281
EOG09260KNR	Complete	FUN_004441-T1	553.0	454
EOG09260KUC	Complete	FUN_006505-T1	883.8	563
EOG09260KWP	Complete	FUN_003777-T1	786.6	532
EOG09260LBU	Complete	FUN_007957-T1	1109.5	660
EOG09260LI6	Complete	FUN_001467-T1	786.8	651
EOG09260LJ8	Complete	FUN_004411-T1	588.3	403
EOG09260LRX	Complete	FUN_007799-T1	551.6	546
EOG09260LS9	Complete	FUN_006711-T1	317.9	237
EOG09260LVD	Complete	FUN_000419-T1	215.7	232
EOG09260M44	Complete	FUN_006685-T1	415.2	595
EOG09260M87	Complete	FUN_002450-T1	618.9	461
EOG09260MBW	Complete	FUN_002654-T1	476.5	526
EOG09260MRU	Complete	FUN_001508-T1	929.1	587
EOG09260N2T	Complete	FUN_003969-T1	337.0	412
EOG09260N53	Complete	FUN_000323-T1	669.0	531
EOG09260NAN	Complete	FUN_001004-T1	251.7	353
EOG09260NC6	Complete	FUN_007974-T1	839.7	550
EOG09260NE0	Complete	FUN_005411-T1	108.9	121
EOG09260NHB	Complete	FUN_009065-T1	391.7	624
EOG09260NHN	Complete	FUN_009224-T1	1245.8	734
EOG09260NJW	Complete	FUN_002186-T1	1092.9	730
EOG09260NNR	Complete	FUN_000265-T1	902.4	546
EOG09260NWN	Complete	FUN_003789-T1	815.7	716
EOG09260NXC	Complete	FUN_002179-T1	615.9	624
EOG09260NXJ	Complete	FUN_006545-T1	775.1	659
EOG09260NY2	Complete	FUN_007750-T1	624.3	581
EOG09260NZ8	Complete	FUN_005162-T1	567.3	403
EOG09260OCI	Complete	FUN_005436-T1	369.6	609
EOG09260OE9	Complete	FUN_006555-T1	663.0	756
EOG09260OLB	Complete	FUN_008084-T1	289.6	242
EOG09260OM6	Complete	FUN_008631-T1	1083.5	642
EOG09260OQ8	Complete	FUN_006642-T1	856.9	714
EOG09260OZU	Complete	FUN_006913-T1	557.5	861
EOG09260P2K	Complete	FUN_009264-T1	608.3	527
EOG09260P5R	Complete	FUN_008716-T1	327.1	241
EOG09260PI1	Complete	FUN_005648-T1	498.4	435
EOG09260PJ9	Complete	FUN_003713-T1	388.5	315
EOG09260QNB	Complete	FUN_004272-T1	708.5	558
EOG09260QVP	Complete	FUN_005063-T1	279.5	337
EOG09260R84	Complete	FUN_006610-T1	352.9	549
EOG09260R9L	Complete	FUN_004521-T1	406.1	412
EOG09260RGH	Complete	FUN_001675-T1	703.5	553
EOG09260RNZ	Complete	FUN_007962-T1	312.1	481
EOG09260RRC	Complete	FUN_004128-T1	902.4	589
EOG09260RRN	Complete	FUN_004310-T1	1234.4	730
EOG09260RS7	Complete	FUN_002528-T1	507.0	433
EOG09260RVQ	Complete	FUN_006632-T1	429.3	433
EOG09260S2Z	Complete	FUN_000836-T1	496.9	532
EOG09260S3L	Complete	FUN_009220-T1	391.2	447
EOG09260S5R	Complete	FUN_000134-T1	570.2	414
EOG09260SAH	Complete	FUN_007964-T1	521.8	492
EOG09260SIZ	Complete	FUN_000146-T1	830.6	579
EOG09260SJV	Complete	FUN_004373-T1	797.4	695
EOG09260SL3	Complete	FUN_004157-T1	1071.3	580
EOG09260SR2	Complete	FUN_005241-T1	335.7	611
EOG09260SRF	Complete	FUN_000669-T1	1142.7	607
EOG09260T28	Complete	FUN_007174-T1	777.7	597
EOG09260T4S	Complete	FUN_006522-T1	572.3	493
EOG09260TDY	Complete	FUN_000816-T1	228.9	397
EOG09260THV	Complete	FUN_000205-T1	390.2	301
EOG09260TLW	Complete	FUN_003766-T1	697.2	554
EOG09260TPT	Complete	FUN_004743-T1	304.8	384
EOG09260TUT	Complete	FUN_003428-T1	734.6	463
EOG09260TVA	Complete	FUN_001290-T1	1108.9	601
EOG09260TWS	Complete	FUN_001079-T1	931.1	568
EOG09260U6R	Complete	FUN_001895-T1	962.4	812
EOG09260UA2	Complete	FUN_000652-T1	597.6	402
EOG09260UJK	Complete	FUN_005527-T1	317.7	372
EOG09260UXC	Complete	FUN_007128-T1	464.9	509
EOG09260V5Q	Complete	FUN_006506-T1	939.3	595
EOG09260V8Q	Complete	FUN_003422-T1	352.5	310
EOG09260VCG	Complete	FUN_004275-T1	321.7	365
EOG09260VEY	Complete	FUN_003194-T1	396.0	487
EOG09260VHV	Complete	FUN_009213-T1	656.9	584
EOG09260VTA	Complete	FUN_007637-T1	767.2	503
EOG09260VTN	Complete	FUN_005245-T1	730.1	500
EOG09260VYK	Complete	FUN_007732-T1	609.6	431
EOG09260W52	Complete	FUN_002751-T1	435.0	431
EOG09260W8D	Complete	FUN_004097-T1	877.1	670
EOG09260W9L	Complete	FUN_003365-T1	246.7	208
EOG09260WCZ	Complete	FUN_000456-T1	497.0	542
EOG09260WG2	Complete	FUN_002681-T1	688.3	524
EOG09260WGT	Complete	FUN_006354-T1	659.1	468
EOG09260WU6	Complete	FUN_001472-T1	433.4	361
EOG09260WUA	Complete	FUN_008980-T1	449.0	547
EOG09260WUS	Complete	FUN_000620-T1	665.0	632
EOG09260WYQ	Complete	FUN_007455-T1	864.4	577
EOG09260XH5	Complete	FUN_001624-T1	490.6	368
EOG09260XL0	Complete	FUN_001115-T1	668.9	492
EOG09260XMI	Complete	FUN_003485-T1	687.2	542
EOG09260XOG	Complete	FUN_000873-T1	1039.1	605
