#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAF1730857.1         -            967 3741at5125           -            734         0 1300.7   7.3   1   3         0         0 1215.4   0.1     1   619    97   754    97   768 0.95 Leucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1730857.1         -            967 3741at5125           -            734         0 1300.7   7.3   2   3     2e-16   2.6e-13   48.1   3.4   616   679   785   871   762   876 0.82 Leucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1730857.1         -            967 3741at5125           -            734         0 1300.7   7.3   3   3   2.1e-12   2.7e-09   34.9   0.0   677   734   895   967   883   967 0.85 Leucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1736503.1         -           1057 3741at5125           -            734   5.1e-19   67.0   9.4   1   6   1.6e-15   2.1e-12   45.2   0.6     3   144   152   311   150   330 0.80 Valine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1736503.1         -           1057 3741at5125           -            734   5.1e-19   67.0   9.4   2   6     0.086   1.1e+02   -0.2   0.0   196   231   326   361   320   377 0.80 Valine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1736503.1         -           1057 3741at5125           -            734   5.1e-19   67.0   9.4   3   6   3.1e-05      0.04   11.2   0.0   281   354   377   438   368   454 0.79 Valine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1736503.1         -           1057 3741at5125           -            734   5.1e-19   67.0   9.4   4   6   3.9e-05      0.05   10.8   0.8   353   413   497   557   452   574 0.70 Valine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1736503.1         -           1057 3741at5125           -            734   5.1e-19   67.0   9.4   5   6      0.98   1.3e+03   -3.7   0.0   572   618   703   749   694   751 0.86 Valine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1736503.1         -           1057 3741at5125           -            734   5.1e-19   67.0   9.4   6   6      0.31     4e+02   -2.1   0.1   652   674   843   865   836   870 0.85 Valine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1737207.1         -            948 3741at5125           -            734   1.5e-17   62.1  11.5   1   5   2.7e-14   3.5e-11   41.1   0.0     3   131    57   197    56   208 0.79 Isoleucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1737207.1         -            948 3741at5125           -            734   1.5e-17   62.1  11.5   2   5    0.0044       5.7    4.0   0.0   270   316   298   344   287   362 0.89 Isoleucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1737207.1         -            948 3741at5125           -            734   1.5e-17   62.1  11.5   3   5     0.015        20    2.2   0.0   125   170   394   440   386   447 0.81 Isoleucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1737207.1         -            948 3741at5125           -            734   1.5e-17   62.1  11.5   4   5   7.9e-06      0.01   13.1   1.5   381   457   460   538   450   549 0.66 Isoleucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1737207.1         -            948 3741at5125           -            734   1.5e-17   62.1  11.5   5   5    0.0048       6.2    3.9   0.1   654   674   762   782   759   795 0.84 Isoleucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1738632.1         -           1070 3741at5125           -            734   2.7e-16   58.0   4.7   1   3   1.6e-12   2.1e-09   35.2   0.3     3   133    42   190    41   202 0.76 Isoleucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAF1738632.1         -           1070 3741at5125           -            734   2.7e-16   58.0   4.7   2   3   4.7e-06    0.0061   13.9   0.2   379   397   448   466   436   481 0.83 Isoleucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAF1738632.1         -           1070 3741at5125           -            734   2.7e-16   58.0   4.7   3   3   0.00024      0.31    8.2   0.0   560   656   597   698   584   709 0.76 Isoleucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAF1729642.1         -           1084 3741at5125           -            734   3.3e-14   51.1   4.1   1   4   2.3e-10   2.9e-07   28.1   1.1     3   134    43   192    42   204 0.72 Isoleucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAF1729642.1         -           1084 3741at5125           -            734   3.3e-14   51.1   4.1   2   4      0.76   9.9e+02   -3.4   0.0   286   367   304   379   296   381 0.66 Isoleucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAF1729642.1         -           1084 3741at5125           -            734   3.3e-14   51.1   4.1   3   4   1.4e-06    0.0018   15.6   0.0   379   400   449   470   400   563 0.89 Isoleucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAF1729642.1         -           1084 3741at5125           -            734   3.3e-14   51.1   4.1   4   4    0.0024       3.2    4.9   0.0   560   633   598   675   566   700 0.75 Isoleucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAF1734807.1         -            653 3741at5125           -            734   2.4e-08   31.7   1.1   1   2   9.6e-11   1.3e-07   29.4   0.5     4   189    59   255    57   274 0.77 putative methionine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1734807.1         -            653 3741at5125           -            734   2.4e-08   31.7   1.1   2   2     0.081     1e+02   -0.1   0.0   557   607   356   407   351   434 0.86 putative methionine--tRNA ligase, mitochondrial [Beauveria bassiana]
