#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
FRD24_009982-T1      -            915 3258at5125           -            987         0 1347.2  23.8   1   3         0         0 1125.9   0.2   296   804     1   522     1   545 0.96 FRD24_009982
FRD24_009982-T1      -            915 3258at5125           -            987         0 1347.2  23.8   2   3   7.1e-07    0.0019   15.3   1.2   791   835   605   648   601   658 0.83 FRD24_009982
FRD24_009982-T1      -            915 3258at5125           -            987         0 1347.2  23.8   3   3   6.6e-67   1.8e-63  214.0  10.4   825   981   665   848   658   853 0.90 FRD24_009982
FRD24_006143-T1      -           1829 3258at5125           -            987   3.4e-16   57.5   0.2   1   1   2.2e-19     6e-16   56.7   0.2   262   401   658   800   638   815 0.88 FRD24_006143
FRD24_001468-T1      -           1584 3258at5125           -            987   1.3e-12   45.6   5.5   1   4       1.9     5e+03   -5.9   3.8    82   187    63   168    35   196 0.59 FRD24_001468
FRD24_001468-T1      -           1584 3258at5125           -            987   1.3e-12   45.6   5.5   2   4         4   1.1e+04  -14.4  14.1    59   172   187   305   137   320 0.54 FRD24_001468
FRD24_001468-T1      -           1584 3258at5125           -            987   1.3e-12   45.6   5.5   3   4         4   1.1e+04   -7.6   7.2    58   165   665   776   640   819 0.46 FRD24_001468
FRD24_001468-T1      -           1584 3258at5125           -            987   1.3e-12   45.6   5.5   4   4   4.9e-16   1.3e-12   45.6   5.5   265   383   840   959   707   963 0.85 FRD24_001468
FRD24_005320-T1      -           1617 3258at5125           -            987     1e-10   39.4   0.0   1   1   6.5e-14   1.7e-10   38.6   0.0   269   385   689   806   662   841 0.84 FRD24_005320
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/3258at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Ccateniannulata_FRD_24.proteins.fa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Ccateniannulata_FRD_24/run_hypocreales_odb10/hmmer_output/initial_run_results/3258at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/3258at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Ccateniannulata_FRD_24.proteins.fa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 14:28:40 2024
# [ok]
