!! Predictions spanning range 7698 - 102237 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 10000.00 7698-9026 orient(-) score(400029.00) noncoding_equivalent(40.00) raw_noncoding(0.00) offset(0.00) 
9026	7698	single-	4	6	{Augustus_model.g1765.t1;Augustus},{GeneMark_model.2080_t;GeneMark},{GlimmerHMM_glimmerT_2059-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 1.84 10738-11434 orient(-) score(139400.00) noncoding_equivalent(75941.00) raw_noncoding(81997.00) offset(6056.00) 
10814	10738	terminal-	5	6	{GeneMark_model.2081_t;GeneMark},{GlimmerHMM_glimmerT_2061-T1;GlimmerHMM}
10872	10815	INTRON			{GeneMark_model.2081_t;GeneMark},{GlimmerHMM_glimmerT_2061-T1;GlimmerHMM}
11434	10873	initial-	4	4	{GeneMark_model.2081_t;GeneMark},{GlimmerHMM_glimmerT_2061-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 7.54 14550-16035 orient(+) score(374341.00) noncoding_equivalent(49618.99) raw_noncoding(68478.07) offset(18859.08) 
14550	15439	initial+	1	2	{GeneMark_model.2082_t;GeneMark}
15440	15568	INTRON			{GeneMark_model.2082_t;GeneMark}
15569	15820	internal+	3	2	{GeneMark_model.2082_t;GeneMark}
15821	15920	INTRON			{GeneMark_model.2082_t;GeneMark}
15921	16035	terminal+	3	3	{GeneMark_model.2082_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 15.94 16555-18971 orient(-) score(704117.00) noncoding_equivalent(44169.00) raw_noncoding(44771.00) offset(602.00) 
17578	16555	terminal-	6	6	{Augustus_model.g1767.t1;Augustus},{GlimmerHMM_glimmerT_2063-T1;GlimmerHMM},{GeneMark_model.2083_t;GeneMark},{snap_scaffold_2-snap.187-T1;snap}
17649	17579	INTRON			{Augustus_model.g1767.t1;Augustus},{GlimmerHMM_glimmerT_2063-T1;GlimmerHMM},{GeneMark_model.2083_t;GeneMark},{snap_scaffold_2-snap.187-T1;snap}
18971	17650	initial-	4	5	{Augustus_model.g1767.t1;Augustus},{GeneMark_model.2083_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 9.24 21932-24879 orient(+) score(887348.00) noncoding_equivalent(96019.00) raw_noncoding(97223.00) offset(1204.00) 
21932	22057	initial+	1	3	{Augustus_model.g1768.t1;Augustus},{GeneMark_model.2084_t;GeneMark},{GlimmerHMM_glimmerT_2064-T1;GlimmerHMM}
22058	22279	INTRON			{Augustus_model.g1768.t1;Augustus},{GeneMark_model.2084_t;GeneMark},{GlimmerHMM_glimmerT_2064-T1;GlimmerHMM},{snap_scaffold_2-snap.188-T1;snap}
22280	24221	internal+	1	1	{Augustus_model.g1768.t1;Augustus},{GeneMark_model.2084_t;GeneMark},{GlimmerHMM_glimmerT_2064-T1;GlimmerHMM},{snap_scaffold_2-snap.188-T1;snap}
24222	24322	INTRON			{Augustus_model.g1768.t1;Augustus},{GeneMark_model.2084_t;GeneMark},{GlimmerHMM_glimmerT_2064-T1;GlimmerHMM},{snap_scaffold_2-snap.188-T1;snap}
