# BUSCO version is: 5.5.0 
# The lineage dataset is: hypocreales_odb10 (Creation date: 2020-08-05, number of genomes: 50, number of BUSCOs: 4494)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
26at5125	Complete	FUN_006897-T1	7924.6	3797	https://www.orthodb.org/v10?query=26at5125	Dynein heavy chain
30at5125	Complete	FUN_008718-T1	6804.6	4062	https://www.orthodb.org/v10?query=30at5125	Midasin
49at5125	Complete	FUN_007505-T1	6411.3	3257	https://www.orthodb.org/v10?query=49at5125	histone acetylase complex subunit
52at5125	Complete	FUN_000741-T1	4904.5	3067	https://www.orthodb.org/v10?query=52at5125	E3 ubiquitin ligase, domain of unknown function DUF908
78at5125	Complete	FUN_005609-T1	5254.7	2733	https://www.orthodb.org/v10?query=78at5125	Vacuolar protein sorting-associated protein
87at5125	Complete	FUN_004963-T1	4161.8	2547	https://www.orthodb.org/v10?query=87at5125	fermentation associated protein
102at5125	Complete	FUN_008241-T1	4078.6	2266	https://www.orthodb.org/v10?query=102at5125	FMP27, SW domain
133at5125	Complete	FUN_008209-T1	4375.8	1997	https://www.orthodb.org/v10?query=133at5125	Pre-mRNA processing splicing factor 8
141at5125	Complete	FUN_009684-T1	4156.1	2089	https://www.orthodb.org/v10?query=141at5125	FKBP12-rapamycin binding domain
142at5125	Complete	FUN_004742-T1	3922.2	2131	https://www.orthodb.org/v10?query=142at5125	WD40-repeat-containing domain
154at5125	Complete	FUN_002084-T1	3936.5	2440	https://www.orthodb.org/v10?query=154at5125	Serine/threonine-protein kinase Tel1
155at5125	Complete	FUN_002693-T1	3812.5	2147	https://www.orthodb.org/v10?query=155at5125	Ribosomal protein L19
168at5125	Complete	FUN_004808-T1	3378.1	2019	https://www.orthodb.org/v10?query=168at5125	Ras GTPase activator
171at5125	Complete	FUN_008236-T1	3991.4	2025	https://www.orthodb.org/v10?query=171at5125	transcriptional activator leucine zipper
178at5125	Complete	FUN_008342-T1	3929.0	1965	https://www.orthodb.org/v10?query=178at5125	Acetyl-CoA carboxylase
194at5125	Complete	FUN_000638-T1	3796.5	2242	https://www.orthodb.org/v10?query=194at5125	Armadillo-type fold protein
200at5125	Complete	FUN_009025-T1	4116.0	1888	https://www.orthodb.org/v10?query=200at5125	Glutamate synthase
203at5125	Complete	FUN_005689-T1	3885.8	1890	https://www.orthodb.org/v10?query=203at5125	fatty acid synthase beta subunit dehydratase
215at5125	Complete	FUN_004900-T1	3827.1	1904	https://www.orthodb.org/v10?query=215at5125	DNA polymerase epsilon catalytic subunit
246at5125	Complete	FUN_006490-T1	3270.3	1843	https://www.orthodb.org/v10?query=246at5125	Signal transduction histidine kinase, dimerisation/phosphoacceptor domain
250at5125	Complete	FUN_003413-T1	3542.7	2017	https://www.orthodb.org/v10?query=250at5125	myosin type II heavy chain
259at5125	Complete	FUN_003912-T1	3910.4	1965	https://www.orthodb.org/v10?query=259at5125	pre-mRNA splicing helicase
270at5125	Complete	FUN_003888-T1	3303.9	1832	https://www.orthodb.org/v10?query=270at5125	E3 ubiquitin-protein ligase ubr1
281at5125	Complete	FUN_008740-T1	2990.1	1821	https://www.orthodb.org/v10?query=281at5125	phosphatidylinositol-4-phosphate 5-kinase fab1
309at5125	Complete	FUN_003430-T1	3082.4	1615	https://www.orthodb.org/v10?query=309at5125	Phosphatidylinositol 3-/4-kinase, catalytic domain
314at5125	Complete	FUN_006000-T1	3430.5	1615	https://www.orthodb.org/v10?query=314at5125	Activating signal cointegrator 1 complex subunit 3
322at5125	Complete	FUN_010139-T1	3933.2	1904	https://www.orthodb.org/v10?query=322at5125	Carbamoyl-phosphate synthase small subunit, N-terminal domain
323at5125	Complete	FUN_008541-T1	2666.1	1363	https://www.orthodb.org/v10?query=323at5125	Adenylate cyclase
341at5125	Complete	FUN_001867-T1	3220.2	1862	https://www.orthodb.org/v10?query=341at5125	CCR4-Not complex component, Not1
343at5125	Complete	FUN_000457-T1	3363.5	1725	https://www.orthodb.org/v10?query=343at5125	proteasome activator subunit 4
351at5125	Complete	FUN_006597-T1	3287.2	1778	https://www.orthodb.org/v10?query=351at5125	related to rat omega-conotoxin-sensitive calcium channel alpha-1 subunit rbB-I
353at5125	Complete	FUN_007709-T1	2997.8	1638	https://www.orthodb.org/v10?query=353at5125	DHR-1 domain
380at5125	Complete	FUN_006800-T1	3068.2	1693	https://www.orthodb.org/v10?query=380at5125	phosphatidylinositol 3-kinase 3
390at5125	Complete	FUN_002131-T1	2386.4	1663	https://www.orthodb.org/v10?query=390at5125	Polyketide synthase
407at5125	Complete	FUN_005688-T1	3437.2	1666	https://www.orthodb.org/v10?query=407at5125	Fatty acid synthase subunit alpha
420at5125	Complete	FUN_009492-T1	2424.7	1242	https://www.orthodb.org/v10?query=420at5125	Calcium channel subunit Cch1
429at5125	Complete	FUN_004865-T1	2660.9	1574	https://www.orthodb.org/v10?query=429at5125	anaphase-promoting complex subunit 1
434at5125	Complete	FUN_000516-T1	3160.0	1567	https://www.orthodb.org/v10?query=434at5125	class V chitin synthase
446at5125	Complete	FUN_004504-T1	3146.6	1632	https://www.orthodb.org/v10?query=446at5125	SNF2-related, N-terminal domain
459at5125	Complete	FUN_005038-T1	3003.2	1399	https://www.orthodb.org/v10?query=459at5125	acyl CoA ligase-like protein
463at5125	Complete	FUN_002200-T1	3273.8	1549	https://www.orthodb.org/v10?query=463at5125	Clathrin heavy chain
481at5125	Complete	FUN_003442-T1	2753.5	1623	https://www.orthodb.org/v10?query=481at5125	Helicase SEN1
485at5125	Complete	FUN_000266-T1	1996.3	1827	https://www.orthodb.org/v10?query=485at5125	Ubiquitin C-terminal hydrolase
497at5125	Complete	FUN_003855-T1	2998.1	1522	https://www.orthodb.org/v10?query=497at5125	Sec7, C-terminal
499at5125	Complete	FUN_010500-T1	2418.3	1526	https://www.orthodb.org/v10?query=499at5125	Proteasome component ECM29
521at5125	Complete	FUN_009562-T1	2664.7	1468	https://www.orthodb.org/v10?query=521at5125	Putative response regulator receiver RIM15p
522at5125	Complete	FUN_000515-T1	2670.1	1413	https://www.orthodb.org/v10?query=522at5125	class VII chitin synthase
527at5125	Complete	FUN_009716-T1	2786.5	1406	https://www.orthodb.org/v10?query=527at5125	kinesin
