# BUSCO version is: 5.5.0 
# The lineage dataset is: hypocreales_odb10 (Creation date: 2020-08-05, number of genomes: 50, number of BUSCOs: 4494)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
26at5125	Complete	TQW10106.1	7814.2	3795	https://www.orthodb.org/v10?query=26at5125	Dynein heavy chain
30at5125	Complete	TQW10855.1	6788.4	4159	https://www.orthodb.org/v10?query=30at5125	Midasin
49at5125	Complete	TQW05014.1	6365.2	3270	https://www.orthodb.org/v10?query=49at5125	histone acetylase complex subunit
52at5125	Complete	TQW08817.1	4952.3	3109	https://www.orthodb.org/v10?query=52at5125	E3 ubiquitin ligase, domain of unknown function DUF908
78at5125	Complete	TQW05702.1	5261.0	2731	https://www.orthodb.org/v10?query=78at5125	Vacuolar protein sorting-associated protein
87at5125	Complete	TQW07345.1	3506.0	2198	https://www.orthodb.org/v10?query=87at5125	fermentation associated protein
102at5125	Complete	TQW06522.1	4070.0	2256	https://www.orthodb.org/v10?query=102at5125	FMP27, SW domain
133at5125	Complete	TQW06105.1	4413.4	2024	https://www.orthodb.org/v10?query=133at5125	Pre-mRNA processing splicing factor 8
141at5125	Complete	TQW10232.1	4210.9	2075	https://www.orthodb.org/v10?query=141at5125	FKBP12-rapamycin binding domain
142at5125	Complete	TQW11421.1	3992.1	2133	https://www.orthodb.org/v10?query=142at5125	WD40-repeat-containing domain
154at5125	Complete	TQW03151.1	3138.9	1969	https://www.orthodb.org/v10?query=154at5125	Serine/threonine-protein kinase Tel1
155at5125	Complete	TQW04673.1	3828.8	2213	https://www.orthodb.org/v10?query=155at5125	Ribosomal protein L19
168at5125	Complete	TQW03248.1	2900.2	1722	https://www.orthodb.org/v10?query=168at5125	Ras GTPase activator
171at5125	Complete	TQW06527.1	4002.1	2024	https://www.orthodb.org/v10?query=171at5125	transcriptional activator leucine zipper
178at5125	Complete	TQW04253.1	3932.1	1969	https://www.orthodb.org/v10?query=178at5125	Acetyl-CoA carboxylase
194at5125	Complete	TQW07149.1	3838.4	2248	https://www.orthodb.org/v10?query=194at5125	Armadillo-type fold protein
200at5125	Complete	TQW01934.1	4108.3	1888	https://www.orthodb.org/v10?query=200at5125	Glutamate synthase
