#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ATY61001.1           -           1485 11019at5125          -            842  2.4e-205  683.4 315.4   1  11     1e-33   4.6e-30  103.5   8.0     7   128    39   176    28   180 0.84 hypothetical protein A9K55_006139 [Cordyceps militaris]
ATY61001.1           -           1485 11019at5125          -            842  2.4e-205  683.4 315.4   2  11   1.9e-36   8.7e-33  112.6  61.7    82   285   176   439   174   442 0.78 hypothetical protein A9K55_006139 [Cordyceps militaris]
ATY61001.1           -           1485 11019at5125          -            842  2.4e-205  683.4 315.4   3  11   3.3e-11   1.5e-07   29.0  20.6   254   355   420   538   416   547 0.77 hypothetical protein A9K55_006139 [Cordyceps militaris]
ATY61001.1           -           1485 11019at5125          -            842  2.4e-205  683.4 315.4   4  11   5.1e-16   2.4e-12   45.0   9.4   346   403   594   661   587   665 0.80 hypothetical protein A9K55_006139 [Cordyceps militaris]
ATY61001.1           -           1485 11019at5125          -            842  2.4e-205  683.4 315.4   5  11         2   9.3e+03  -62.7 103.2   181   283   665   761   663   769 0.49 hypothetical protein A9K55_006139 [Cordyceps militaris]
ATY61001.1           -           1485 11019at5125          -            842  2.4e-205  683.4 315.4   6  11   2.2e-17     1e-13   49.5   5.4   400   457   769   826   763   838 0.86 hypothetical protein A9K55_006139 [Cordyceps militaris]
ATY61001.1           -           1485 11019at5125          -            842  2.4e-205  683.4 315.4   7  11         2   9.3e+03   -9.7  10.2   239   274   838   873   823   883 0.54 hypothetical protein A9K55_006139 [Cordyceps militaris]
ATY61001.1           -           1485 11019at5125          -            842  2.4e-205  683.4 315.4   8  11   0.00012      0.56    7.3   3.3   451   482   879   910   873   929 0.72 hypothetical protein A9K55_006139 [Cordyceps militaris]
ATY61001.1           -           1485 11019at5125          -            842  2.4e-205  683.4 315.4   9  11   3.5e-05      0.16    9.1   0.5   479   515   942   978   915   984 0.79 hypothetical protein A9K55_006139 [Cordyceps militaris]
ATY61001.1           -           1485 11019at5125          -            842  2.4e-205  683.4 315.4  10  11   1.6e-53   7.6e-50  169.0   4.5   495   627   983  1120   966  1126 0.86 hypothetical protein A9K55_006139 [Cordyceps militaris]
ATY61001.1           -           1485 11019at5125          -            842  2.4e-205  683.4 315.4  11  11   4.3e-81     2e-77  260.2  27.8   600   842  1126  1475  1121  1475 0.81 hypothetical protein A9K55_006139 [Cordyceps militaris]
ATY65589.1           -            589 11019at5125          -            842     0.062   10.5   0.6   1   1   2.2e-05       0.1    9.8   0.6   662   708   298   345   293   352 0.88 Zinc C2H2 [Cordyceps militaris]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/11019at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/CmilitarisATCC34164.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_CmilitarisATCC34164/run_hypocreales_odb10/hmmer_output/initial_run_results/11019at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/11019at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/CmilitarisATCC34164.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 15:10:09 2024
# [ok]
