#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAH8720889.1         -           1070 2039at5125           -            948         0 1914.4   1.8   1   1         0         0 1914.1   1.8     1   931     1  1017     1  1059 0.94 Isoleucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAH8713872.1         -           1125 2039at5125           -            948         0 1452.7   0.9   1   1         0         0 1452.3   0.9     3   929    45  1059    43  1073 0.93 Isoleucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAH8718212.1         -            948 2039at5125           -            948   2.5e-54  184.1   0.1   1   1   3.2e-57     6e-54  182.8   0.1    29   568    50   619    41   622 0.77 Isoleucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8717468.1         -            601 2039at5125           -            948   4.7e-19   67.4   2.1   1   1     1e-20   1.9e-17   62.0   2.1    29   425   145   543   138   554 0.78 Valine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8715104.1         -            967 2039at5125           -            948   6.9e-15   53.6   2.7   1   4     1e-09     2e-06   25.6   0.0    26   102    87   166    63   231 0.79 Leucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8715104.1         -            967 2039at5125           -            948   6.9e-15   53.6   2.7   2   4     0.022        41    1.4   0.1   260   344   379   477   369   486 0.71 Leucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8715104.1         -            967 2039at5125           -            948   6.9e-15   53.6   2.7   3   4     3e-06    0.0055   14.2   0.2   405   426   489   510   474   515 0.80 Leucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8715104.1         -            967 2039at5125           -            948   6.9e-15   53.6   2.7   4   4    0.0001      0.19    9.1   0.0   551   600   694   742   682   761 0.79 Leucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8710320.1         -            662 2039at5125           -            948   0.00078   17.0   0.0   1   2   2.5e-05     0.046   11.1   0.0    31    86    51   108    40   123 0.82 putative methionine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAH8710320.1         -            662 2039at5125           -            948   0.00078   17.0   0.0   2   2     0.005       9.4    3.5   0.0   550   581   358   389   344   398 0.90 putative methionine--tRNA ligase, mitochondrial [Beauveria bassiana]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/2039at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_JEF-350_protein.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Bbassiana_JEF-350/run_hypocreales_odb10/hmmer_output/initial_run_results/2039at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/2039at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_JEF-350_protein.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 14:23:42 2024
# [ok]
