!! Predictions spanning range 693 - 8887 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 116.64 693-1100 orient(+) score(121798.00) noncoding_equivalent(1044.24) raw_noncoding(1044.24) offset(0.00) 
693	1100	single+	1	3	{GeneMark_model.10570_t;GeneMark},{GlimmerHMM_glimmerT_10709-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 2.57 1126-1511 orient(-) score(77200.00) noncoding_equivalent(29985.52) raw_noncoding(36685.52) offset(6700.00) 
1436	1126	terminal-	5	6	{GeneMark_model.10571_t;GeneMark},{GlimmerHMM_glimmerT_10710-T1;GlimmerHMM}
1501	1437	INTRON			{GeneMark_model.10571_t;GeneMark},{GlimmerHMM_glimmerT_10710-T1;GlimmerHMM}
1511	1502	initial-	4	4	{GlimmerHMM_glimmerT_10710-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 1.01 3811-8887 orient(-) score(572241.00) noncoding_equivalent(565766.26) raw_noncoding(1338976.70) offset(773210.44) 
4298	3811	terminal-	5	6	{GeneMark_model.10573_t;GeneMark}
4350	4299	INTRON			{Augustus_model.g8927.t1;Augustus},{GeneMark_model.10573_t;GeneMark}
4384	4351	internal-	4	4	{Augustus_model.g8927.t1;Augustus},{GeneMark_model.10573_t;GeneMark}
6381	4385	INTRON			{Augustus_model.g8927.t1;Augustus},{GeneMark_model.10573_t;GeneMark}
6594	6382	internal-	4	6	{GeneMark_model.10573_t;GeneMark}
8401	6595	INTRON			{GeneMark_model.10573_t;GeneMark}
8432	8402	internal-	6	6	{GeneMark_model.10573_t;GeneMark}
8486	8433	INTRON			{GeneMark_model.10573_t;GeneMark}
8887	8487	initial-	4	5	{Augustus_model.g8928.t1;Augustus},{GeneMark_model.10573_t;GeneMark}

