# BUSCO version is: 2.0 
# The lineage dataset is: hypocreales_odb10 (Creation date: 2020-08-05, number of species: 50, number of BUSCOs: 4494)
# To reproduce this run: python /home/zack/miniconda3/envs/funannotate/lib/python3.7/site-packages/funannotate/aux_scripts/funannotate-BUSCO2.py -i /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/GENOMES/CcateniannulataMBC234/FunannotatePredict/predict_misc/busco_augustus.proteins.fasta -o cordyceps_cateniannulata_mbc234 -l /home/zack/funannotate_db/hypocreales_odb10/ -m proteins -c 4 -sp anidulans
#
# Busco id	Status	Sequence	Score	Length
10002at5125	Complete	gene942.t1	1378.4	657
10007at5125	Complete	gene943.t1	981.2	646
10011at5125	Complete	gene944.t1	942.0	623
10012at5125	Complete	gene945.t1	873.3	558
10018at5125	Complete	gene946.t1	1025.0	717
10029at5125	Complete	gene947.t1	949.3	510
10042at5125	Complete	gene948.t1	911.5	551
10046at5125	Complete	gene949.t1	1048.2	557
10056at5125	Complete	gene950.t1	1077.2	632
10058at5125	Complete	gene951.t1	729.5	656
10061at5125	Complete	gene952.t1	822.9	721
10062at5125	Complete	gene953.t1	886.7	742
10086at5125	Complete	gene954.t1	899.0	494
10109at5125	Complete	gene955.t1	1063.9	577
10123at5125	Complete	gene956.t1	1010.2	498
10132at5125	Complete	gene957.t1	1218.1	617
10143at5125	Complete	gene958.t1	820.2	484
10152at5125	Complete	gene959.t1	867.9	457
10163at5125	Complete	gene960.t1	984.0	588
10164at5125	Complete	gene961.t1	1048.2	561
10167at5125	Complete	gene962.t1	911.7	510
10177at5125	Complete	gene963.t1	713.3	600
10181at5125	Complete	gene964.t1	862.0	509
10185at5125	Complete	gene965.t1	617.5	755
10188at5125	Complete	gene966.t1	959.9	927
1018at5125	Complete	gene86.t1	2479.9	1485
10190at5125	Complete	gene967.t1	1290.5	845
10241at5125	Complete	gene968.t1	773.6	608
10245at5125	Complete	gene969.t1	634.2	547
10250at5125	Complete	gene970.t1	456.1	286
10256at5125	Complete	gene971.t1	1072.8	536
1027at5125	Complete	gene87.t1	1548.4	1176
10280at5125	Complete	gene972.t1	1037.7	524
10290at5125	Complete	gene973.t1	774.7	452
102at5125	Complete	gene7.t1	4078.6	2266
10303at5125	Complete	gene974.t1	950.3	530
10317at5125	Duplicated	gene3218.t1	612.4	538
10317at5125	Duplicated	gene975.t1	612.4	538
10320at5125	Missing
10325at5125	Complete	gene977.t1	911.5	526
10345at5125	Complete	gene978.t1	1001.9	532
10356at5125	Complete	gene979.t1	1112.0	512
10365at5125	Complete	gene980.t1	823.4	369
10380at5125	Complete	gene981.t1	908.1	596
10381at5125	Complete	gene982.t1	1156.1	724
10385at5125	Complete	gene983.t1	1047.9	609
10422at5125	Complete	gene984.t1	1010.3	918
10442at5125	Complete	gene985.t1	1015.9	688
10453at5125	Missing
