#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
EGX87815.1           -            581 13829at5125          -            468  5.5e-281  930.9   0.0   1   1  5.7e-284  6.9e-281  930.6   0.0     1   468    55   581    55   581 0.93 alternative NADH-dehydrogenase [Cordyceps militaris CM01]
EGX95746.1           -            692 13829at5125          -            468   6.5e-70  235.0   1.2   1   2   2.4e-59   2.9e-56  190.0   0.0    40   330   163   489   154   501 0.82 NADH-ubiquinone oxidoreductase 64 kDa subunit, putative [Cordyceps militaris CM01]
EGX95746.1           -            692 13829at5125          -            468   6.5e-70  235.0   1.2   2   2   8.2e-13   9.9e-10   36.6   1.4   322   465   567   689   558   691 0.75 NADH-ubiquinone oxidoreductase 64 kDa subunit, putative [Cordyceps militaris CM01]
EGX96849.1           -            456 13829at5125          -            468   1.6e-63  214.0   0.5   1   2   6.2e-57   7.5e-54  182.0   0.0    37   352     3   379     1   388 0.77 pyridine nucleotide-disulfide oxidoreductase, putative [Cordyceps militaris CM01]
EGX96849.1           -            456 13829at5125          -            468   1.6e-63  214.0   0.5   2   2   1.4e-09   1.7e-06   25.9   0.1   396   467   388   455   385   456 0.93 pyridine nucleotide-disulfide oxidoreductase, putative [Cordyceps militaris CM01]
EGX92701.1           -            384 13829at5125          -            468   1.1e-08   33.1   0.1   1   2     7e-08   8.5e-05   20.3   0.0    44   209     5   184     2   198 0.69 apoptosis-inducing factor, putative [Cordyceps militaris CM01]
EGX92701.1           -            384 13829at5125          -            468   1.1e-08   33.1   0.1   2   2   6.7e-05     0.081   10.5   0.0   302   342   273   316   244   330 0.77 apoptosis-inducing factor, putative [Cordyceps militaris CM01]
EGX92510.1           -            386 13829at5125          -            468   3.2e-07   28.3   0.1   1   1     9e-10   1.1e-06   26.5   0.1    45   224     2   186     1   315 0.67 apoptosis-inducing factor, putative [Cordyceps militaris CM01]
EGX91821.1           -            448 13829at5125          -            468   3.5e-06   24.9   0.1   1   1   5.8e-09     7e-06   23.9   0.1    59   328    67   329    39   352 0.62 mercuric reductase, putative [Cordyceps militaris CM01]
EGX91585.1           -            367 13829at5125          -            468     0.013   13.1   0.4   1   2   0.00012      0.15    9.6   0.0    66   212    32   181     3   199 0.68 NADH dehydrogenase, FAD-containing subunit [Cordyceps militaris CM01]
EGX91585.1           -            367 13829at5125          -            468     0.013   13.1   0.4   2   2     0.043        52    1.2   0.7   290   340   204   256   195   277 0.68 NADH dehydrogenase, FAD-containing subunit [Cordyceps militaris CM01]
EGX91554.1           -            619 13829at5125          -            468     0.055   11.0   0.0   1   1   8.7e-05      0.11   10.1   0.0   271   332   426   488   418   507 0.85 AIF-like mitochondrial oxidoreductase (Nfrl), putative [Cordyceps militaris CM01]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/13829at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Cmilitaris_CM01.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Cmilitaris_CM01/run_hypocreales_odb10/hmmer_output/initial_run_results/13829at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/13829at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Cmilitaris_CM01.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 15:13:40 2024
# [ok]
