#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAF1737534.1         -            791 7814at5125           -            664         0 1328.6   4.2   1   2         0         0 1013.7   1.3     1   462     8   485     8   502 0.97 3-isopropylmalate dehydratase [Beauveria bassiana]
KAF1737534.1         -            791 7814at5125           -            664         0 1328.6   4.2   2   2   3.2e-97   8.3e-94  314.2   0.1   476   664   564   791   509   791 0.90 3-isopropylmalate dehydratase [Beauveria bassiana]
KAF1735028.1         -            771 7814at5125           -            664   2.8e-44  150.6   2.2   1   3     8e-16   2.1e-12   45.2   0.0   109   250   175   317    76   388 0.86 Homoaconitase, mitochondrial [Beauveria bassiana]
KAF1735028.1         -            771 7814at5125           -            664   2.8e-44  150.6   2.2   2   3   1.5e-21   3.8e-18   64.2   0.4   327   452   388   523   376   557 0.81 Homoaconitase, mitochondrial [Beauveria bassiana]
KAF1735028.1         -            771 7814at5125           -            664   2.8e-44  150.6   2.2   3   3     2e-13   5.2e-10   37.3   0.0   478   568   598   696   588   712 0.75 Homoaconitase, mitochondrial [Beauveria bassiana]
KAF1737033.1         -            757 7814at5125           -            664   1.4e-33  115.2   0.0   1   4     0.049   1.3e+02   -0.3   0.0   109   139   173   202   142   208 0.80 Aconitate hydratase, mitochondrial [Beauveria bassiana]
KAF1737033.1         -            757 7814at5125           -            664   1.4e-33  115.2   0.0   2   4   3.8e-16   9.8e-13   46.3   0.0   173   294   209   336   204   346 0.87 Aconitate hydratase, mitochondrial [Beauveria bassiana]
KAF1737033.1         -            757 7814at5125           -            664   1.4e-33  115.2   0.0   3   4   4.7e-13   1.2e-09   36.1   0.0   335   452   358   483   350   510 0.83 Aconitate hydratase, mitochondrial [Beauveria bassiana]
KAF1737033.1         -            757 7814at5125           -            664   1.4e-33  115.2   0.0   4   4   2.5e-10   6.5e-07   27.1   0.0   515   570   633   688   622   709 0.88 Aconitate hydratase, mitochondrial [Beauveria bassiana]
KAF1736101.1         -            816 7814at5125           -            664   1.3e-32  112.0   0.1   1   3   3.6e-19   9.5e-16   56.3   0.1    90   252   173   331   104   396 0.82 putative aconitate hydratase, mitochondrial [Beauveria bassiana]
KAF1736101.1         -            816 7814at5125           -            664   1.3e-32  112.0   0.1   2   3     3e-10   7.8e-07   26.8   0.0   335   450   413   537   407   548 0.82 putative aconitate hydratase, mitochondrial [Beauveria bassiana]
KAF1736101.1         -            816 7814at5125           -            664   1.3e-32  112.0   0.1   3   3   1.3e-09   3.3e-06   24.8   0.0   514   568   688   742   682   756 0.91 putative aconitate hydratase, mitochondrial [Beauveria bassiana]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/7814at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_ERL836_protein.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Bbassiana_ERL836/run_hypocreales_odb10/hmmer_output/initial_run_results/7814at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/7814at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_ERL836_protein.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 14:21:56 2024
# [ok]
