# BUSCO version is: 5.5.0 
# The lineage dataset is: hypocreales_odb10 (Creation date: 2020-08-05, number of genomes: 50, number of BUSCOs: 4494)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
26at5125	Complete	KAH8718760.1	7913.0	3794	https://www.orthodb.org/v10?query=26at5125	Dynein heavy chain
30at5125	Complete	KAH8716248.1	6815.1	4037	https://www.orthodb.org/v10?query=30at5125	Midasin
49at5125	Complete	KAH8710681.1	6438.4	3246	https://www.orthodb.org/v10?query=49at5125	histone acetylase complex subunit
52at5125	Complete	KAH8712860.1	4976.5	3078	https://www.orthodb.org/v10?query=52at5125	E3 ubiquitin ligase, domain of unknown function DUF908
78at5125	Complete	KAH8711362.1	5228.9	2730	https://www.orthodb.org/v10?query=78at5125	Vacuolar protein sorting-associated protein
87at5125	Complete	KAH8718580.1	4180.7	2562	https://www.orthodb.org/v10?query=87at5125	fermentation associated protein
102at5125	Complete	KAH8716349.1	4052.6	2260	https://www.orthodb.org/v10?query=102at5125	FMP27, SW domain
133at5125	Complete	KAH8709275.1	4413.3	2023	https://www.orthodb.org/v10?query=133at5125	Pre-mRNA processing splicing factor 8
141at5125	Complete	KAH8708295.1	4224.4	2098	https://www.orthodb.org/v10?query=141at5125	FKBP12-rapamycin binding domain
142at5125	Complete	KAH8720291.1	3979.5	2141	https://www.orthodb.org/v10?query=142at5125	WD40-repeat-containing domain
154at5125	Complete	KAH8720807.1	3937.5	2471	https://www.orthodb.org/v10?query=154at5125	Serine/threonine-protein kinase Tel1
155at5125	Complete	KAH8709012.1	3871.7	2218	https://www.orthodb.org/v10?query=155at5125	Ribosomal protein L19
168at5125	Fragmented	KAH8720904.1	515.2	395	https://www.orthodb.org/v10?query=168at5125	Ras GTPase activator
171at5125	Complete	KAH8716344.1	3998.3	2034	https://www.orthodb.org/v10?query=171at5125	transcriptional activator leucine zipper
178at5125	Complete	KAH8712325.1	3911.3	1965	https://www.orthodb.org/v10?query=178at5125	Acetyl-CoA carboxylase
194at5125	Complete	KAH8720513.1	3807.5	2266	https://www.orthodb.org/v10?query=194at5125	Armadillo-type fold protein
200at5125	Duplicated	KAH8713993.1	4128.0	1888	https://www.orthodb.org/v10?query=200at5125	Glutamate synthase
200at5125	Duplicated	KAH8713994.1	4128.0	1888	https://www.orthodb.org/v10?query=200at5125	Glutamate synthase
203at5125	Complete	KAH8718991.1	3878.7	1890	https://www.orthodb.org/v10?query=203at5125	fatty acid synthase beta subunit dehydratase
