#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAH8707303.1         -            463 23635at5125          -            307  1.7e-174  578.2   2.4   1   3   6.5e-98   2.4e-94  315.0   0.1     1   173    69   262    69   273 0.92 [Pyruvate dehydrogenase (acetyl-transferring)] kinase 2, mitochondrial [Beauveria bassiana]
KAH8707303.1         -            463 23635at5125          -            307  1.7e-174  578.2   2.4   2   3   7.1e-41   2.6e-37  127.7   0.0   172   244   292   369   281   378 0.91 [Pyruvate dehydrogenase (acetyl-transferring)] kinase 2, mitochondrial [Beauveria bassiana]
KAH8707303.1         -            463 23635at5125          -            307  1.7e-174  578.2   2.4   3   3   7.8e-43   2.9e-39  134.1   0.1   240   307   394   461   389   461 0.97 [Pyruvate dehydrogenase (acetyl-transferring)] kinase 2, mitochondrial [Beauveria bassiana]
KAH8719027.1         -            455 23635at5125          -            307   9.8e-34  116.0   5.3   1   5       0.4   1.5e+03   -2.9   0.0   202   219    27    44    14    73 0.72 [3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial [Beauveria bassiana]
KAH8719027.1         -            455 23635at5125          -            307   9.8e-34  116.0   5.3   2   5   0.00035       1.3    7.1   0.1     2    26    99   123    98   128 0.89 [3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial [Beauveria bassiana]
KAH8719027.1         -            455 23635at5125          -            307   9.8e-34  116.0   5.3   3   5     2e-18   7.4e-15   54.0   0.0    43   180   166   320   155   327 0.80 [3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial [Beauveria bassiana]
KAH8719027.1         -            455 23635at5125          -            307   9.8e-34  116.0   5.3   4   5   2.2e-08   8.3e-05   20.9   0.0   182   212   351   381   333   390 0.82 [3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial [Beauveria bassiana]
KAH8719027.1         -            455 23635at5125          -            307   9.8e-34  116.0   5.3   5   5   5.7e-12   2.1e-08   32.7   0.4   255   294   412   451   395   454 0.82 [3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial [Beauveria bassiana]
KAH8720377.1         -            464 23635at5125          -            307   4.3e-26   90.8   0.3   1   2   3.5e-17   1.3e-13   49.8   0.0    44   209   212   393   204   405 0.75 [Pyruvate dehydrogenase (acetyl-transferring)] kinase, mitochondrial [Beauveria bassiana]
KAH8720377.1         -            464 23635at5125          -            307   4.3e-26   90.8   0.3   2   2   7.2e-14   2.7e-10   39.0   0.1   250   299   413   462   399   464 0.90 [Pyruvate dehydrogenase (acetyl-transferring)] kinase, mitochondrial [Beauveria bassiana]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/23635at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_JEF-350_protein.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Bbassiana_JEF-350/run_hypocreales_odb10/hmmer_output/initial_run_results/23635at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/23635at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_JEF-350_protein.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 14:24:18 2024
# [ok]
