#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAF1737207.1         -            948 4153at5125           -            802         0 1381.4   1.0   1   2         0         0 1354.3   0.0     1   778     1   887     1   902 0.91 Isoleucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1737207.1         -            948 4153at5125           -            802         0 1381.4   1.0   2   2   6.1e-09     7e-06   23.2   0.3   776   801   908   938   903   939 0.89 Isoleucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1738632.1         -           1070 4153at5125           -            802   3.8e-65  219.2   0.0   1   1   2.1e-67   2.4e-64  216.6   0.0    35   592    34   628    14   803 0.79 Isoleucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAF1729642.1         -           1084 4153at5125           -            802   3.3e-63  212.8   0.0   1   2   2.5e-65   2.9e-62  209.7   0.0    34   588    34   625    15   632 0.81 Isoleucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAF1729642.1         -           1084 4153at5125           -            802   3.3e-63  212.8   0.0   2   2      0.07        81   -0.1   0.0   684   716   756   788   700   792 0.70 Isoleucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAF1736503.1         -           1057 4153at5125           -            802   1.6e-35  121.3   0.7   1   4   2.2e-15   2.5e-12   44.5   0.0    25   183   134   302   126   308 0.77 Valine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1736503.1         -           1057 4153at5125           -            802   1.6e-35  121.3   0.7   2   4     3e-15   3.5e-12   44.1   0.0   244   445   339   544   323   557 0.82 Valine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1736503.1         -           1057 4153at5125           -            802   1.6e-35  121.3   0.7   3   4     6e-09   6.9e-06   23.2   0.0   537   575   636   674   624   686 0.88 Valine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1736503.1         -           1057 4153at5125           -            802   1.6e-35  121.3   0.7   4   4    0.0027       3.1    4.6   0.0   649   714   795   869   708   908 0.78 Valine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1730857.1         -            967 4153at5125           -            802   1.7e-17   61.7   2.3   1   6     6e-14   6.9e-11   39.8   0.0    42   180    98   229    65   250 0.84 Leucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1730857.1         -            967 4153at5125           -            802   1.7e-17   61.7   2.3   2   6      0.43   4.9e+02   -2.7   0.0   372   405   233   266   231   268 0.90 Leucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1730857.1         -            967 4153at5125           -            802   1.7e-17   61.7   2.3   3   6      0.56   6.4e+02   -3.1   0.0   281   311   385   415   366   423 0.80 Leucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1730857.1         -            967 4153at5125           -            802   1.7e-17   61.7   2.3   4   6   1.1e-06    0.0012   15.8   0.1   425   499   490   574   472   581 0.63 Leucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1730857.1         -            967 4153at5125           -            802   1.7e-17   61.7   2.3   5   6      0.51   5.8e+02   -3.0   0.0   531   553   636   655   627   675 0.70 Leucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1730857.1         -            967 4153at5125           -            802   1.7e-17   61.7   2.3   6   6     0.016        18    2.0   0.0   683   710   838   866   783   871 0.73 Leucine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1734807.1         -            653 4153at5125           -            802   9.7e-06   22.8   0.0   1   2   3.5e-07   0.00041   17.4   0.0    31   101    46   116    25   137 0.86 putative methionine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1734807.1         -            653 4153at5125           -            802   9.7e-06   22.8   0.0   2   2    0.0086       9.9    2.9   0.0   538   567   344   372   337   392 0.80 putative methionine--tRNA ligase, mitochondrial [Beauveria bassiana]
KAF1735854.1         -           1116 4153at5125           -            802   1.1e-05   22.6   0.0   1   3   6.8e-07   0.00078   16.5   0.0    31    91    67   127    37   172 0.86 Leucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAF1735854.1         -           1116 4153at5125           -            802   1.1e-05   22.6   0.0   2   3     0.072        84   -0.2   0.0   259   317   383   443   315   462 0.72 Leucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAF1735854.1         -           1116 4153at5125           -            802   1.1e-05   22.6   0.0   3   3     0.021        25    1.6   0.0   549   570   744   765   738   790 0.85 Leucine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAF1739396.1         -            660 4153at5125           -            802    0.0012   15.9   0.0   1   2   2.8e-05     0.032   11.1   0.0    39   108    20    90    12   151 0.82 putative methionine--tRNA ligase, cytoplasmic [Beauveria bassiana]
KAF1739396.1         -            660 4153at5125           -            802    0.0012   15.9   0.0   2   2     0.012        14    2.4   0.0   426   442   264   280   248   290 0.81 putative methionine--tRNA ligase, cytoplasmic [Beauveria bassiana]
